natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","prescribed(H, M) :- HCP(H), Medication(M).
ordered(H, L) :- HCP(H), LabProcedure(L).
diagnosed(H, D) :- HCP(H), Diagnosis(D).
performed(H, MP) :- HCP(H), MedicalProcedure(MP).
given(H, I) :- HCP(H), Immunization(I).","can_document(H, M) :- HCP(H), Medication(M), prescribed(H, M).
can_document(H, L) :- HCP(H), LabProcedure(L), ordered(H, L).
can_document(H, D) :- HCP(H), Diagnosis(D), diagnosed(H, D).
can_document(H, MP) :- HCP(H), MedicalProcedure(MP), performed(H, MP).
can_document(H, I) :- HCP(H), Immunization(I), given(H, I).","< can_document, (u_a, (""[prescribed]"", 1)) >
< can_document, (u_a, (""[ordered]"", 1)) >
< can_document, (u_a, (""[diagnosed]"", 1)) >
< can_document, (u_a, (""[performed]"", 1)) >
< can_document, (u_a, (""[given]"", 1)) >"
An administrator chooses to maintain the hospital listing .,Administrator(A).,Hospital(H).,"has_maintain_access(A, H) :- Administrator(A), Hospital(H).","can_maintain(A, H) :- Administrator(A), Hospital(H), has_maintain_access(A, H).","< can_maintain, (u_a, (""[has_maintain_access]"", 1)) >"
An LHCP views the number of submitted physiologic data monitoring reports of his or her patients for the current date.,"LHCP(L), Patient(P).",Report(R).,"has_patient(L, P) :- LHCP(L), Patient(P).
submitted_report(P, R, current_date) :- Patient(P), Report(R).","can_view_report_count(L, current_date) :- LHCP(L), has_patient(L, P), submitted_report(P, R, current_date).","< can_view_report_count, (u_a, (""[has_patient.submitted_report]"", 2)) >"
"The HCP chooses a specific referral from the list to view complete details about the referral: patient name, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",HCP(H).,"Referral(R), Patient(P), HCP(ReceivingHCP).","has_referral(H, R) :- HCP(H), Referral(R). refers_to(R, P) :- Referral(R), Patient(P). referred_to(R, ReceivingHCP) :- Referral(R), HCP(ReceivingHCP).","can_view_referral_details(H, R) :- HCP(H), Referral(R), has_referral(H, R).","< can_view_referral_details, (u_a, (""[has_referral]"", 1)) >"
"A user (an LHCP or patient) wishes to view a list of his or her upcoming appointments (i.e., a list including appointments whose appointment date and start time is equal or later than the current date or time).",User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A). upcoming_appointment(A) :- Appointment(A), appointment_date(A, Date), appointment_time(A, Time), current_date(CurrDate), current_time(CurrTime), (Date > CurrDate) or (Date = CurrDate and Time >= CurrTime).","can_view_appointments(U, A) :- User(U), Appointment(A), has_appointment(U, A), upcoming_appointment(A).","< can_view_appointments, (u_a, (""[has_appointment]"", 1)) >"
A user can sort messages in his or her message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.,User(U).,"Message(M), Recipient(R), LastName(LN), Timestamp(TS), SortOrder(SO).","has_outbox(U, M) :- User(U), Message(M).
has_recipient(M, R) :- Message(M), Recipient(R).
has_last_name(R, LN) :- Recipient(R), LastName(LN).
has_timestamp(M, TS) :- Message(M), Timestamp(TS).
ascending(SO) :- SortOrder(SO).
descending(SO) :- SortOrder(SO).","can_sort_by_last_name(U, M, LN, SO) :- User(U), Message(M), Recipient(R), LastName(LN), SortOrder(SO), has_outbox(U, M), has_recipient(M, R), has_last_name(R, LN), not can_sort_by_timestamp(U, M, TS, SO).
can_sort_by_timestamp(U, M, TS, SO) :- User(U), Message(M), Timestamp(TS), SortOrder(SO), has_outbox(U, M), has_timestamp(M, TS), not can_sort_by_last_name(U, M, LN, SO).","< can_sort_by_last_name, (u_a, ¬ (""[can_sort_by_timestamp]"", 1)) >
< can_sort_by_timestamp, (u_a, ¬ (""[can_sort_by_last_name]"", 1)) >"
The licensed health care professional making a diagnosis determines if a patient is granted the ability to restrict viewing of the diagnosis.,"LicensedHealthCareProfessional(LHCP), Patient(P).",Diagnosis(D).,"makes_diagnosis(LHCP, P, D) :- LicensedHealthCareProfessional(LHCP), Patient(P), Diagnosis(D).","can_restrict_viewing(P, D) :- LicensedHealthCareProfessional(LHCP), Patient(P), Diagnosis(D), makes_diagnosis(LHCP, P, D).","< can_restrict_viewing, (u_a, (""[makes_diagnosis^{-1}.makes_diagnosis]"", 2)) >"
The iTrust user (LHCP or ER) has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
"After the patient logs in, an activity feed is displayed .",Patient(P).,ActivityFeed(AF).,"has_access(P, AF) :- Patient(P), ActivityFeed(AF).","can_view(P, AF) :- Patient(P), ActivityFeed(AF), has_access(P, AF).","< can_view, (u_a, (""[has_access]"", 1)) >"
All email notifications should be executed through the fake email utility.,"User(U), System(S).","EmailNotification(N), FakeEmailUtility(F).","has_access_to(U, F) :- User(U), FakeEmailUtility(F).","can_execute_notification(S, N, F) :- System(S), EmailNotification(N), FakeEmailUtility(F), has_access_to(S, F).","< can_execute_notification, (u_a, (""[has_access_to]"", 1)) >"
The iTrust user has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
An HCP can reassign a previously created lab procedure .,HCP(H).,LabProcedure(L).,"created_by(L, H) :- LabProcedure(L), HCP(H).","can_reassign(H, L) :- HCP(H), LabProcedure(L), created_by(L, H).","< can_reassign, (u_a, (""[created_by^{-1}]"", 1)) >"
"The patient, UAP, or personal representative tries to enter more than ten physiologic data points for one day and is told additional data cannot be entered.","Patient(P), UAP(U), PersonalRepresentative(R).","PhysiologicDataPoint(DP), Day(D).","entered_data(S, DP, D) :- (Subject(S), PhysiologicDataPoint(DP), Day(D)), (S = P; S = U; S = R).","can_enter_data(S, DP, D) :- (Subject(S), PhysiologicDataPoint(DP), Day(D)), count_entered(S, D, Count), Count < 10. count_entered(S, D, Count) :- Subject(S), Day(D), Count = #count{DP : entered_data(S, DP, D)}.","< can_enter_data, (u_a, (""[count_entered]"", 1)) >"
The administrator will store information of a LOINC code (Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations.,Administrator(A).,LOINC_Code(L).,"has_access_to(A, L) :- Administrator(A), LOINC_Code(L).","can_store(A, L) :- Administrator(A), LOINC_Code(L), has_access_to(A, L).","< can_store, (u_a, (""[has_access_to]"", 1)) >"
An HCP can reassign a previously created lab procedure to a different Lab Technician if the lab procedure is not yet in the testing state.,"HCP(H), LabTechnician(LT).",LabProcedure(LP).,"created_by(LP, H) :- LabProcedure(LP), HCP(H).
assigned_to(LP, LT) :- LabProcedure(LP), LabTechnician(LT).
in_testing_state(LP) :- LabProcedure(LP).","can_reassign(H, LP, LT) :- HCP(H), LabProcedure(LP), LabTechnician(LT), created_by(LP, H), not in_testing_state(LP), not assigned_to(LP, LT).","< can_reassign, (u_a, ¬ (""[created_by^{-1}.assigned_to]"", 2)) >"
The user is prompted to try again.,User(U).,Prompt(P).,"prompted_to_try_again(U, P) :- User(U), Prompt(P).","can_retry(U, P) :- User(U), Prompt(P), prompted_to_try_again(U, P).","< can_retry, (u_a, (""[prompted_to_try_again]"", 1)) >"
The LHCP views his or her message inbox.,LHCP(L).,MessageInbox(I).,"has_inbox(L, I) :- LHCP(L), MessageInbox(I).","can_view(L, I) :- LHCP(L), MessageInbox(I), has_inbox(L, I).","< can_view, (u_a, (""[has_inbox]"", 1)) >"
His or her appointments in the current month shall be displayed on the calendar .,User(U).,"Appointment(A), Calendar(C).","has_appointment(U, A) :- User(U), Appointment(A).","can_view_calendar(U, C, A) :- User(U), Calendar(C), Appointment(A), has_appointment(U, A).","< can_view_calendar, (u_a, (""[has_appointment]"", 1)) >"
The LHCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,LHCP(L).,System(S).,"authenticated_in(L, S) :- LHCP(L), System(S).","can_access(L, S) :- LHCP(L), System(S), authenticated_in(L, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
A Lab Technician can view his or her assigned lab procedures.,LabTechnician(LT).,LabProcedure(LP).,"assigned_to(LT, LP) :- LabTechnician(LT), LabProcedure(LP).","can_view(LT, LP) :- LabTechnician(LT), LabProcedure(LP), assigned_to(LT, LP).","< can_view, (u_a, (""[assigned_to]"", 1)) >"
"The lab technician can specialize in blood work, tissue work, or general.",LabTechnician(LT).,Specialization(S).,"specializes_in(LT, S) :- LabTechnician(LT), Specialization(S).","can_specialize(LT, S) :- LabTechnician(LT), Specialization(S), specializes_in(LT, S).","< can_specialize, (u_a, (""[specializes_in]"", 1)) >"
"The user selects a laboratory procedure from the calendar to read its details by clicking the Read Details link beside or below the LOINC code displayed for the laboratory procedure, and then the details for the laboratory procedure shall be displayed in a new page, including laboratory procedure code, status, commentary, results, and office visit date when the laboratory procedure was ordered.",User(U).,"LaboratoryProcedure(LP), Calendar(C), LOINCCode(LC), Page(P).","has_access_to(U, LP) :- User(U), LaboratoryProcedure(LP). displays_on_calendar(LP, C) :- LaboratoryProcedure(LP), Calendar(C). has_loinc_code(LP, LC) :- LaboratoryProcedure(LP), LOINCCode(LC).","can_read_details(U, LP) :- User(U), LaboratoryProcedure(LP), has_access_to(U, LP), displays_on_calendar(LP, C), has_loinc_code(LP, LC).","< can_read_details, (u_a, (""[has_access_to]"", 1)) >"
"After entering all required information, the HCP selects the Add button .",HCP(H).,Button(B).,"has_access_to(H, B) :- HCP(H), Button(B).","can_select(H, B) :- HCP(H), Button(B), has_access_to(H, B).","< can_select, (u_a, (""[has_access_to]"", 1)) >"
An LHCP  views his or her iTrust homepage.,LHCP(L).,iTrustHomepage(H).,"has_homepage(L, H) :- LHCP(L), iTrustHomepage(H).","can_view(L, H) :- LHCP(L), iTrustHomepage(H), has_homepage(L, H).","< can_view, (u_a, (""[has_homepage]"", 1)) >"
"The patient clicks on the name of the LHCP for an expired prescription, and is presented with the contact information for that LHCP (including First Name Last Name, LHCP Type, Street Address 1, Street Address 2, City, State, Zip Code, Phone, and Contact Email); if any type of contact information is missing or the whole contact information for the LHCP is not available in the database, the corresponding missing types of information are simply shown as blank.","Patient(P), LHCP(L).",ExpiredPrescription(EP).,"has_expired_prescription(P, EP) :- Patient(P), ExpiredPrescription(EP).
has_lhcp(EP, L) :- ExpiredPrescription(EP), LHCP(L).
has_contact_info(L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail) :- LHCP(L).","can_view_contact_info(P, L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail) :- Patient(P), LHCP(L), has_expired_prescription(P, EP), has_lhcp(EP, L), has_contact_info(L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail).","< can_view_contact_info, (u_a, (""[has_expired_prescription.has_lhcp.has_contact_info]"", 3)) >"
The user clicks this number to view his or her message inbox.,User(U).,MessageInbox(M).,"has_access_to(U, M) :- User(U), MessageInbox(M).","can_view(U, M) :- User(U), MessageInbox(M), has_access_to(U, M).","< can_view, (u_a, (""[has_access_to]"", 1)) >"
A sending HCP edits a previously created patient referral as long as the referral has not been viewed by the receiving HCP.,"SendingHCP(S), ReceivingHCP(R).",PatientReferral(PR).,"created_by(PR, S) :- PatientReferral(PR), SendingHCP(S).
viewed_by(PR, R) :- PatientReferral(PR), ReceivingHCP(R).","can_edit(S, PR) :- SendingHCP(S), PatientReferral(PR), created_by(PR, S), not viewed_by(PR, R).","< can_edit, (u_a, (""[created_by^{-1}]"", 1)) >"
The HCP is presented with a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,HCP(H).,Patient(P).,"is_dlhcp(H, P) :- HCP(H), Patient(P).
needs_care(P) :- Patient(P).","can_view_patient_listing(H, P) :- HCP(H), Patient(P), is_dlhcp(H, P), needs_care(P).","< can_view_patient_listing, (u_a, (""[is_dlhcp]"", 1)) >"
The iTrust user (HCP) or administrator has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
The LHCP clicks an appointment to view more details.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_details(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).","< can_view_details, (u_a, (""[has_appointment]"", 1)) >"
A fake email is sent to the LHCP alerting the user that a new message has arrived.,"User(U), LHCP(L).","Email(E), Message(M).","is_fake_email(E) :- Email(E).
has_new_message(U, M) :- User(U), Message(M).
receives_alert(L, U, M) :- LHCP(L), User(U), Message(M), has_new_message(U, M).","can_send_fake_email(L, E, U, M) :- LHCP(L), Email(E), User(U), Message(M), is_fake_email(E), receives_alert(L, U, M).","< can_send_fake_email, (u_a, (""[receives_alert]"", 1)) >"
"On the patient homepage, the Patient views a notification center.",Patient(P).,NotificationCenter(NC).,"has_access_to(P, NC) :- Patient(P), NotificationCenter(NC).","can_view(P, NC) :- Patient(P), NotificationCenter(NC), has_access_to(P, NC).","< can_view, (u_a, (""[has_access_to]"", 1)) >"
HIPAA rules protect patients' information and also allow a patient to dictate who can access this information.,"Patient(P), User(U).",Information(I).,"has_information(P, I) :- Patient(P), Information(I).","can_access(U, I) :- User(U), Information(I), Patient(P), has_information(P, I), allows_access(P, U).","< can_access, (u_a, (""[allows_access^{-1}.has_information]"", 2)) >"
The iTrust user (LCHP) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
The public health agent can select to see the detail of a specific report.,PublicHealthAgent(A).,Report(R).,"has_access_to(A, R) :- PublicHealthAgent(A), Report(R).","can_view_detail(A, R) :- PublicHealthAgent(A), Report(R), has_access_to(A, R).","< can_view_detail, (u_a, (""[has_access_to]"", 1)) >"
An HCP can remove a previously created lab procedure for a given office visit.,"HCP(H), OfficeVisit(V).",LabProcedure(L).,"created_for(H, L, V) :- HCP(H), LabProcedure(L), OfficeVisit(V).","can_remove(H, L, V) :- HCP(H), LabProcedure(L), OfficeVisit(V), created_for(H, L, V).","< can_remove, (u_a, (""[created_for]"", 1)) >"
"The HCP has authenticated himself or herself in the iTrust Medical Records system (UC2),(UC3).",HCP(H).,System(S).,"authenticated_in(H, S) :- HCP(H), System(S).","can_access(H, S) :- HCP(H), System(S), authenticated_in(H, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
The user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,Patient(P).,System(S).,"authenticated_in(P, S) :- Patient(P), System(S).","can_access(P, S) :- Patient(P), System(S), authenticated_in(P, S).","< can_access, (u_a, (""[authenticated_in]"", 1)) >"
A receiving HCP views a list of received referrals .,HCP(H).,ReferralList(L).,"has_received_referral(H, L) :- HCP(H), ReferralList(L).","can_view(H, L) :- HCP(H), ReferralList(L), has_received_referral(H, L).","< can_view, (u_a, (""[has_received_referral]"", 1)) >"
The user can choose to examine recent trends in diagnoses.,User(U).,DiagnosisTrend(DT).,"has_access_to(U, DT) :- User(U), DiagnosisTrend(DT).","can_examine(U, DT) :- User(U), DiagnosisTrend(DT), has_access_to(U, DT).","< can_examine, (u_a, (""[has_access_to]"", 1)) >"
"The user selects a message from the list to read by clicking the 'Read' link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.",User(U).,Message(M).,"has_permission_to_read(U, M) :- User(U), Message(M), is_recipient(U, M) or is_sender(U, M).","can_read_message(U, M) :- User(U), Message(M), has_permission_to_read(U, M).","< can_read_message, (u_a, (""[has_permission_to_read]"", 1)) >"
A Lab Technician can view his or her priority queue of lab procedures .,LabTechnician(T).,LabProcedure(LP).,"has_priority_queue(T, LP) :- LabTechnician(T), LabProcedure(LP).","can_view(T, LP) :- LabTechnician(T), LabProcedure(LP), has_priority_queue(T, LP).","< can_view, (u_a, (""[has_priority_queue]"", 1)) >"
A sending HCP refers the patient to another receiving HCP .,"HCP(SendingHCP), HCP(ReceivingHCP).",Patient(P).,"refers_to(SendingHCP, P, ReceivingHCP) :- HCP(SendingHCP), Patient(P), HCP(ReceivingHCP).","can_refer(SendingHCP, P, ReceivingHCP) :- HCP(SendingHCP), Patient(P), HCP(ReceivingHCP), not refers_to(SendingHCP, P, ReceivingHCP).","< can_refer, (u_a, ¬ (""[refers_to]"", 1)) >"
The system directs the user to make a different choice.,User(U).,Choice(C).,"directs_to_change(U, C) :- User(U), Choice(C).","can_direct(U, C) :- User(U), Choice(C), directs_to_change(U, C).","< can_direct, (u_a, (""[directs_to_change]"", 1)) >"
"Similar to an administrator, a software tester is added by directly entering the software tester into the database by an administrator that has access to the database.","Administrator(A), SoftwareTester(ST).",Database(DB).,"has_access(A, DB) :- Administrator(A), Database(DB).","can_add_tester(A, ST, DB) :- Administrator(A), SoftwareTester(ST), Database(DB), has_access(A, DB).","< can_add_tester, (u_a, (""[has_access]"", 1)) >"
"Upon reading the report, the public health agent can choose to send a fake email message to the adverse event reporter to gain more information about the report.","PublicHealthAgent(A), AdverseEventReporter(R).","Report(REP), FakeEmailMessage(FEM).","has_read(A, REP) :- PublicHealthAgent(A), Report(REP).","can_send_fake_email(A, R, FEM, REP) :- PublicHealthAgent(A), AdverseEventReporter(R), FakeEmailMessage(FEM), Report(REP), has_read(A, REP).","< can_send_fake_email, (u_a, (""[has_read]"", 1)) >"
A patient has just been diagnosed with a condition and wants to find the LHCPs in the area who have handled that condition.,"Patient(P), LHCP(L).","Condition(C), Area(A).","diagnosed_with(P, C) :- Patient(P), Condition(C).
located_in(L, A) :- LHCP(L), Area(A).
handled_condition(L, C) :- LHCP(L), Condition(C).","can_find(P, L, C, A) :- Patient(P), LHCP(L), Condition(C), Area(A), diagnosed_with(P, C), located_in(L, A), handled_condition(L, C).","< can_find, (u_a, (""[diagnosed_with.handled_condition^{-1}.located_in]"", 3)) >"
"The patient chooses a specific referral from the list to view complete details about the referral: sending HCP name and specialty, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",Patient(P).,Referral(R).,"has_referral(P, R) :- Patient(P), Referral(R).","can_view_referral_details(P, R) :- Patient(P), Referral(R), has_referral(P, R).","< can_view_referral_details, (u_a, (""[has_referral]"", 1)) >"
