natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
Not all reviewers like to fill in review forms on-line.,Reviewer(R).,ReviewForm(F).,"likes_to_fill(R, F) :- Reviewer(R), ReviewForm(F).","can_fill_online(R, F) :- Reviewer(R), ReviewForm(F), likes_to_fill(R, F).","< can_fill_online, (u_a, (""[likes_to_fill]"", 1)) >"
"CyberChair significantly reduces the workload of the PC, by doing all necessary bookkeeping.",PC(P).,CyberChair(C).,"reduces_workload(C, P) :- CyberChair(C), PC(P).","can_use(C, P) :- CyberChair(C), PC(P), reduces_workload(C, P).","< can_use, (u_a, (""[reduces_workload]"", 1)) >"
"Reviewer - Use the first and last name (in lowercase) as login and password, respectively.",Reviewer(R).,"Login(L), Password(PW).","has_login(R, L) :- Reviewer(R), Login(L), L = lowercase(first_name(R)). has_password(R, PW) :- Reviewer(R), Password(PW), PW = lowercase(last_name(R)).","can_access(R, L, PW) :- Reviewer(R), Login(L), Password(PW), has_login(R, L), has_password(R, PW).","< can_access, (u_a, (""[has_password]"", 1)) >"
CyberChair offers the reviewers means to easily communicate to solve these conflicts.,Reviewer(R).,Conflict(C).,"has_conflict(R, C) :- Reviewer(R), Conflict(C).","can_communicate(R, C) :- Reviewer(R), Conflict(C), has_conflict(R, C).","< can_communicate, (u_a, (""[has_conflict]"", 1)) >"
Other scripts are so-called administrative scripts which are started by the maintainer.,Maintainer(M).,Script(S).,"administrative_script(S) :- Script(S). started_by(S, M) :- Script(S), Maintainer(M).","can_start(M, S) :- Maintainer(M), Script(S), administrative_script(S), started_by(S, M).","< can_start, (u_a, (""[started_by^{-1}]"", 1)) >"
Other scripts are so-called administrative scripts which are started automatically at regular intervals by the system (e.g. crontab on Unix systems).,"System(S), Script(SC).",Interval(I).,"is_administrative(SC) :- Script(SC).
started_at_interval(S, SC, I) :- System(S), Script(SC), Interval(I).","can_start_automatically(S, SC, I) :- System(S), Script(SC), Interval(I), is_administrative(SC), started_at_interval(S, SC, I).","< can_start_automatically, (u_a, (""[started_at_interval]"", 1)) >"
"After submission of a review, reviewers will be able to read the other reviewers' reviews.",Reviewer(R).,Review(REV).,"submitted_review(R, REV) :- Reviewer(R), Review(REV).","can_read(R, REV) :- Reviewer(R), Review(REV), submitted_review(R, _), not same_reviewer(R, REV). same_reviewer(R, REV) :- Reviewer(R), Review(REV), submitted_review(R, REV).","< can_read, (u_a, (""[submitted_review]"", 1)) >"
You can find out what happens.,User(U).,Event(E).,"can_access(U, E) :- User(U), Event(E).","can_find_out(U, E) :- User(U), Event(E), can_access(U, E).","< can_find_out, (u_a, (""[can_access]"", 1)) >"
The table of contents and author index of the proceedings are generated by CyberChair for electronic delivery to the publisher.,"CyberChair(C), Publisher(P).","TableOfContents(TOC), AuthorIndex(AI), Proceedings(PR).","generates(C, TOC) :- CyberChair(C), TableOfContents(TOC). generates(C, AI) :- CyberChair(C), AuthorIndex(AI). part_of(TOC, PR) :- TableOfContents(TOC), Proceedings(PR). part_of(AI, PR) :- AuthorIndex(AI), Proceedings(PR).","can_deliver(C, P, TOC, AI) :- CyberChair(C), Publisher(P), TableOfContents(TOC), AuthorIndex(AI), generates(C, TOC), generates(C, AI).","< can_deliver, (u_a, (""[generates]"", 1)) >"
The camera-ready papers are prepared for electronic delivery to the publisher.,"Author(A), Publisher(PUB).",Paper(PA).,"has_paper(A, PA) :- Author(A), Paper(PA).","can_deliver(A, PUB, PA) :- Author(A), Publisher(PUB), Paper(PA), has_paper(A, PA).","< can_deliver, (u_a, (""[has_paper]"", 1)) >"
CyberChair can handle the paper distribution.,CyberChair(C).,Paper(P).,"handles_distribution(C, P) :- CyberChair(C), Paper(P).","can_handle(C, P) :- CyberChair(C), Paper(P), handles_distribution(C, P).","< can_handle, (u_a, (""[handles_distribution]"", 1)) >"
CyberChair prepares overviews of reviews which can be used during the PC meeting.,"CyberChair(C), PC_Member(P).","Review(R), Overview(O).","has_review(R) :- Review(R). prepares_overview(C, O) :- CyberChair(C), Overview(O). can_use(P, O) :- PC_Member(P), Overview(O).","can_prepare_overview(C, O) :- CyberChair(C), Overview(O). can_access_overview(P, O) :- PC_Member(P), Overview(O), prepares_overview(C, O).","< can_prepare_overview, (u_a, (""[prepares_overview]"", 1)) >"
Reviewers must fill in the review forms.,Reviewer(R).,ReviewForm(F).,"assigned_to(R, F) :- Reviewer(R), ReviewForm(F).","can_fill(R, F) :- Reviewer(R), ReviewForm(F), assigned_to(R, F).","< can_fill, (u_a, (""[assigned_to]"", 1)) >"
"PCC will send camera-ready format, together with the preface and the table of contents to the publisher to have the proceedings printed.",PCC(PCC).,"CameraReadyFormat(CRF), Preface(PF), TableOfContents(TOC), Publisher(PUB), Proceedings(PR).","has_camera_ready_format(PCC, CRF) :- PCC(PCC), CameraReadyFormat(CRF). has_preface(PCC, PF) :- PCC(PCC), Preface(PF). has_table_of_contents(PCC, TOC) :- PCC(PCC), TableOfContents(TOC). can_print(PUB, PR) :- Publisher(PUB), Proceedings(PR).","can_send(PCC, PUB, CRF, PF, TOC) :- PCC(PCC), Publisher(PUB), CameraReadyFormat(CRF), Preface(PF), TableOfContents(TOC), has_camera_ready_format(PCC, CRF), has_preface(PCC, PF), has_table_of_contents(PCC, TOC).","< can_send, (u_a, (""[has_table_of_contents]"", 1)) >"
CyberChair transforms review forms into a format that can be used for display in a browser.,CyberChair(C).,"ReviewForm(RF), BrowserFormat(BF).","transforms(C, RF, BF) :- CyberChair(C), ReviewForm(RF), BrowserFormat(BF).","can_display(C, RF, BF) :- CyberChair(C), ReviewForm(RF), BrowserFormat(BF), transforms(C, RF, BF).","< can_display, (u_a, (""[transforms]"", 1)) >"
