natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
The patient can undesignate any LHCP as being a DLHCP for them.,"Patient(P), LHCP(L).",DLHCP(D).,"is_dlhcp_for(L, P) :- LHCP(L), Patient(P).","can_undesignate(P, L) :- Patient(P), LHCP(L), is_dlhcp_for(L, P).",is_dlhcp_for^{-1}
The HCP's medical identification number should also be maintained.,HCP(H).,MedicalID(M).,"has_medical_id(H, M) :- HCP(H), MedicalID(M).","maintain_medical_id(H, M) :- HCP(H), MedicalID(M), has_medical_id(H, M).",has_medical_id
The HCP selects a medication prescribed from a pull down list.,HCP(H).,Medication(M).,"prescribed_medication(H, M) :- HCP(H), Medication(M).","can_select(H, M) :- HCP(H), Medication(M), prescribed_medication(H, M).",prescribed_medication
A patient or personal representative may view medical records including family history.,"Patient(P), PersonalRepresentative(R).","MedicalRecord(M), FamilyHistory(F).","has_record(P, M) :- Patient(P), MedicalRecord(M). includes_family_history(M, F) :- MedicalRecord(M), FamilyHistory(F). is_representative(R, P) :- PersonalRepresentative(R), Patient(P).","can_view(P, M) :- Patient(P), MedicalRecord(M), has_record(P, M). can_view(R, M) :- PersonalRepresentative(R), MedicalRecord(M), Patient(P), is_representative(R, P), has_record(P, M). can_view(P, F) :- Patient(P), FamilyHistory(F), MedicalRecord(M), has_record(P, M), includes_family_history(M, F). can_view(R, F) :- PersonalRepresentative(R), FamilyHistory(F), MedicalRecord(M), Patient(P), is_representative(R, P), has_record(P, M), includes_family_history(M, F).",has_record
The LHCP then sends the request or to cancel.,LHCP(L).,Request(R).,"can_send(L, R) :- LHCP(L), Request(R).","send_request(L, R) :- LHCP(L), Request(R), can_send(L, R). cancel_request(L, R) :- LHCP(L), Request(R), can_send(L, R).",can_send
"""A patient views basic information about his designated LHCPs, including the name, phone number, and contact email information.""",Patient(P).,LHCP(L).,"designated(P, L) :- Patient(P), LHCP(L).","can_view(P, L) :- Patient(P), LHCP(L), designated(P, L).",designated
"""Additionally, the HCP can document none, one, or more medications prescribed; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures performed; and none, one, or more immunizations given chosen from appropriate pull-down lists.""",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","can_document_medication(H, M) :- HCP(H), Medication(M).
can_document_lab_procedure(H, L) :- HCP(H), LabProcedure(L).
can_document_diagnosis(H, D) :- HCP(H), Diagnosis(D).
can_document_medical_procedure(H, MP) :- HCP(H), MedicalProcedure(MP).
can_document_immunization(H, I) :- HCP(H), Immunization(I).","can_document(H, M, L, D, MP, I) :- HCP(H), Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I), can_document_medication(H, M), can_document_lab_procedure(H, L), can_document_diagnosis(H, D), can_document_medical_procedure(H, MP), can_document_immunization(H, I).",can_document_immunization
"""System presents a list of the patients whose height, weight, or pedometer data type is specified to be under monitoring and for which he or she is allowed to report measurements.""","User(U), Patient(P).",DataType(DT).,"under_monitoring(P, DT) :- Patient(P), DataType(DT).
can_report(U, P, DT) :- User(U), Patient(P), DataType(DT).","can_view_patient_list(U, P) :- User(U), Patient(P), under_monitoring(P, DT), can_report(U, P, DT), (DT = 'height'; DT = 'weight'; DT = 'pedometer').",can_report
A LHCP creates UAPs.,LHCP(L).,UAP(U).,"creates(L, U) :- LHCP(L), UAP(U).","can_create(L, U) :- LHCP(L), UAP(U), creates(L, U).",creates
The LHCP views all patients with which he or she has ever had an office visit with.,LHCP(L).,Patient(P).,"had_office_visit(L, P) :- LHCP(L), Patient(P).","can_view(L, P) :- LHCP(L), Patient(P), had_office_visit(L, P).",had_office_visit
The HCP must remain on the office visit page.,HCP(H).,OfficeVisitPage(OVP).,"is_on_page(H, OVP) :- HCP(H), OfficeVisitPage(OVP).","must_remain_on_page(H, OVP) :- HCP(H), OfficeVisitPage(OVP), is_on_page(H, OVP).",is_on_page
An LHCP views the physiologic data monitoring details.,LHCP(L).,PhysiologicData(PD).,"has_access(L, PD) :- LHCP(L), PhysiologicData(PD).","can_view(L, PD) :- LHCP(L), PhysiologicData(PD), has_access(L, PD).",has_access
The patient chooses prescription report.,Patient(P).,PrescriptionReport(PR).,"chooses(P, PR) :- Patient(P), PrescriptionReport(PR).","can_choose(P, PR) :- Patient(P), PrescriptionReport(PR), chooses(P, PR).",chooses
"""System presents a listing of all their own diagnoses, sorted by diagnosis date (more recent first).""",User(U).,Diagnosis(D).,"has_diagnosis(U, D) :- User(U), Diagnosis(D).","can_view_diagnoses(U, D) :- User(U), Diagnosis(D), has_diagnosis(U, D).",has_diagnosis
The administrator maintains a listing of allowable drugs.,Administrator(A).,Drug(DR).,"maintains_listing(A, DR) :- Administrator(A), Drug(DR).","can_maintain(A, DR) :- Administrator(A), Drug(DR), maintains_listing(A, DR).",maintains_listing
The administrator is allowed to set the length of this period of time.,Administrator(A).,Period(P).,"has_authority(A, P) :- Administrator(A), Period(P).","can_set_length(A, P) :- Administrator(A), Period(P), has_authority(A, P).",has_authority
"""The user selects a laboratory procedure from the calendar to read its details by clicking the """"Read Details"""" link beside or below the LOINC code displayed for the laboratory procedure.""",User(U).,"LaboratoryProcedure(LP), Calendar(C), LOINCCode(LC).","has_access_to(U, LP) :- User(U), LaboratoryProcedure(LP), Calendar(C), LOINCCode(LC), displayed_on(LP, C), associated_with(LP, LC).","can_read_details(U, LP) :- User(U), LaboratoryProcedure(LP), has_access_to(U, LP).",has_access_to
"""After a message is sent, the LHCP is directed to his message outbox.""",LHCP(L).,Message(M).,"sent_by(L, M) :- LHCP(L), Message(M).","can_access_outbox(L, M) :- LHCP(L), Message(M), sent_by(L, M).",sent_by
The patient can add the HCP to their list of providers.,"Patient(P), HCP(H).",ProviderList(L).,"has_provider_list(P, L) :- Patient(P), ProviderList(L).","can_add_provider(P, H, L) :- Patient(P), HCP(H), ProviderList(L), has_provider_list(P, L).",has_provider_list
The administrator maintains a listing of allowable immunizations.,Administrator(A).,Immunization(I).,"maintains_allowable_listing(A, I) :- Administrator(A), Immunization(I).","can_maintain(A, I) :- Administrator(A), Immunization(I), maintains_allowable_listing(A, I).",maintains_allowable_listing
"""A patient, personal representative or LHCP views prescription reports.""","Patient(P), PersonalRepresentative(PR), LHCP(L).",PrescriptionReport(R).,"has_access(P, R) :- Patient(P), PrescriptionReport(R). has_access(PR, R) :- PersonalRepresentative(PR), PrescriptionReport(R). has_access(L, R) :- LHCP(L), PrescriptionReport(R).","can_view(S, R) :- Subject(S), PrescriptionReport(R), has_access(S, R).",has_access
"""System displays the details for the visit in a new page, including date of office visit, note text, diagnoses (i.e., ICD-9CM codes), medical procedures performed (i.e., CPT code) , lab procedures ordered (LOINC code, see Data Format 6.11), medications prescribed (i.e., NDC, see Data Format 5.6), immunizations given (i.e., CPT Code, see UC15, S1), and the name of the doctor who prescribed the medication.""","User(U), Doctor(D).","Visit(V), Diagnosis(DI), Procedure(PR), LabOrder(LO), Medication(M), Immunization(I).","has_access(U, V) :- User(U), Visit(V).
prescribed_by(M, D) :- Medication(M), Doctor(D).
associated_with(V, DI) :- Visit(V), Diagnosis(DI).
associated_with(V, PR) :- Visit(V), Procedure(PR).
associated_with(V, LO) :- Visit(V), LabOrder(LO).
associated_with(V, M) :- Visit(V), Medication(M).
associated_with(V, I) :- Visit(V), Immunization(I).","can_view_visit_details(U, V) :- User(U), Visit(V), has_access(U, V).",has_access
"""System displays the details for the visit in a new page, including date of office visit, note text, diagnoses (i.e., ICD-9CM codes), medical procedures performed (i.e., CPT code) , lab procedures ordered (LOINC code, see Data Format 6.11), medications prescribed (i.e., NDC, see Data Format 5.6), immunizations given (i.e., CPT Code, see UC15, S1), and the name of the doctor who prescribed the medication.""","User(U), Doctor(D).","Visit(V), Diagnosis(DI), Procedure(PR), LabOrder(LO), Medication(M), Immunization(I).","has_access(U, V) :- User(U), Visit(V).
prescribed_by(M, D) :- Medication(M), Doctor(D).
associated_with(V, DI) :- Visit(V), Diagnosis(DI).
associated_with(V, PR) :- Visit(V), Procedure(PR).
associated_with(V, LO) :- Visit(V), LabOrder(LO).
associated_with(V, M) :- Visit(V), Medication(M).
associated_with(V, I) :- Visit(V), Immunization(I).","can_view_doctor_name(U, D, M) :- User(U), Doctor(D), Medication(M), has_access(U, V), associated_with(V, M), prescribed_by(M, D).",has_access.associated_with
The representative views his message inbox.,Representative(R).,MessageInbox(MI).,"has_inbox(R, MI) :- Representative(R), MessageInbox(MI).","can_view(R, MI) :- Representative(R), MessageInbox(MI), has_inbox(R, MI).",has_inbox
The user can select an office visit from the calendar to read the visit's details.,User(U).,"OfficeVisit(OV), Calendar(C).","has_access_to(U, OV) :- User(U), OfficeVisit(OV), Calendar(C).","can_read(U, OV) :- User(U), OfficeVisit(OV), has_access_to(U, OV).",has_access_to
"""A personal health representative views basic information about his designated LHCPs, including the name, phone number, and contact email information.""",PersonalHealthRepresentative(PHR).,"LHCP(L), BasicInfo(BI).","designated(PHR, L) :- PersonalHealthRepresentative(PHR), LHCP(L). has_basic_info(L, BI) :- LHCP(L), BasicInfo(BI).","can_view(PHR, L, BI) :- PersonalHealthRepresentative(PHR), LHCP(L), BasicInfo(BI), designated(PHR, L), has_basic_info(L, BI).",designated.has_basic_info
An LHCP can delete a patient from his monitoring list by the LHCP typing the the patient's MID.,LHCP(L).,Patient(P).,"monitors(L, P) :- LHCP(L), Patient(P).","can_delete(L, P) :- LHCP(L), Patient(P), monitors(L, P).",monitors
System presents the LHCPs in the patient's living area (based upon the first three numbers of their zip code) who have handled this diagnosis in the last three years.,"Patient(P), LHCP(L).","Diagnosis(D), ZipCode(Z).","lives_in(P, Z) :- Patient(P), ZipCode(Z).
handled_diagnosis(L, D, Year) :- LHCP(L), Diagnosis(D), Year.
in_same_area(P, L) :- Patient(P), LHCP(L), lives_in(P, Z1), has_zip(L, Z2), substring(Z1, 0, 3) = substring(Z2, 0, 3).","can_present(L, P, D) :- LHCP(L), Patient(P), Diagnosis(D), in_same_area(P, L), handled_diagnosis(L, D, Year), Year >= current_year - 3.",handled_diagnosis
The patient then chooses the beginning and end date for the period of time.,Patient(P).,"Date(B), Date(E).","chooses_period(P, B, E) :- Patient(P), Date(B), Date(E).","can_choose_period(P, B, E) :- Patient(P), Date(B), Date(E), chooses_period(P, B, E).",chooses_period
"""On the patient homepage, the Patient views a notification center.""",Patient(P).,NotificationCenter(NC).,"has_access_to(P, NC) :- Patient(P), NotificationCenter(NC).","can_view(P, NC) :- Patient(P), NotificationCenter(NC), has_access_to(P, NC).",has_access_to
The notification center displays the message (You haven't entered remote monitoring information for today yet!),User(U).,"NotificationCenter(NC), Message(M).","has_message(NC, M) :- NotificationCenter(NC), Message(M).","displays(NC, M) :- NotificationCenter(NC), Message(M), has_message(NC, M).",has_message
A patient finds the LHCPs who have handled that condition.,"Patient(P), LHCP(L).",Condition(C).,"has_condition(P, C) :- Patient(P), Condition(C). handled_condition(L, C) :- LHCP(L), Condition(C).","can_find(P, L, C) :- Patient(P), LHCP(L), Condition(C), has_condition(P, C), handled_condition(L, C).",has_condition
Both patients and LHCPs can view a list of their upcoming appointments.,"Patient(P), LHCP(L).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).
has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A).",has_appointment
Both patients and LHCPs can view a list of their upcoming appointments.,"Patient(P), LHCP(L).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).
has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
A LHCP enters an UAP as a user of system according to data format 6.2 (all fields mandatory).,"LHCP(L), UAP(U).",System(S).,"enters_as_user(L, U, S) :- LHCP(L), UAP(U), System(S), data_format_6_2_compliant(L, U, S).","can_enter(L, U, S) :- LHCP(L), UAP(U), System(S), data_format_6_2_compliant(L, U, S).",data_format_6_2_compliant
The patient chooses drugs for which to report the adverse event.,Patient(P).,Drug(DR).,"chooses_drug(P, DR) :- Patient(P), Drug(DR).","can_report_adverse_event(P, DR) :- Patient(P), Drug(DR), chooses_drug(P, DR).",chooses_drug
The HCP can allow viewing access to the laboratory results.,HCP(H).,LabResult(L).,"has_access(H, L) :- HCP(H), LabResult(L).","can_view(H, L) :- HCP(H), LabResult(L), has_access(H, L).",has_access
Initially only the name and email are provided.,User(U).,"Name(N), Email(E).","has_name(U, N) :- User(U), Name(N). has_email(U, E) :- User(U), Email(E).","can_access_info(U, N, E) :- User(U), Name(N), Email(E), has_name(U, N), has_email(U, E).",has_email
The patient or personal health representative views an appointment.,"Patient(P), PersonalHealthRepresentative(R).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A). can_view(R, A) :- PersonalHealthRepresentative(R), Appointment(A), has_appointment(P, A), is_representative_of(R, P).",has_appointment
"""An LHCP views a list of his upcoming appointments for the current date, with each appointment displayed in the format """"HH:MM AM or PM - AppointmentType"""".""",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
He can report his blood pressure (systolic and diastolic) and glucose levels.,Patient(P).,"BloodPressure(BP), GlucoseLevel(GL).","has_blood_pressure(P, BP) :- Patient(P), BloodPressure(BP). has_glucose_level(P, GL) :- Patient(P), GlucoseLevel(GL).","can_report(P, BP, GL) :- Patient(P), BloodPressure(BP), GlucoseLevel(GL), has_blood_pressure(P, BP), has_glucose_level(P, GL).",has_glucose_level
The user provides a zip code or a hospital code and an physician type.,User(U).,"ZipCode(Z), HospitalCode(H), PhysicianType(T).","provides_zip_code(U, Z) :- User(U), ZipCode(Z). provides_hospital_code(U, H) :- User(U), HospitalCode(H). provides_physician_type(U, T) :- User(U), PhysicianType(T).","can_access_physician_info(U, Z, H, T) :- User(U), ZipCode(Z), HospitalCode(H), PhysicianType(T), (provides_zip_code(U, Z); provides_hospital_code(U, H)), provides_physician_type(U, T).",provides_physician_type
The patient clicks the send button.,Patient(P).,Button(B).,"can_click(P, B) :- Patient(P), Button(B).","click(P, B) :- Patient(P), Button(B), can_click(P, B).",can_click
An patient views his appointments in the current month.,Patient(P).,Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A), in_current_month(A).",has_appointment
"""The HCP must provide instructions, or else they cannot add the prescription.""",HCP(H).,Prescription(PR).,"provides_instructions(H, PR) :- HCP(H), Prescription(PR).","can_add_prescription(H, PR) :- HCP(H), Prescription(PR), provides_instructions(H, PR).",provides_instructions
The LHCP views the weight or pedometer monitoring details of his patients for the current date.,"LHCP(L), Patient(P).",MonitoringDetails(MD).,"has_patient(L, P) :- LHCP(L), Patient(P). has_details(P, MD) :- Patient(P), MonitoringDetails(MD). current_date(MD) :- MonitoringDetails(MD).","can_view(L, P, MD) :- LHCP(L), Patient(P), MonitoringDetails(MD), has_patient(L, P), has_details(P, MD), current_date(MD).",has_patient.has_details
A prescription list is then displayed.,User(U).,PrescriptionList(PL).,"has_access_to(U, PL) :- User(U), PrescriptionList(PL).","can_view(U, PL) :- User(U), PrescriptionList(PL), has_access_to(U, PL).",has_access_to
The administrator maintains a listing of allowable diagnoses.,Administrator(A).,Diagnosis(D).,"maintains_listing(A, D) :- Administrator(A), Diagnosis(D).","can_access_diagnosis(A, D) :- Administrator(A), Diagnosis(D), maintains_listing(A, D).",maintains_listing
System displays only the applicable input entries to the UAP.,UAP(U).,InputEntry(I).,"applicable_to(I, U) :- InputEntry(I), UAP(U).","display(I, U) :- InputEntry(I), UAP(U), applicable_to(I, U).",applicable_to
"""A patient, patient representative or LHCP opens his message inbox or outbox.""","Patient(P), PatientRepresentative(PR), LHCP(L).","MessageInbox(MI), MessageOutbox(MO).","has_access_to(P, MI), has_access_to(P, MO) :- Patient(P), MessageInbox(MI), MessageOutbox(MO). has_access_to(PR, MI), has_access_to(PR, MO) :- PatientRepresentative(PR), MessageInbox(MI), MessageOutbox(MO). has_access_to(L, MI), has_access_to(L, MO) :- LHCP(L), MessageInbox(MI), MessageOutbox(MO).","can_open(P, MI), can_open(P, MO) :- Patient(P), MessageInbox(MI), MessageOutbox(MO), has_access_to(P, MI), has_access_to(P, MO). can_open(PR, MI), can_open(PR, MO) :- PatientRepresentative(PR), MessageInbox(MI), MessageOutbox(MO), has_access_to(PR, MI), has_access_to(PR, MO). can_open(L, MI), can_open(L, MO) :- LHCP(L), MessageInbox(MI), MessageOutbox(MO), has_access_to(L, MI), has_access_to(L, MO).",has_access_to.has_access_to^{-1}.has_access_to
HCPs can return to an office visit.,HCP(H).,OfficeVisit(V).,"has_visit(H, V) :- HCP(H), OfficeVisit(V).","can_return(H, V) :- HCP(H), OfficeVisit(V), has_visit(H, V).",has_visit
System presents the actual operational profile of the operations of the iTrust.,User(U).,Operation(OP).,"has_access(U, OP) :- User(U), Operation(OP).","can_view_profile(U, OP) :- User(U), Operation(OP), has_access(U, OP).",has_access
The LHCP views his message inbox.,LHCP(L).,MessageInbox(I).,"has_message_inbox(L, I) :- LHCP(L), MessageInbox(I).","can_view(L, I) :- LHCP(L), MessageInbox(I), has_message_inbox(L, I).",has_message_inbox
The HCP must proceed with the prescription.,HCP(H).,Prescription(PR).,"can_proceed(H, PR) :- HCP(H), Prescription(PR).","proceed(H, PR) :- HCP(H), Prescription(PR), can_proceed(H, PR).",can_proceed
The LHCP views the physiologic data monitoring details of his patients for the current date.,LHCP(L).,"Patient(P), PhysiologicData(PD).","has_patient(L, P) :- LHCP(L), Patient(P). has_data(P, PD, current_date) :- Patient(P), PhysiologicData(PD).","can_view(L, P, PD) :- LHCP(L), Patient(P), PhysiologicData(PD), has_patient(L, P), has_data(P, PD, current_date).",has_patient.has_data
An LHCP chooses a chronic disease and a patient.,LHCP(L).,"ChronicDisease(CD), Patient(P).","can_choose(L, CD, P) :- LHCP(L), ChronicDisease(CD), Patient(P).","choose(L, CD, P) :- LHCP(L), ChronicDisease(CD), Patient(P), can_choose(L, CD, P).",can_choose
The LHCP views an appointment.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
The patient views his message inbox.,Patient(P).,MessageInbox(M).,"owns_inbox(P, M) :- Patient(P), MessageInbox(M).","can_view(P, M) :- Patient(P), MessageInbox(M), owns_inbox(P, M).",owns_inbox
"""By default, the messages in the message inbox should be ordered by timestamp, the most recent first.""",User(U).,Message(M).,"has_inbox(U, M) :- User(U), Message(M).
has_timestamp(M, T) :- Message(M), Timestamp(T).","can_view_ordered(U, M) :- User(U), Message(M), has_inbox(U, M), has_timestamp(M, T), ordered_by_timestamp_desc(M, T).",has_inbox
"""The HCP provides the dosage in milligrams, the start and end date for the prescription, and any special instructions.""",HCP(H).,"Prescription(PR), Dosage(D), StartDate(SD), EndDate(ED), SpecialInstructions(SI).","provides_dosage(H, PR, D) :- HCP(H), Prescription(PR), Dosage(D). provides_start_date(H, PR, SD) :- HCP(H), Prescription(PR), StartDate(SD). provides_end_date(H, PR, ED) :- HCP(H), Prescription(PR), EndDate(ED). provides_special_instructions(H, PR, SI) :- HCP(H), Prescription(PR), SpecialInstructions(SI).","can_provide_prescription_details(H, PR, D, SD, ED, SI) :- HCP(H), Prescription(PR), Dosage(D), StartDate(SD), EndDate(ED), SpecialInstructions(SI), provides_dosage(H, PR, D), provides_start_date(H, PR, SD), provides_end_date(H, PR, ED), provides_special_instructions(H, PR, SI).",provides_special_instructions
A user views physician satisfaction survey results.,User(U).,SurveyResult(SR).,"has_access_to(U, SR) :- User(U), SurveyResult(SR).","can_view(U, SR) :- User(U), SurveyResult(SR), has_access_to(U, SR).",has_access_to
An LHCP or UAP can delete patients from his monitoring list.,"LHCP(L), UAP(U).",Patient(P).,"monitors(S, P) :- (LHCP(S) ; UAP(S)), Patient(P).","can_delete(S, P) :- (LHCP(S) ; UAP(S)), Patient(P), monitors(S, P).",monitors
The representative clicks the send button.,Representative(R).,Button(B).,"has_access(R, B) :- Representative(R), Button(B).","can_click(R, B) :- Representative(R), Button(B), has_access(R, B).",has_access
A user can request to change their password.,User(U).,Password(PW).,"has_password(U, PW) :- User(U), Password(PW).","can_request_password_change(U, PW) :- User(U), Password(PW), has_password(U, PW).",has_password
The information is edited.,Editor(E).,Information(I).,"can_edit(E, I) :- Editor(E), Information(I).","edit_action(E, I) :- can_edit(E, I).",can_edit
"""The patient views the list sorted by the role of the accessor relative to the patient (personal health representative, DLHCP, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type.""","Patient(P), Accessor(A).","List(L), Role(R), Date(D).","has_role(A, R) :- Accessor(A), Role(R).
relative_to(A, P, R) :- Accessor(A), Patient(P), Role(R).
access_date(A, P, D) :- Accessor(A), Patient(P), Date(D).","can_view_sorted(P, L) :- Patient(P), List(L), sorted_by_role_and_date(P, L).",sorted_by_role_and_date
The representative types the subject and the text of a message.,Representative(R).,Message(M).,"types_subject(R, M) :- Representative(R), Message(M). types_text(R, M) :- Representative(R), Message(M).","can_type_message(R, M) :- Representative(R), Message(M), types_subject(R, M), types_text(R, M).",types_subject
"""The user selects an appointment from the calendar to read its details by clicking the """"Read Details"""" link beside or below the appointment type name.""",User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).","can_read_details(U, A) :- User(U), Appointment(A), has_appointment(U, A).",has_appointment
"""On the LHCP homepage, the LHCP views a notification center with a list of his upcoming appointments for the current date, number of physiologic data monitoring reports of his patients for the current date, number of weight or pedometer data monitoring reports of his patients for the current date, number of unread messages from his message inbox.""",LHCP(L).,"NotificationCenter(NC), Appointment(A), PhysiologicReport(PR), WeightPedometerReport(WPR), Message(M).","has_appointment(L, A) :- LHCP(L), Appointment(A).
has_patient(L, P) :- LHCP(L), Patient(P).
has_physiologic_report(P, PR) :- Patient(P), PhysiologicReport(PR).
has_weight_pedometer_report(P, WPR) :- Patient(P), WeightPedometerReport(WPR).
has_message(L, M) :- LHCP(L), Message(M).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
