natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
"""At the end of the semester, the student will be able to access the system to view an electronic report card.""",Student(S).,ReportCard(RC).,"has_report_card(S, RC) :- Student(S), ReportCard(RC).","can_view(S, RC) :- Student(S), ReportCard(RC), has_report_card(S, RC).",has_report_card
The system deletes the student from the system.,System(S).,Student(ST).,"enrolled_in(ST, S) :- Student(ST), System(S).","can_delete(S, ST) :- System(S), Student(ST), enrolled_in(ST, S).",enrolled_in^{-1}
"""In addition, each student will indicate two alternative choices in case the student cannot be assigned to a primary selection.""",Student(S).,Choice(C).,"has_primary_choice(S, C) :- Student(S), Choice(C). has_alternative_choice(S, C) :- Student(S), Choice(C).","can_assign_alternative(S, C) :- Student(S), Choice(C), has_alternative_choice(S, C), not has_primary_choice(S, C).",has_alternative_choice
The system displays a list of course offerings the Professor taught in the previous semester.,Professor(P).,CourseOffering(C).,"taught_in_previous_semester(P, C) :- Professor(P), CourseOffering(C).","can_view_course_list(P, C) :- Professor(P), CourseOffering(C), taught_in_previous_semester(P, C).",taught_in_previous_semester
The system requests that the Registrar enter the professor information.,Registrar(R).,ProfessorInfo(PI).,"has_access(R, PI) :- Registrar(R), ProfessorInfo(PI).","can_enter(R, PI) :- Registrar(R), ProfessorInfo(PI), has_access(R, PI).",has_access
This use case allows a Professor to submit student grades for one or more classes completed in the previous semester.,Professor(P).,"Student(S), Class(C).","teaches(P, C) :- Professor(P), Class(C).
completed(S, C) :- Student(S), Class(C).","can_submit_grade(P, S, C) :- Professor(P), Student(S), Class(C), teaches(P, C), completed(S, C).",teaches
"""If the Professor wishes to skip a particular student, the grade information can be left blank and filled in at a later time.""",Professor(P).,"Student(S), Grade(G).","teaches(P, S) :- Professor(P), Student(S).","can_skip_grade(P, S) :- Professor(P), Student(S), teaches(P, S).",teaches
The Professor selects a course offering.,Professor(P).,CourseOffering(CO).,"can_select(P, CO) :- Professor(P), CourseOffering(CO).","selects(P, CO) :- can_select(P, CO).",can_select
The system also retrieves and displays the list of courses the professor has previously selected to teach.,Professor(P).,Course(C).,"teaches(P, C) :- Professor(P), Course(C).","can_view_courses(P, C) :- Professor(P), Course(C), teaches(P, C).",teaches
"""If, in the Submit Schedule sub-flow, the system determines that the Student has not satisfied the necessary prerequisites, or that the selected course offering is full, or that there are schedule conflicts, an error message is displayed.""",Student(S).,CourseOffering(CO).,"has_prerequisite(S, CO) :- Student(S), CourseOffering(CO).
full_course(CO) :- CourseOffering(CO).
schedule_conflict(S, CO) :- Student(S), CourseOffering(CO).","can_submit_schedule(S, CO) :- Student(S), CourseOffering(CO), has_prerequisite(S, CO), not full_course(CO), not schedule_conflict(S, CO).",has_prerequisite
The system retrieves and displays the student information.,User(U).,StudentInfo(SI).,"has_access(U, SI) :- User(U), StudentInfo(SI).","can_retrieve_display(U, SI) :- User(U), StudentInfo(SI), has_access(U, SI).",has_access
"""If, in the Delete A Student  sub-flow, the Registrar decides not to delete the student, the delete is cancelled and the Basic Flow is re-started at the beginning.""",Registrar(R).,"Student(S), Flow(F).","in_subflow(R, S, 'Delete A Student') :- Registrar(R), Student(S).","cancel_delete(R, S) :- Registrar(R), Student(S), in_subflow(R, S, 'Delete A Student'), not decides_to_delete(R, S). restart_basic_flow(R, F) :- Registrar(R), Flow(F), cancel_delete(R, S).",in_subflow
The system prompts the Registrar to confirm the deletion of the professor.,"Registrar(R), System(S).",Professor(P).,"is_prompted_to_confirm_deletion(R, P) :- Registrar(R), Professor(P).","can_delete(R, P) :- Registrar(R), Professor(P), is_prompted_to_confirm_deletion(R, P).",is_prompted_to_confirm_deletion
The system provides the Registrar with the new professor id.,"Registrar(R), System(S).",ProfessorID(PID).,"provides(S, R, PID) :- System(S), Registrar(R), ProfessorID(PID).","can_provide(S, R, PID) :- System(S), Registrar(R), ProfessorID(PID), provides(S, R, PID).",provides
The system provides the Registrar with the new student id.,"Registrar(R), System(S).",StudentID(ID).,"provides(S, R, ID) :- System(S), Registrar(R), StudentID(ID).","can_access(R, ID) :- Registrar(R), StudentID(ID), provides(S, R, ID).",provides^{-1}.provides
The Student may update the course selections on the current selection by deleting and adding new course offerings.,Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_update(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).",has_selection
"""Once the student has made his or her selections, the system updates the schedule for the Student using the selected course offerings.""",Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_update_schedule(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).",has_selection
This use case allows the Registrar to maintain professor information in the registration system.,Registrar(R).,"Professor(P), RegistrationSystem(S).","maintains(R, P, S) :- Registrar(R), Professor(P), RegistrationSystem(S).","can_maintain(R, P, S) :- Registrar(R), Professor(P), RegistrationSystem(S), maintains(R, P, S).",maintains
The system requests that the Registrar enter the student information.,Registrar(R).,StudentInfo(SI).,"has_access(R, SI) :- Registrar(R), StudentInfo(SI).","can_enter(R, SI) :- Registrar(R), StudentInfo(SI), has_access(R, SI).",has_access
The Student can also update or delete course selections if changes are made within the add or drop period at the beginning of the semester.,Student(S).,Course(C).,"enrolled_in(S, C) :- Student(S), Course(C).","can_update(S, C) :- Student(S), Course(C), enrolled_in(S, C), within_add_drop_period(). can_delete(S, C) :- Student(S), Course(C), enrolled_in(S, C), within_add_drop_period().",enrolled_in
Professors cannot change the course offerings they teach after registration for the current semester has been closed.,Professor(P).,"Course(C), Semester(S).","teaches(P, C, S) :- Professor(P), Course(C), Semester(S). registration_closed(S) :- Semester(S).","cannot_change_course(P, C, S) :- Professor(P), Course(C), Semester(S), teaches(P, C, S), registration_closed(S).",teaches
"""This use case starts when the Registrar wishes to add, change, possibly and possibly delete student information in the system.""",Registrar(R).,StudentInfo(SI).,"has_permission(R, SI) :- Registrar(R), StudentInfo(SI).","can_modify(R, SI) :- Registrar(R), StudentInfo(SI), has_permission(R, SI).",has_permission
The Registrar enters the professor id.,Registrar(R).,Professor(P).,"enters_id(R, P) :- Registrar(R), Professor(P).","can_enter_id(R, P) :- Registrar(R), Professor(P), enters_id(R, P).",enters_id
This use case allows a Registrar to close the registration process.,Registrar(R).,RegistrationProcess(P).,"can_close(R, P) :- Registrar(R), RegistrationProcess(P).","close_registration(R, P) :- Registrar(R), RegistrationProcess(P), can_close(R, P).",can_close
"""If the use case was successful, the professor information is added, updated, or deleted from the system.""",User(U).,Professor(P).,"successful_use_case(U, P) :- User(U), Professor(P).","add_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P). update_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P). delete_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P).",successful_use_case
The system retrieves and displays the list of course offerings the professor is eligible to teach for the current semester.,Professor(P).,"CourseOffering(CO), Semester(S).","eligible_to_teach(P, CO) :- Professor(P), CourseOffering(CO), Semester(S), current_semester(S).","can_retrieve_display(P, CO) :- Professor(P), CourseOffering(CO), eligible_to_teach(P, CO).",eligible_to_teach
"""If the schedule contains “enrolled in” course offerings, the Student must be removed from the course offering.""",Student(S).,CourseOffering(CO).,"enrolled_in(S, CO) :- Student(S), CourseOffering(CO).","remove_from_course(S, CO) :- Student(S), CourseOffering(CO), enrolled_in(S, CO).",enrolled_in
The system retrieves and displays the professor information.,User(U).,Professor(P).,"has_access(U, P) :- User(U), Professor(P).","can_retrieve_display(U, P) :- User(U), Professor(P), has_access(U, P).",has_access
Students must be able to access the system during this time to add or drop courses.,Student(S).,"System(SY), Course(C).","enrolled_in(S, C) :- Student(S), Course(C).","can_access(S, SY) :- Student(S), System(SY), during_time(T). can_add_course(S, C) :- Student(S), Course(C), can_access(S, SY). can_drop_course(S, C) :- Student(S), Course(C), can_access(S, SY), enrolled_in(S, C).",can_access
"""Once the student has made his or her selections, the system creates a schedule for the Student containing the selected course offerings.""",Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_create_schedule(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).",has_selection
"""If the use case was successful, the student information is added, updated, or deleted from the system.""",User(U).,StudentInfo(SI).,"has_access(U, SI) :- User(U), StudentInfo(SI).","can_modify(U, SI) :- User(U), StudentInfo(SI), has_access(U, SI), use_case_successful(U, SI).",has_access
any selections will be lost,User(U).,Selection(S).,"has_selection(U, S) :- User(U), Selection(S).","lose_selection(U, S) :- User(U), Selection(S), has_selection(U, S).",has_selection
"The Student save the schedule, as is (see Save a Schedule subflow)",Student(S).,Schedule(SC).,"owns_schedule(S, SC) :- Student(S), Schedule(SC).","can_save(S, SC) :- Student(S), Schedule(SC), owns_schedule(S, SC).",owns_schedule
the delete is cancelled,User(U).,Resource(R).,"has_permission(U, R, delete) :- User(U), Resource(R).","can_cancel_delete(U, R) :- User(U), Resource(R), has_permission(U, R, delete).",has_permission
the Basic Flow is re-started at the beginning.,User(U).,Flow(F).,"can_restart(U, F) :- User(U), Flow(F).","restart_flow(U, F) :- User(U), Flow(F), can_restart(U, F).",can_restart
The system must prevent students from changing any schedules other than their own,Student(S).,Schedule(SC).,"owns_schedule(S, SC) :- Student(S), Schedule(SC).","can_change_schedule(S, SC) :- Student(S), Schedule(SC), owns_schedule(S, SC).",owns_schedule
The system must prevent professors from modifying assigned course offerings for other professors.,"Professor(P1), Professor(P2).",CourseOffering(CO).,"assigned_to(P1, CO) :- Professor(P1), CourseOffering(CO).","can_modify(P1, CO) :- Professor(P1), CourseOffering(CO), assigned_to(P1, CO), not (Professor(P2), P2 != P1, assigned_to(P2, CO)).",assigned_to
The system calculates the tuition owed by each student for his current semester schedule,Student(S).,"Semester(SE), Course(C), Tuition(T).","enrolled_in(S, C, SE) :- Student(S), Course(C), Semester(SE).","calculate_tuition(S, T, SE) :- Student(S), Tuition(T), Semester(SE), enrolled_in(S, _, SE).",enrolled_in
The system sends a transaction to the Billing System.,System(S).,BillingSystem(B).,"sends_transaction(S, B) :- System(S), BillingSystem(B).","can_send_transaction(S, B) :- System(S), BillingSystem(B), sends_transaction(S, B).",sends_transaction
The new system will access course information from the legacy database,System(S).,"Course(C), Database(DB).","has_access(S, DB) :- System(S), Database(DB).","can_access_course_info(S, C, DB) :- System(S), Course(C), Database(DB), has_access(S, DB).",has_access
The Student acknowledges the error message,Student(S).,ErrorMessage(EM).,"acknowledges(S, EM) :- Student(S), ErrorMessage(EM).","can_acknowledge(S, EM) :- Student(S), ErrorMessage(EM), acknowledges(S, EM).",acknowledges
