natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,crampton
Both patients and LHCPs can view a list of their upcoming appointments .,"Patient(P), LHCP(L).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).
has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
A patient may view his or her own lab procedure.,Patient(P).,LabProcedure(LP).,"has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP).","can_view(P, LP) :- Patient(P), LabProcedure(LP), has_lab_procedure(P, LP).",has_lab_procedure
The administrator has authenticated himself or herself in the iTrust Medical Records system (UC3).,Administrator(A).,System(S).,"authenticated_in(A, S) :- Administrator(A), System(S).","can_access(A, S) :- Administrator(A), System(S), authenticated_in(A, S).",authenticated_in
The iTrust user (patient) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
"The user selects a prescription from the calendar to read its details by clicking the Read Details link beside or below the medication displayed for the prescription, and then the details for the prescription shall be displayed in a new page, including the medications prescribed (i.e., NDC, see Data Format 6.6), date prescribed, start date, end date for each prescription, and the name of the doctor who prescribed the medication.","User(U), Doctor(D).","Prescription(PR), Medication(M).","has_prescription(U, PR) :- User(U), Prescription(PR).
prescribed_by(PR, D) :- Prescription(PR), Doctor(D).
contains_medication(PR, M) :- Prescription(PR), Medication(M).","can_read_details(U, PR) :- User(U), Prescription(PR), has_prescription(U, PR).",has_prescription
The HCP's medical identification number should also be maintained.,HCP(H).,MedicalID(M).,"has_medical_id(H, M) :- HCP(H), MedicalID(M).","maintain_medical_id(H, M) :- HCP(H), MedicalID(M), has_medical_id(H, M).",has_medical_id
An LHCP can delete a patient from his or her monitoring list by the LHCP typing the the patient's MID .,LHCP(L).,Patient(P).,"monitors(L, P) :- LHCP(L), Patient(P).","can_delete(L, P) :- LHCP(L), Patient(P), monitors(L, P).",monitors
An HCP may enter or edit their own demographic information according to data format 6.2.,HCP(H).,DemographicInfo(DI).,"owns(H, DI) :- HCP(H), DemographicInfo(DI).","can_enter_edit(H, DI) :- HCP(H), DemographicInfo(DI), owns(H, DI).",owns
A user chooses to view physician satisfaction survey results.,User(U).,Survey(S).,"has_access_to(U, S) :- User(U), Survey(S), is_physician_satisfaction_survey(S).","can_view(U, S) :- User(U), Survey(S), has_access_to(U, S).",has_access_to
An LHCP can view a list of their upcoming appointment requests .,LHCP(L).,AppointmentRequest(AR).,"has_upcoming_request(L, AR) :- LHCP(L), AppointmentRequest(AR).","can_view(L, AR) :- LHCP(L), AppointmentRequest(AR), has_upcoming_request(L, AR).",has_upcoming_request
A patient may view his or her own lab procedure results .,Patient(P).,LabProcedure(LP).,"has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP).","can_view(P, LP) :- Patient(P), LabProcedure(LP), has_lab_procedure(P, LP).",has_lab_procedure
"The sending HCP must select a receiving HCP by either entering the HCP's MID and confirming the selection, or by searching for the HCP by name.","HCP(SendingHCP), HCP(ReceivingHCP).",HCP(ReceivingHCP).,"can_select(SendingHCP, ReceivingHCP) :- HCP(SendingHCP), HCP(ReceivingHCP), (has_mid(ReceivingHCP, MID) ; has_name(ReceivingHCP, Name)).","select_hcp(SendingHCP, ReceivingHCP) :- HCP(SendingHCP), HCP(ReceivingHCP), can_select(SendingHCP, ReceivingHCP).",can_select
The LHCP clicks this number to view the physiologic data monitoring details of his or her patients for the current date.,LHCP(L).,"Patient(P), PhysiologicData(PD).","has_patient(L, P) :- LHCP(L), Patient(P). has_data(P, PD, Date) :- Patient(P), PhysiologicData(PD), Date(Date).","can_view(L, P, PD) :- LHCP(L), Patient(P), PhysiologicData(PD), has_patient(L, P), has_data(P, PD, current_date).",has_patient.has_data
The iTrust user (HCP or patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S).",authenticated
"The hcp documents the office visit date; hospital location of the office visit, if any, (the default should be the HCP's home location); and notes about an office visit.",HCP(H).,"OfficeVisit(OV), Date(D), HospitalLocation(HL), Note(N).","has_home_location(H, HL) :- HCP(H), HospitalLocation(HL).
has_office_visit(H, OV) :- HCP(H), OfficeVisit(OV).
has_date(OV, D) :- OfficeVisit(OV), Date(D).
has_location(OV, HL) :- OfficeVisit(OV), HospitalLocation(HL).
has_note(OV, N) :- OfficeVisit(OV), Note(N).","can_document(H, OV, D, HL, N) :- HCP(H), OfficeVisit(OV), Date(D), HospitalLocation(HL), Note(N), has_office_visit(H, OV), has_date(OV, D), (has_location(OV, HL) ; (not has_location(OV, _), has_home_location(H, HL))), has_note(OV, N).",has_office_visit.has_note
The iTrust user (patient or HCP) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","prescribed(H, M) :- HCP(H), Medication(M).
ordered(H, L) :- HCP(H), LabProcedure(L).
diagnosed(H, D) :- HCP(H), Diagnosis(D).
performed(H, MP) :- HCP(H), MedicalProcedure(MP).
given(H, I) :- HCP(H), Immunization(I).","can_document(H, M) :- HCP(H), Medication(M), prescribed(H, M).",prescribed
"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","prescribed(H, M) :- HCP(H), Medication(M).
ordered(H, L) :- HCP(H), LabProcedure(L).
diagnosed(H, D) :- HCP(H), Diagnosis(D).
performed(H, MP) :- HCP(H), MedicalProcedure(MP).
given(H, I) :- HCP(H), Immunization(I).","can_document(H, L) :- HCP(H), LabProcedure(L), ordered(H, L).",ordered
"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","prescribed(H, M) :- HCP(H), Medication(M).
ordered(H, L) :- HCP(H), LabProcedure(L).
diagnosed(H, D) :- HCP(H), Diagnosis(D).
performed(H, MP) :- HCP(H), MedicalProcedure(MP).
given(H, I) :- HCP(H), Immunization(I).","can_document(H, D) :- HCP(H), Diagnosis(D), diagnosed(H, D).",diagnosed
"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","prescribed(H, M) :- HCP(H), Medication(M).
ordered(H, L) :- HCP(H), LabProcedure(L).
diagnosed(H, D) :- HCP(H), Diagnosis(D).
performed(H, MP) :- HCP(H), MedicalProcedure(MP).
given(H, I) :- HCP(H), Immunization(I).","can_document(H, MP) :- HCP(H), MedicalProcedure(MP), performed(H, MP).",performed
"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","prescribed(H, M) :- HCP(H), Medication(M).
ordered(H, L) :- HCP(H), LabProcedure(L).
diagnosed(H, D) :- HCP(H), Diagnosis(D).
performed(H, MP) :- HCP(H), MedicalProcedure(MP).
given(H, I) :- HCP(H), Immunization(I).","can_document(H, I) :- HCP(H), Immunization(I), given(H, I).",given
An administrator chooses to maintain the hospital listing .,Administrator(A).,Hospital(H).,"has_maintain_access(A, H) :- Administrator(A), Hospital(H).","can_maintain(A, H) :- Administrator(A), Hospital(H), has_maintain_access(A, H).",has_maintain_access
An LHCP views the number of submitted physiologic data monitoring reports of his or her patients for the current date.,"LHCP(L), Patient(P).",Report(R).,"has_patient(L, P) :- LHCP(L), Patient(P).
submitted_report(P, R, current_date) :- Patient(P), Report(R).","can_view_report_count(L, current_date) :- LHCP(L), has_patient(L, P), submitted_report(P, R, current_date).",has_patient.submitted_report
"The HCP chooses a specific referral from the list to view complete details about the referral: patient name, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",HCP(H).,"Referral(R), Patient(P), HCP(ReceivingHCP).","has_referral(H, R) :- HCP(H), Referral(R). refers_to(R, P) :- Referral(R), Patient(P). referred_to(R, ReceivingHCP) :- Referral(R), HCP(ReceivingHCP).","can_view_referral_details(H, R) :- HCP(H), Referral(R), has_referral(H, R).",has_referral
"A user (an LHCP or patient) wishes to view a list of his or her upcoming appointments (i.e., a list including appointments whose appointment date and start time is equal or later than the current date or time).",User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A). upcoming_appointment(A) :- Appointment(A), appointment_date(A, Date), appointment_time(A, Time), current_date(CurrDate), current_time(CurrTime), (Date > CurrDate) or (Date = CurrDate and Time >= CurrTime).","can_view_appointments(U, A) :- User(U), Appointment(A), has_appointment(U, A), upcoming_appointment(A).",has_appointment
The licensed health care professional making a diagnosis determines if a patient is granted the ability to restrict viewing of the diagnosis.,"LicensedHealthCareProfessional(LHCP), Patient(P).",Diagnosis(D).,"makes_diagnosis(LHCP, P, D) :- LicensedHealthCareProfessional(LHCP), Patient(P), Diagnosis(D).","can_restrict_viewing(P, D) :- LicensedHealthCareProfessional(LHCP), Patient(P), Diagnosis(D), makes_diagnosis(LHCP, P, D).",makes_diagnosis^{-1}.makes_diagnosis
"The administrator will store (1) the CPT code (The CPT code set accurately describes medical, surgical, and diagnostic services and is designed to communicate uniform information about medical services and procedures among physicians, coders, patients, accreditation organizations, and payers for administrative, financial, and analytical purposes.",Administrator(A).,CPTCode(C).,"can_store(A, C) :- Administrator(A), CPTCode(C).","store(A, C) :- can_store(A, C).",can_store
A patient is added to the list by the LHCP or UAP typing in the patient's MID  or name.,"LHCP(L), UAP(U).","Patient(P), List(LIST).","has_mid(P, MID) :- Patient(P).
has_name(P, NAME) :- Patient(P).
can_add(L, P, LIST) :- LHCP(L), Patient(P), List(LIST).
can_add(U, P, LIST) :- UAP(U), Patient(P), List(LIST).","add_patient(L, P, LIST) :- can_add(L, P, LIST), (has_mid(P, MID) ; has_name(P, NAME)).",can_add
A patient is added to the list by the LHCP or UAP typing in the patient's MID  or name.,"LHCP(L), UAP(U).","Patient(P), List(LIST).","has_mid(P, MID) :- Patient(P).
has_name(P, NAME) :- Patient(P).
can_add(L, P, LIST) :- LHCP(L), Patient(P), List(LIST).
can_add(U, P, LIST) :- UAP(U), Patient(P), List(LIST).","add_patient(U, P, LIST) :- can_add(U, P, LIST), (has_mid(P, MID) ; has_name(P, NAME)).",can_add
The iTrust user (LHCP or ER) has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
"After the patient logs in, an activity feed is displayed .",Patient(P).,ActivityFeed(AF).,"has_access(P, AF) :- Patient(P), ActivityFeed(AF).","can_view(P, AF) :- Patient(P), ActivityFeed(AF), has_access(P, AF).",has_access
All email notifications should be executed through the fake email utility.,"User(U), System(S).","EmailNotification(N), FakeEmailUtility(F).","has_access_to(U, F) :- User(U), FakeEmailUtility(F).","can_execute_notification(S, N, F) :- System(S), EmailNotification(N), FakeEmailUtility(F), has_access_to(S, F).",has_access_to
The iTrust user has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
An HCP can reassign a previously created lab procedure .,HCP(H).,LabProcedure(L).,"created_by(L, H) :- LabProcedure(L), HCP(H).","can_reassign(H, L) :- HCP(H), LabProcedure(L), created_by(L, H).",created_by^{-1}
"The patient, UAP, or personal representative tries to enter more than ten physiologic data points for one day and is told additional data cannot be entered.","Patient(P), UAP(U), PersonalRepresentative(R).","PhysiologicDataPoint(DP), Day(D).","entered_data(S, DP, D) :- (Subject(S), PhysiologicDataPoint(DP), Day(D)), (S = P; S = U; S = R).","can_enter_data(S, DP, D) :- (Subject(S), PhysiologicDataPoint(DP), Day(D)), count_entered(S, D, Count), Count < 10. count_entered(S, D, Count) :- Subject(S), Day(D), Count = #count{DP : entered_data(S, DP, D)}.",count_entered
The administrator will store information of a LOINC code (Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations.,Administrator(A).,LOINC_Code(L).,"has_access_to(A, L) :- Administrator(A), LOINC_Code(L).","can_store(A, L) :- Administrator(A), LOINC_Code(L), has_access_to(A, L).",has_access_to
The user is prompted to try again.,User(U).,Prompt(P).,"prompted_to_try_again(U, P) :- User(U), Prompt(P).","can_retry(U, P) :- User(U), Prompt(P), prompted_to_try_again(U, P).",prompted_to_try_again
The LHCP views his or her message inbox.,LHCP(L).,MessageInbox(I).,"has_inbox(L, I) :- LHCP(L), MessageInbox(I).","can_view(L, I) :- LHCP(L), MessageInbox(I), has_inbox(L, I).",has_inbox
His or her appointments in the current month shall be displayed on the calendar .,User(U).,"Appointment(A), Calendar(C).","has_appointment(U, A) :- User(U), Appointment(A).","can_view_calendar(U, C, A) :- User(U), Calendar(C), Appointment(A), has_appointment(U, A).",has_appointment
The LHCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,LHCP(L).,System(S).,"authenticated_in(L, S) :- LHCP(L), System(S).","can_access(L, S) :- LHCP(L), System(S), authenticated_in(L, S).",authenticated_in
A Lab Technician can view his or her assigned lab procedures.,LabTechnician(LT).,LabProcedure(LP).,"assigned_to(LT, LP) :- LabTechnician(LT), LabProcedure(LP).","can_view(LT, LP) :- LabTechnician(LT), LabProcedure(LP), assigned_to(LT, LP).",assigned_to
"The lab technician can specialize in blood work, tissue work, or general.",LabTechnician(LT).,Specialization(S).,"specializes_in(LT, S) :- LabTechnician(LT), Specialization(S).","can_specialize(LT, S) :- LabTechnician(LT), Specialization(S), specializes_in(LT, S).",specializes_in
"The user selects a laboratory procedure from the calendar to read its details by clicking the Read Details link beside or below the LOINC code displayed for the laboratory procedure, and then the details for the laboratory procedure shall be displayed in a new page, including laboratory procedure code, status, commentary, results, and office visit date when the laboratory procedure was ordered.",User(U).,"LaboratoryProcedure(LP), Calendar(C), LOINCCode(LC), Page(P).","has_access_to(U, LP) :- User(U), LaboratoryProcedure(LP). displays_on_calendar(LP, C) :- LaboratoryProcedure(LP), Calendar(C). has_loinc_code(LP, LC) :- LaboratoryProcedure(LP), LOINCCode(LC).","can_read_details(U, LP) :- User(U), LaboratoryProcedure(LP), has_access_to(U, LP), displays_on_calendar(LP, C), has_loinc_code(LP, LC).",has_access_to
"After entering all required information, the HCP selects the Add button .",HCP(H).,Button(B).,"has_access_to(H, B) :- HCP(H), Button(B).","can_select(H, B) :- HCP(H), Button(B), has_access_to(H, B).",has_access_to
An LHCP  views his or her iTrust homepage.,LHCP(L).,iTrustHomepage(H).,"has_homepage(L, H) :- LHCP(L), iTrustHomepage(H).","can_view(L, H) :- LHCP(L), iTrustHomepage(H), has_homepage(L, H).",has_homepage
"The patient clicks on the name of the LHCP for an expired prescription, and is presented with the contact information for that LHCP (including First Name Last Name, LHCP Type, Street Address 1, Street Address 2, City, State, Zip Code, Phone, and Contact Email); if any type of contact information is missing or the whole contact information for the LHCP is not available in the database, the corresponding missing types of information are simply shown as blank.","Patient(P), LHCP(L).",ExpiredPrescription(EP).,"has_expired_prescription(P, EP) :- Patient(P), ExpiredPrescription(EP).
has_lhcp(EP, L) :- ExpiredPrescription(EP), LHCP(L).
has_contact_info(L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail) :- LHCP(L).","can_view_contact_info(P, L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail) :- Patient(P), LHCP(L), has_expired_prescription(P, EP), has_lhcp(EP, L), has_contact_info(L, FirstName, LastName, LHCPType, StreetAddress1, StreetAddress2, City, State, ZipCode, Phone, ContactEmail).",has_expired_prescription.has_lhcp.has_contact_info
The user clicks this number to view his or her message inbox.,User(U).,MessageInbox(M).,"has_access_to(U, M) :- User(U), MessageInbox(M).","can_view(U, M) :- User(U), MessageInbox(M), has_access_to(U, M).",has_access_to
"A patient is only given the choice to restrict viewing on selected diagnostic information, such as those related to mental illness, substance abuse, and cosmetic surgery.","Patient(P), Viewer(V).",DiagnosticInfo(DI).,"has_diagnosis(P, DI) :- Patient(P), DiagnosticInfo(DI).
restricted_category(DI) :- DiagnosticInfo(DI), (category(DI, 'mental_illness'); category(DI, 'substance_abuse'); category(DI, 'cosmetic_surgery')).","patient_restricted(P, DI) :- Patient(P), DiagnosticInfo(DI), restricted_category(DI), patient_choice(P, DI).",patient_choice
A sending HCP edits a previously created patient referral as long as the referral has not been viewed by the receiving HCP.,"SendingHCP(S), ReceivingHCP(R).",PatientReferral(PR).,"created_by(PR, S) :- PatientReferral(PR), SendingHCP(S).
viewed_by(PR, R) :- PatientReferral(PR), ReceivingHCP(R).","can_edit(S, PR) :- SendingHCP(S), PatientReferral(PR), created_by(PR, S), not viewed_by(PR, R).",created_by^{-1}
The HCP is presented with a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,HCP(H).,Patient(P).,"is_dlhcp(H, P) :- HCP(H), Patient(P).
needs_care(P) :- Patient(P).","can_view_patient_listing(H, P) :- HCP(H), Patient(P), is_dlhcp(H, P), needs_care(P).",is_dlhcp
The iTrust user (HCP) or administrator has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
The LHCP clicks an appointment to view more details.,LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_details(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A).",has_appointment
A fake email is sent to the LHCP alerting the user that a new message has arrived.,"User(U), LHCP(L).","Email(E), Message(M).","is_fake_email(E) :- Email(E).
has_new_message(U, M) :- User(U), Message(M).
receives_alert(L, U, M) :- LHCP(L), User(U), Message(M), has_new_message(U, M).","can_send_fake_email(L, E, U, M) :- LHCP(L), Email(E), User(U), Message(M), is_fake_email(E), receives_alert(L, U, M).",receives_alert
"On the patient homepage, the Patient views a notification center.",Patient(P).,NotificationCenter(NC).,"has_access_to(P, NC) :- Patient(P), NotificationCenter(NC).","can_view(P, NC) :- Patient(P), NotificationCenter(NC), has_access_to(P, NC).",has_access_to
HIPAA rules protect patients' information and also allow a patient to dictate who can access this information.,"Patient(P), User(U).",Information(I).,"has_information(P, I) :- Patient(P), Information(I).","can_access(U, I) :- User(U), Information(I), Patient(P), has_information(P, I), allows_access(P, U).",allows_access^{-1}.has_information
The iTrust user (LCHP) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S).",authenticated_in
The public health agent can select to see the detail of a specific report.,PublicHealthAgent(A).,Report(R).,"has_access_to(A, R) :- PublicHealthAgent(A), Report(R).","can_view_detail(A, R) :- PublicHealthAgent(A), Report(R), has_access_to(A, R).",has_access_to
The HCP is notified that the required fields contain too many characters.,HCP(H).,Field(F).,"has_field(H, F) :- HCP(H), Field(F).","notify_too_many_chars(H, F) :- HCP(H), Field(F), has_field(H, F), too_many_chars(F).",has_field
An HCP can remove a previously created lab procedure for a given office visit.,"HCP(H), OfficeVisit(V).",LabProcedure(L).,"created_for(H, L, V) :- HCP(H), LabProcedure(L), OfficeVisit(V).","can_remove(H, L, V) :- HCP(H), LabProcedure(L), OfficeVisit(V), created_for(H, L, V).",created_for
"The HCP has authenticated himself or herself in the iTrust Medical Records system (UC2),(UC3).",HCP(H).,System(S).,"authenticated_in(H, S) :- HCP(H), System(S).","can_access(H, S) :- HCP(H), System(S), authenticated_in(H, S).",authenticated_in
The user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,Patient(P).,System(S).,"authenticated_in(P, S) :- Patient(P), System(S).","can_access(P, S) :- Patient(P), System(S), authenticated_in(P, S).",authenticated_in
A receiving HCP views a list of received referrals .,HCP(H).,ReferralList(L).,"has_received_referral(H, L) :- HCP(H), ReferralList(L).","can_view(H, L) :- HCP(H), ReferralList(L), has_received_referral(H, L).",has_received_referral
The user can choose to examine recent trends in diagnoses.,User(U).,DiagnosisTrend(DT).,"has_access_to(U, DT) :- User(U), DiagnosisTrend(DT).","can_examine(U, DT) :- User(U), DiagnosisTrend(DT), has_access_to(U, DT).",has_access_to
"The user selects a message from the list to read by clicking the 'Read' link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.",User(U).,Message(M).,"has_permission_to_read(U, M) :- User(U), Message(M), is_recipient(U, M) or is_sender(U, M).","can_read_message(U, M) :- User(U), Message(M), has_permission_to_read(U, M).",has_permission_to_read
A Lab Technician can view his or her priority queue of lab procedures .,LabTechnician(T).,LabProcedure(LP).,"has_priority_queue(T, LP) :- LabTechnician(T), LabProcedure(LP).","can_view(T, LP) :- LabTechnician(T), LabProcedure(LP), has_priority_queue(T, LP).",has_priority_queue
The system directs the user to make a different choice.,User(U).,Choice(C).,"directs_to_change(U, C) :- User(U), Choice(C).","can_direct(U, C) :- User(U), Choice(C), directs_to_change(U, C).",directs_to_change
"Similar to an administrator, a software tester is added by directly entering the software tester into the database by an administrator that has access to the database.","Administrator(A), SoftwareTester(ST).",Database(DB).,"has_access(A, DB) :- Administrator(A), Database(DB).","can_add_tester(A, ST, DB) :- Administrator(A), SoftwareTester(ST), Database(DB), has_access(A, DB).",has_access
"Upon reading the report, the public health agent can choose to send a fake email message to the adverse event reporter to gain more information about the report.","PublicHealthAgent(A), AdverseEventReporter(R).","Report(REP), FakeEmailMessage(FEM).","has_read(A, REP) :- PublicHealthAgent(A), Report(REP).","can_send_fake_email(A, R, FEM, REP) :- PublicHealthAgent(A), AdverseEventReporter(R), FakeEmailMessage(FEM), Report(REP), has_read(A, REP).",has_read
A patient has just been diagnosed with a condition and wants to find the LHCPs in the area who have handled that condition.,"Patient(P), LHCP(L).","Condition(C), Area(A).","diagnosed_with(P, C) :- Patient(P), Condition(C).
located_in(L, A) :- LHCP(L), Area(A).
handled_condition(L, C) :- LHCP(L), Condition(C).","can_find(P, L, C, A) :- Patient(P), LHCP(L), Condition(C), Area(A), diagnosed_with(P, C), located_in(L, A), handled_condition(L, C).",diagnosed_with.handled_condition^{-1}.located_in
The LHCP chooses to schedule an appointment with a patient (it is assumed that the LHCP and patient have already worked out the details of the appointment in person or via telephone outside of the system).,"LHCP(L), Patient(P).",Appointment(A).,"can_schedule(L, P, A) :- LHCP(L), Patient(P), Appointment(A).","schedule_appointment(L, P, A) :- LHCP(L), Patient(P), Appointment(A), can_schedule(L, P, A).",can_schedule
