natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,fong
The Student selects 4 primary course offerings and 2 alternate course offerings from the list of available offerings.,Student(S).,CourseOffering(CO).,"selects_primary(S, CO) :- Student(S), CourseOffering(CO).
selects_alternate(S, CO) :- Student(S), CourseOffering(CO).","can_select(S) :- Student(S), count(selects_primary(S, CO)) = 4, count(selects_alternate(S, CO)) = 2.",Student
This use case allows the Registrar to maintain student information in the registration system.,Registrar(R).,"Student(S), RegistrationSystem(RS).","has_access_to(R, RS) :- Registrar(R), RegistrationSystem(RS).","can_maintain(R, S, RS) :- Registrar(R), Student(S), RegistrationSystem(RS), has_access_to(R, RS).",(Registrar ∧ <has_access_to>(RegistrationSystem))
The Student verifies the deletion.,Student(S).,Deletion(DEL).,"can_verify(S, DEL) :- Student(S), Deletion(DEL).","verify(S, DEL) :- Student(S), Deletion(DEL), can_verify(S, DEL).",(Student ∧ <can_verify>((Deletion ∧ owner)))
"""If, in the Update a Professor  or Delete a Professor sub-flows, a professor with the specified id number does not exist, the system displays an error message.""",User(U).,Professor(P).,"has_id(P, ID) :- Professor(P).","can_update_or_delete(U, P) :- User(U), Professor(P), has_id(P, ID). display_error(U) :- User(U), not exists Professor(P) with has_id(P, ID).",User
Professors will be able to access the system to sign up to teach courses as well as record grades.,Professor(P).,"Course(C), Grade(G).","teaches(P, C) :- Professor(P), Course(C).","can_access_system(P) :- Professor(P). can_sign_up_to_teach(P, C) :- Professor(P), Course(C). can_record_grade(P, G) :- Professor(P), Grade(G).",T
"""If, in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist, the system displays an error message.""",User(U).,Student(S).,"has_id(S, ID) :- Student(S).","can_update_or_delete(U, S) :- User(U), Student(S), has_id(S, ID). display_error(U, S) :- User(U), Student(S), not has_id(S, ID).",User
"""For each selected course offering on the schedule not already marked as “enrolled in”, the system verifies that the Student has the necessary prerequisites, that the course offering is open, and that there are no schedule conflicts.""",Student(S).,CourseOffering(CO).,"selected(S, CO) :- Student(S), CourseOffering(CO).
enrolled_in(S, CO) :- Student(S), CourseOffering(CO).
has_prerequisite(S, CO) :- Student(S), CourseOffering(CO).
open(CO) :- CourseOffering(CO).
conflict(S, CO) :- Student(S), CourseOffering(CO).","can_enroll(S, CO) :- Student(S), CourseOffering(CO), selected(S, CO), not enrolled_in(S, CO), has_prerequisite(S, CO), open(CO), not conflict(S, CO).",(Student ∧ ¬<enrolled_in>T ∧ ¬<conflict>T ∧ <selected>((CourseOffering ∧ open ∧ owner)) ∧ <has_prerequisite>((CourseOffering ∧ open ∧ owner)))
"""If, in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule, an error message is displayed.""","System(S), Student(ST).","Schedule(SCH), ErrorMessage(EM).","has_schedule(ST, SCH) :- Student(ST), Schedule(SCH).","display_error(S, ST, EM) :- System(S), Student(ST), ErrorMessage(EM), not has_schedule(ST, SCH).",System
The system requests that the Registrar enter the professor id,Registrar(R).,Professor(P).,"has_id(P, ID) :- Professor(P).","can_enter(R, P) :- Registrar(R), Professor(P).",Registrar
"""At the end of the semester, the student will be able to access the system to view an electronic report card.""",Student(S).,ReportCard(RC).,"has_report_card(S, RC) :- Student(S), ReportCard(RC).","can_view(S, RC) :- Student(S), ReportCard(RC), has_report_card(S, RC).",(Student ∧ <has_report_card>((ReportCard ∧ owner)))
The system requests that the Registrar enter the student id.,Registrar(R).,Student(S).,"has_id(S, ID) :- Student(S).","can_request_entry(R, S) :- Registrar(R), Student(S).",Registrar
The system deletes the student from the system.,System(S).,Student(ST).,"enrolled_in(ST, S) :- Student(ST), System(S).","can_delete(S, ST) :- System(S), Student(ST), enrolled_in(ST, S).",(System ∧ <-enrolled_in>((Student ∧ owner)))
"""In addition, each student will indicate two alternative choices in case the student cannot be assigned to a primary selection.""",Student(S).,Choice(C).,"has_primary_choice(S, C) :- Student(S), Choice(C). has_alternative_choice(S, C) :- Student(S), Choice(C).","can_assign_alternative(S, C) :- Student(S), Choice(C), has_alternative_choice(S, C), not has_primary_choice(S, C).",(Student ∧ ¬<has_primary_choice>T ∧ <has_alternative_choice>((Choice ∧ owner)))
The system displays a list of course offerings the Professor taught in the previous semester.,Professor(P).,CourseOffering(C).,"taught_in_previous_semester(P, C) :- Professor(P), CourseOffering(C).","can_view_course_list(P, C) :- Professor(P), CourseOffering(C), taught_in_previous_semester(P, C).",(Professor ∧ <taught_in_previous_semester>((CourseOffering ∧ owner)))
"""If there is no conflict, the system updates the course offering information for each offering the professor selects (i.e., records the professor as the instructor for the course offering).""",Professor(P).,CourseOffering(CO).,"has_conflict(P, CO) :- Professor(P), CourseOffering(CO).","can_update_offering(P, CO) :- Professor(P), CourseOffering(CO), not has_conflict(P, CO).",(Professor ∧ ¬<has_conflict>T)
"""If, in the Basic Flow, the professor is not eligible to teach any course offerings in the upcoming semester, the system will display an error message.""",Professor(P).,CourseOffering(CO).,"eligible_to_teach(P, CO) :- Professor(P), CourseOffering(CO).","display_error(P) :- Professor(P), not eligible_to_teach(P, _).",(Professor ∧ ¬<eligible_to_teach>T)
The system requests that the Registrar enter the professor information.,Registrar(R).,ProfessorInfo(PI).,"has_access(R, PI) :- Registrar(R), ProfessorInfo(PI).","can_enter(R, PI) :- Registrar(R), ProfessorInfo(PI), has_access(R, PI).",(Registrar ∧ <has_access>((ProfessorInfo ∧ owner)))
This use case allows a Professor to submit student grades for one or more classes completed in the previous semester.,Professor(P).,"Student(S), Class(C).","teaches(P, C) :- Professor(P), Class(C).
completed(S, C) :- Student(S), Class(C).","can_submit_grade(P, S, C) :- Professor(P), Student(S), Class(C), teaches(P, C), completed(S, C).",(Professor ∧ <teaches>((Class ∧ <-completed>((Student ∧ owner)))))
"""If the Professor wishes to skip a particular student, the grade information can be left blank and filled in at a later time.""",Professor(P).,"Student(S), Grade(G).","teaches(P, S) :- Professor(P), Student(S).","can_skip_grade(P, S) :- Professor(P), Student(S), teaches(P, S).",(Professor ∧ <teaches>((Student ∧ owner)))
"""Once the registration process is completed for a student, the registration system sends information to the billing system so the student can be billed for the semester.""","Student(S), RegistrationSystem(RS), BillingSystem(BS).",Semester(SEM).,"registered_for(S, SEM) :- Student(S), Semester(SEM).","can_bill(BS, S, SEM) :- BillingSystem(BS), Student(S), Semester(SEM), registered_for(S, SEM).",BillingSystem
The Professor selects a course offering.,Professor(P).,CourseOffering(CO).,"can_select(P, CO) :- Professor(P), CourseOffering(CO).","selects(P, CO) :- can_select(P, CO).",<can_select>(owner)
The system also retrieves and displays the list of courses the professor has previously selected to teach.,Professor(P).,Course(C).,"teaches(P, C) :- Professor(P), Course(C).","can_view_courses(P, C) :- Professor(P), Course(C), teaches(P, C).",(Professor ∧ <teaches>((Course ∧ owner)))
"""If, in the Submit Schedule sub-flow, the system determines that the Student has not satisfied the necessary prerequisites, or that the selected course offering is full, or that there are schedule conflicts, an error message is displayed.""",Student(S).,CourseOffering(CO).,"has_prerequisite(S, CO) :- Student(S), CourseOffering(CO).
full_course(CO) :- CourseOffering(CO).
schedule_conflict(S, CO) :- Student(S), CourseOffering(CO).","can_submit_schedule(S, CO) :- Student(S), CourseOffering(CO), has_prerequisite(S, CO), not full_course(CO), not schedule_conflict(S, CO).
display_error(S, CO) :- Student(S), CourseOffering(CO), not can_submit_schedule(S, CO).",(Student ∧ <has_prerequisite>((CourseOffering ∧ ¬full_course ∧ owner)))
The system retrieves and displays the student information.,User(U).,StudentInfo(SI).,"has_access(U, SI) :- User(U), StudentInfo(SI).","can_retrieve_display(U, SI) :- User(U), StudentInfo(SI), has_access(U, SI).",(User ∧ <has_access>((StudentInfo ∧ owner)))
"""If, in the Delete A Student  sub-flow, the Registrar decides not to delete the student, the delete is cancelled and the Basic Flow is re-started at the beginning.""",Registrar(R).,"Student(S), Flow(F).","in_subflow(R, S, 'Delete A Student') :- Registrar(R), Student(S).","cancel_delete(R, S) :- Registrar(R), Student(S), in_subflow(R, S, 'Delete A Student'), not decides_to_delete(R, S). restart_basic_flow(R, F) :- Registrar(R), Flow(F), cancel_delete(R, S).",Registrar
The system displays each student and any grade that was previously assigned for the offering.,User(U).,"Student(S), Offering(O), Grade(G).","enrolled_in(S, O) :- Student(S), Offering(O). assigned_grade(S, O, G) :- Student(S), Offering(O), Grade(G).","can_view_grade(U, S, O, G) :- User(U), Student(S), Offering(O), Grade(G), enrolled_in(S, O), assigned_grade(S, O, G).",User
"""If the use case was successful, student grades for a course offering are updated.""","Student(S), Instructor(I).","CourseOffering(CO), Grade(G).","enrolled_in(S, CO) :- Student(S), CourseOffering(CO).","can_update_grade(I, S, CO, G) :- Instructor(I), Student(S), CourseOffering(CO), Grade(G), enrolled_in(S, CO), use_case_successful().",Instructor
The system removes the professor from teaching the de-selected course offerings.,"System(S), Professor(P).",CourseOffering(CO).,"teaches(P, CO) :- Professor(P), CourseOffering(CO).","remove_teaching(S, P, CO) :- System(S), Professor(P), CourseOffering(CO), teaches(P, CO).",System
The system prompts the Registrar to confirm the deletion of the professor.,"Registrar(R), System(S).",Professor(P).,"is_prompted_to_confirm_deletion(R, P) :- Registrar(R), Professor(P).","can_delete(R, P) :- Registrar(R), Professor(P), is_prompted_to_confirm_deletion(R, P).",(Registrar ∧ <is_prompted_to_confirm_deletion>((Professor ∧ owner)))
"""If the use case was successful, the student schedule is created, updated, or deleted.""","Student(S), Administrator(A).",Schedule(SC).,"has_schedule(S, SC) :- Student(S), Schedule(SC).","can_modify_schedule(A, S, SC) :- Administrator(A), Student(S), Schedule(SC), use_case_successful().",Administrator
The system provides the Registrar with the new professor id.,"Registrar(R), System(S).",ProfessorID(PID).,"provides(S, R, PID) :- System(S), Registrar(R), ProfessorID(PID).","can_provide(S, R, PID) :- System(S), Registrar(R), ProfessorID(PID), provides(S, R, PID).",System
The system provides the Registrar with the new student id.,"Registrar(R), System(S).",StudentID(ID).,"provides(S, R, ID) :- System(S), Registrar(R), StudentID(ID).","can_access(R, ID) :- Registrar(R), StudentID(ID), provides(S, R, ID).",Registrar
The Professor may also change the grade for a student by entering a new grade.,Professor(P).,"Student(S), Grade(G).","has_grade(S, G) :- Student(S), Grade(G).","can_change_grade(P, S, G) :- Professor(P), Student(S), Grade(G).",Professor
The Student may update the course selections on the current selection by deleting and adding new course offerings.,Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_update(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).",(Student ∧ <has_selection>((CourseOffering ∧ owner)))
This use case allows a Student to register for course offerings in the current semester.,Student(S).,CourseOffering(CO).,is_current_semester(CO) :- CourseOffering(CO).,"can_register(S, CO) :- Student(S), CourseOffering(CO), is_current_semester(CO).",Student
"""Once the Registrar updates the necessary information, the system updates the student information.""","Registrar(R), System(S).","Student(ST), Information(I).","has_updated(R, I) :- Registrar(R), Information(I).","can_update(S, ST, I) :- System(S), Student(ST), Information(I), has_updated(R, I).",System
Only the Registrar is allowed to change any student information.,Registrar(R).,"Student(S), StudentInfo(I).","has_info(S, I) :- Student(S), StudentInfo(I).","can_change(R, S, I) :- Registrar(R), Student(S), StudentInfo(I), has_info(S, I).",Registrar
The Registrar verifies the deletion.,Registrar(R).,Deletion(D).,"verifies(R, D) :- Registrar(R), Deletion(D).","can_verify(R, D) :- Registrar(R), Deletion(D).",Registrar
The system deletes the professor from the system.,System(S).,Professor(P).,is_deleted(P) :- Professor(P).,"delete_professor(S, P) :- System(S), Professor(P), is_deleted(P).",System
"""For each semester, there is a period of time that students can change their schedule.""","Student(S), Semester(SM).",Schedule(SC).,"enrolled_in(S, SM) :- Student(S), Semester(SM).","can_change_schedule(S, SM, SC) :- Student(S), Semester(SM), Schedule(SC), enrolled_in(S, SM).",(Student ∧ <enrolled_in>((Semester ∧ owner)))
"""Once the student has made his or her selections, the system updates the schedule for the Student using the selected course offerings.""",Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_update_schedule(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).",(Student ∧ <has_selection>((CourseOffering ∧ owner)))
This use case allows a Student to view his or her report card for the previously completed semester.,Student(S).,"ReportCard(R), Semester(Sem).","completed_semester(S, Sem) :- Student(S), Semester(Sem).","can_view(S, R) :- Student(S), ReportCard(R), completed_semester(S, Sem).",(Student ∧ <completed_semester>(T))
The student is added to the system.,SystemAdmin(A).,Student(S).,enrolled(S) :- Student(S).,"add_student(A, S) :- SystemAdmin(A), Student(S), not enrolled(S).",SystemAdmin
This use case allows the Registrar to maintain professor information in the registration system.,Registrar(R).,"Professor(P), RegistrationSystem(S).","maintains(R, P, S) :- Registrar(R), Professor(P), RegistrationSystem(S).","can_maintain(R, P, S) :- Registrar(R), Professor(P), RegistrationSystem(S), maintains(R, P, S).",Registrar
The system requests that the Registrar enter the student information.,Registrar(R).,StudentInfo(SI).,"has_access(R, SI) :- Registrar(R), StudentInfo(SI).","can_enter(R, SI) :- Registrar(R), StudentInfo(SI), has_access(R, SI).",(Registrar ∧ <has_access>((StudentInfo ∧ owner)))
"""If so, the system commits the course offering for each schedule that contains it.""",System(S).,"CourseOffering(CO), Schedule(SCH).","contains(SCH, CO) :- Schedule(SCH), CourseOffering(CO).","commits(S, CO) :- System(S), CourseOffering(CO), Schedule(SCH), contains(SCH, CO).",System
"""Once the Registrar updates the necessary information, the system updates the professor record.""","Registrar(R), System(S).",ProfessorRecord(PR).,"has_updated(R, PR) :- Registrar(R), ProfessorRecord(PR).","can_update(S, PR) :- System(S), ProfessorRecord(PR), has_updated(R, PR).",System
The Student can also update or delete course selections if changes are made within the add or drop period at the beginning of the semester.,Student(S).,Course(C).,"enrolled_in(S, C) :- Student(S), Course(C).","can_update(S, C) :- Student(S), Course(C), enrolled_in(S, C), within_add_drop_period(). can_delete(S, C) :- Student(S), Course(C), enrolled_in(S, C), within_add_drop_period().",(Student ∧ <enrolled_in>((Course ∧ owner ∧ <-within_add_drop_period>(T))))
Professors cannot change the course offerings they teach after registration for the current semester has been closed.,Professor(P).,"Course(C), Semester(S).","teaches(P, C, S) :- Professor(P), Course(C), Semester(S). registration_closed(S) :- Semester(S).","cannot_change_course(P, C, S) :- Professor(P), Course(C), Semester(S), teaches(P, C, S), registration_closed(S).",Professor
"""At the beginning of each semester, students may request a course catalogue containing a list of course offerings for the semester.""",Student(S).,"CourseCatalogue(CC), Course(C).","contains(CC, C) :- CourseCatalogue(CC), Course(C).","can_request(S, CC) :- Student(S), CourseCatalogue(CC).",Student
"""If, in the Basic Flow, the system cannot find any grade information from the previous semester for the Student, a message is displayed.""",Student(S).,Message(M).,has_previous_grade(S) :- Student(S).,"display_message(S, M) :- Student(S), Message(M), not has_previous_grade(S).",(Student ∧ ¬has_previous_grade)
"""If the system is unable to communicate with the Course Catalog System, the system will display an error message to the Student.""","System(S), Student(ST).","CourseCatalog(CC), ErrorMessage(EM).","cannot_communicate(S, CC) :- System(S), CourseCatalog(CC).","display_error(S, ST, EM) :- System(S), Student(ST), ErrorMessage(EM), cannot_communicate(S, CC).",(System ∧ <cannot_communicate>(T))
The system requests that the Registrar enter the professor id.,Registrar(R).,Professor(P).,"has_id(P, ID) :- Professor(P).","can_enter(R, P) :- Registrar(R), Professor(P).",Registrar
"""In addition, the professors will be able to record the grades for the students in each class.""","Professor(P), Student(S).","Class(C), Grade(G).","enrolled_in(S, C) :- Student(S), Class(C). teaches(P, C) :- Professor(P), Class(C).","can_record_grade(P, S, C, G) :- Professor(P), Student(S), Class(C), Grade(G), teaches(P, C), enrolled_in(S, C).",(Professor ∧ <teaches>((Class ∧ <-enrolled_in>((Student ∧ owner)))))
The system retrieves a list of all students who were registered for the course offering.,System(S).,"Student(ST), CourseOffering(CO).","registered_for(ST, CO) :- Student(ST), CourseOffering(CO).","can_retrieve(S, ST, CO) :- System(S), Student(ST), CourseOffering(CO), registered_for(ST, CO).",System
"""This use case starts when the Registrar wishes to add, change, possibly and possibly delete student information in the system.""",Registrar(R).,StudentInfo(SI).,"has_permission(R, SI) :- Registrar(R), StudentInfo(SI).","can_modify(R, SI) :- Registrar(R), StudentInfo(SI), has_permission(R, SI).",(Registrar ∧ <has_permission>((StudentInfo ∧ owner)))
The Registrar enters the professor id.,Registrar(R).,Professor(P).,"enters_id(R, P) :- Registrar(R), Professor(P).","can_enter_id(R, P) :- Registrar(R), Professor(P), enters_id(R, P).",(Registrar ∧ <enters_id>((Professor ∧ owner)))
This use case allows a Registrar to close the registration process.,Registrar(R).,RegistrationProcess(P).,"can_close(R, P) :- Registrar(R), RegistrationProcess(P).","close_registration(R, P) :- Registrar(R), RegistrationProcess(P), can_close(R, P).",(Registrar ∧ <can_close>((RegistrationProcess ∧ owner)))
"""If the use case was successful, the professor information is added, updated, or deleted from the system.""",User(U).,Professor(P).,"successful_use_case(U, P) :- User(U), Professor(P).","add_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P). update_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P). delete_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P).",User
The system retrieves and displays the list of course offerings the professor is eligible to teach for the current semester.,Professor(P).,"CourseOffering(CO), Semester(S).","eligible_to_teach(P, CO) :- Professor(P), CourseOffering(CO), Semester(S), current_semester(S).","can_retrieve_display(P, CO) :- Professor(P), CourseOffering(CO), eligible_to_teach(P, CO).",(Professor ∧ <eligible_to_teach>((CourseOffering ∧ owner)))
The system requests that the Registrar enter the student id,Registrar(R).,Student(S).,"has_student_id(S, ID) :- Student(S).","can_enter_student_id(R, S, ID) :- Registrar(R), Student(S), has_student_id(S, ID).",Registrar
The system retrieves and displays the grade information for each of the course offerings the Student completed during the previous semester.,Student(S).,"CourseOffering(C), GradeInfo(G).","completed_course(S, C) :- Student(S), CourseOffering(C).","can_retrieve_grade(S, C, G) :- Student(S), CourseOffering(C), GradeInfo(G), completed_course(S, C).",(Student ∧ <completed_course>((CourseOffering ∧ owner)))
"""The system verifies that the selected offerings do not conflict (i.e., have the same dates and times) with each other or any course offerings that the professor has previously signed up to teach.""",Professor(P).,"CourseOffering(O), SelectedOffering(S).","signed_up(P, O) :- Professor(P), CourseOffering(O).
conflict(O1, O2) :- CourseOffering(O1), CourseOffering(O2), same_date_time(O1, O2).","can_select(P, S) :- Professor(P), SelectedOffering(S), CourseOffering(O), not conflict(S, O), not signed_up(P, O).",(Professor ∧ ¬<signed_up>T)
The Student selects the course offerings to add from the list of available course offerings.,Student(S).,CourseOffering(CO).,available(CO) :- CourseOffering(CO).,"can_select(S, CO) :- Student(S), CourseOffering(CO), available(CO).",Student
The system will also indicate which are the conflicting courses.,User(U).,Course(C).,"conflicts_with(C1, C2) :- Course(C1), Course(C2).","indicate_conflicts(U, C1, C2) :- User(U), Course(C1), Course(C2), conflicts_with(C1, C2).",User
This use case allows a Professor to select the course offerings from the course catalog for the courses that he or she is eligible for and wishes to teach in the upcoming semester.,Professor(P).,"Course(C), CourseOffering(O).","eligible_for(P, C) :- Professor(P), Course(C).
wishes_to_teach(P, C) :- Professor(P), Course(C).
part_of_catalog(C) :- Course(C).
upcoming_semester(O) :- CourseOffering(O).","can_select(P, O) :- Professor(P), CourseOffering(O), Course(C), eligible_for(P, C), wishes_to_teach(P, C), part_of_catalog(C), upcoming_semester(O).",(Professor ∧ <eligible_for>((Course ∧ part_of_catalog)) ∧ <wishes_to_teach>((Course ∧ part_of_catalog)))
The system then adds the Student to the selected course offering.,"System(S), Student(ST).",CourseOffering(CO).,"enrolled_in(ST, CO) :- Student(ST), CourseOffering(CO).","can_add(S, ST, CO) :- System(S), Student(ST), CourseOffering(CO).",System
"""If the schedule contains “enrolled in” course offerings, the Student must be removed from the course offering.""",Student(S).,CourseOffering(CO).,"enrolled_in(S, CO) :- Student(S), CourseOffering(CO).","remove_from_course(S, CO) :- Student(S), CourseOffering(CO), enrolled_in(S, CO).",(Student ∧ <enrolled_in>((CourseOffering ∧ owner)))
"""This includes adding, modifying, and deleting professors from the system.""",Administrator(A).,Professor(P).,is_administrator(A) :- Administrator(A).,"can_add(A, P) :- Administrator(A), Professor(P). can_modify(A, P) :- Administrator(A), Professor(P). can_delete(A, P) :- Administrator(A), Professor(P).",Administrator
The Registrar makes the desired changes to the professor information.,Registrar(R).,ProfessorInfo(PI).,,"can_modify(R, PI) :- Registrar(R), ProfessorInfo(PI).",Registrar
Professors must be able to access the on-line system to indicate which courses they will be teaching.,Professor(P).,"Course(C), System(S).","teaches(P, C) :- Professor(P), Course(C).","can_access(P, S) :- Professor(P), System(S). can_indicate(P, C) :- Professor(P), Course(C), teaches(P, C).",Professor
"""If a course fills up during the actual registration process, the student must be notified of the change before submitting the schedule for processing.""",Student(S).,Course(C).,fills_up(C) :- Course(C).,"must_notify(S, C) :- Student(S), Course(C), fills_up(C).",Student
Students cannot register for course offerings after registration for the current semester has been closed.,Student(S).,CourseOffering(CO).,registration_closed(CO) :- CourseOffering(CO).,"can_register(S, CO) :- Student(S), CourseOffering(CO), not registration_closed(CO).",Student
The system prompts the Registrar to confirm the deletion of the student.,"Registrar(R), System(S).",Student(ST).,"is_registrar_for(R, ST) :- Registrar(R), Student(ST).","prompt_to_confirm_deletion(S, R, ST) :- System(S), Registrar(R), Student(ST), is_registrar_for(R, ST).",System
The system retrieves and displays the professor information.,User(U).,Professor(P).,"has_access(U, P) :- User(U), Professor(P).","can_retrieve_display(U, P) :- User(U), Professor(P), has_access(U, P).",(User ∧ <has_access>((Professor ∧ owner)))
Students must be able to access the system during this time to add or drop courses.,Student(S).,"System(SY), Course(C).","enrolled_in(S, C) :- Student(S), Course(C).","can_access(S, SY) :- Student(S), System(SY), during_time(T). can_add_course(S, C) :- Student(S), Course(C), can_access(S, SY). can_drop_course(S, C) :- Student(S), Course(C), can_access(S, SY), enrolled_in(S, C).",Student
The system deletes the Schedule.,System(S).,Schedule(SC).,,"can_delete(S, SC) :- System(S), Schedule(SC).",System
"""For each course offering, the system closes all course offerings.""",System(S).,CourseOffering(CO).,,"can_close(S, CO) :- System(S), CourseOffering(CO).",System
The Close Registration processing cannot be performed if registration is in progress.,User(U).,Registration(R).,in_progress(R) :- Registration(R).,"can_close_registration(U, R) :- User(U), Registration(R), not in_progress(R).",User
The Registrar makes the desired changes to the student information.,Registrar(R).,"Student(S), Information(I).","has_information(S, I) :- Student(S), Information(I).","can_change(R, S, I) :- Registrar(R), Student(S), Information(I), has_information(S, I).",Registrar
The Registrar enters the student id.,Registrar(R).,Student(S).,"has_student_id(S, ID) :- Student(S).","can_enter(R, S, ID) :- Registrar(R), Student(S), has_student_id(S, ID).",Registrar
"""The Billing System will send the bill to the students, which will include a copy of their final schedule.""","BillingSystem(BS), Student(S).","Bill(B), FinalSchedule(FS).","has_final_schedule(S, FS) :- Student(S), FinalSchedule(FS).","can_send_bill(BS, S, B, FS) :- BillingSystem(BS), Student(S), Bill(B), FinalSchedule(FS), has_final_schedule(S, FS).",BillingSystem
"""Once the student has made his or her selections, the system creates a schedule for the Student containing the selected course offerings.""",Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_create_schedule(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).",(Student ∧ <has_selection>((CourseOffering ∧ owner)))
"""If the course offerings do not have at least three students at this point (some may have been added as a result of leveling), then the system cancels the course offering.""",System(S).,CourseOffering(CO).,"has_student(CO, St) :- CourseOffering(CO), Student(St).","can_cancel(S, CO) :- System(S), CourseOffering(CO), count_students(CO, Count), Count < 3.",System
"""If the systems find a schedule conflict when trying to establish the course offerings the Professor should take, the system will display an error message indicating that a schedule conflict has occurred.""",Professor(P).,"Course(C), Schedule(S).","has_schedule_conflict(P, C) :- Professor(P), Course(C), Schedule(S).","display_error(P) :- Professor(P), Course(C), has_schedule_conflict(P, C).",(Professor ∧ <has_schedule_conflict>(Course))
"""If the use case was successful, the student information is added, updated, or deleted from the system.""",User(U).,StudentInfo(SI).,"has_access(U, SI) :- User(U), StudentInfo(SI).","can_modify(U, SI) :- User(U), StudentInfo(SI), has_access(U, SI), use_case_successful(U, SI).",(User ∧ <has_access>((StudentInfo ∧ owner)) ∧ <use_case_successful>((StudentInfo ∧ owner)))
"""If, in the Basic Flow, the Professor did not teach any course offerings in the previous semester, the system will display an error message.""",Professor(P).,"Semester(S), CourseOffering(C).","previous_semester(S) :- Semester(S). taught(P, C, S) :- Professor(P), CourseOffering(C), Semester(S).","display_error(P) :- Professor(P), previous_semester(S), not taught(P, _, S).",Professor
