natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,carminati
"""For each selected course offering on the schedule not already marked as “enrolled in”, the system verifies that the Student has the necessary prerequisites, that the course offering is open, and that there are no schedule conflicts.""",Student(S).,CourseOffering(CO).,"selected(S, CO) :- Student(S), CourseOffering(CO).
enrolled_in(S, CO) :- Student(S), CourseOffering(CO).
has_prerequisite(S, CO) :- Student(S), CourseOffering(CO).
open(CO) :- CourseOffering(CO).
conflict(S, CO) :- Student(S), CourseOffering(CO).","can_enroll(S, CO) :- Student(S), CourseOffering(CO), selected(S, CO), not enrolled_in(S, CO), has_prerequisite(S, CO), open(CO), not conflict(S, CO).","Student(?S) ∧ CourseOffering(?CO) ∧ selected(?S,?CO) ∧ not enrolled_in(?S,?CO) ∧ has_prerequisite(?S,?CO) ∧ open(?CO) ∧ not conflict(?S,?CO) => can_enroll(?S,?CO)"
"""If, in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule, an error message is displayed.""","System(S), Student(ST).","Schedule(SCH), ErrorMessage(EM).","has_schedule(ST, SCH) :- Student(ST), Schedule(SCH).","display_error(S, ST, EM) :- System(S), Student(ST), ErrorMessage(EM), not has_schedule(ST, SCH).","System(?S) ∧ Student(?ST) ∧ ErrorMessage(?EM) ∧ not has_schedule(?ST,?SCH) => display_error(?S,?ST,?EM)"
The system requests that the Registrar enter the professor id,Registrar(R).,Professor(P).,"has_id(P, ID) :- Professor(P).","can_enter(R, P) :- Registrar(R), Professor(P).","Registrar(?R) ∧ Professor(?P) => can_enter(?R,?P)"
"""At the end of the semester, the student will be able to access the system to view an electronic report card.""",Student(S).,ReportCard(RC).,"has_report_card(S, RC) :- Student(S), ReportCard(RC).","can_view(S, RC) :- Student(S), ReportCard(RC), has_report_card(S, RC).","Student(?S) ∧ ReportCard(?RC) ∧ has_report_card(?S,?RC) => can_view(?S,?RC)"
The system requests that the Registrar enter the student id.,Registrar(R).,Student(S).,"has_id(S, ID) :- Student(S).","can_request_entry(R, S) :- Registrar(R), Student(S).","Registrar(?R) ∧ Student(?S) => can_request_entry(?R,?S)"
The system deletes the student from the system.,System(S).,Student(ST).,"enrolled_in(ST, S) :- Student(ST), System(S).","can_delete(S, ST) :- System(S), Student(ST), enrolled_in(ST, S).","System(?S) ∧ Student(?ST) ∧ enrolled_in(?ST,?S) => can_delete(?S,?ST)"
"""In addition, each student will indicate two alternative choices in case the student cannot be assigned to a primary selection.""",Student(S).,Choice(C).,"has_primary_choice(S, C) :- Student(S), Choice(C). has_alternative_choice(S, C) :- Student(S), Choice(C).","can_assign_alternative(S, C) :- Student(S), Choice(C), has_alternative_choice(S, C), not has_primary_choice(S, C).","Student(?S) ∧ Choice(?C) ∧ has_alternative_choice(?S,?C) ∧ not has_primary_choice(?S,?C) => can_assign_alternative(?S,?C)"
The system displays a list of course offerings the Professor taught in the previous semester.,Professor(P).,CourseOffering(C).,"taught_in_previous_semester(P, C) :- Professor(P), CourseOffering(C).","can_view_course_list(P, C) :- Professor(P), CourseOffering(C), taught_in_previous_semester(P, C).","Professor(?P) ∧ CourseOffering(?C) ∧ taught_in_previous_semester(?P,?C) => can_view_course_list(?P,?C)"
"""If there is no conflict, the system updates the course offering information for each offering the professor selects (i.e., records the professor as the instructor for the course offering).""",Professor(P).,CourseOffering(CO).,"has_conflict(P, CO) :- Professor(P), CourseOffering(CO).","can_update_offering(P, CO) :- Professor(P), CourseOffering(CO), not has_conflict(P, CO).","Professor(?P) ∧ CourseOffering(?CO) ∧ not has_conflict(?P,?CO) => can_update_offering(?P,?CO)"
"""If, in the Basic Flow, the professor is not eligible to teach any course offerings in the upcoming semester, the system will display an error message.""",Professor(P).,CourseOffering(CO).,"eligible_to_teach(P, CO) :- Professor(P), CourseOffering(CO).","display_error(P) :- Professor(P), not eligible_to_teach(P, _).","Professor(?P) ∧ not eligible_to_teach(?P,?_) => display_error(?P)"
The system requests that the Registrar enter the professor information.,Registrar(R).,ProfessorInfo(PI).,"has_access(R, PI) :- Registrar(R), ProfessorInfo(PI).","can_enter(R, PI) :- Registrar(R), ProfessorInfo(PI), has_access(R, PI).","Registrar(?R) ∧ ProfessorInfo(?PI) ∧ has_access(?R,?PI) => can_enter(?R,?PI)"
This use case allows a Professor to submit student grades for one or more classes completed in the previous semester.,Professor(P).,"Student(S), Class(C).","teaches(P, C) :- Professor(P), Class(C).
completed(S, C) :- Student(S), Class(C).","can_submit_grade(P, S, C) :- Professor(P), Student(S), Class(C), teaches(P, C), completed(S, C).","Professor(?P) ∧ Student(?S) ∧ Class(?C) ∧ teaches(?P,?C) ∧ completed(?S,?C) => can_submit_grade(?P,?S,?C)"
"""If the Professor wishes to skip a particular student, the grade information can be left blank and filled in at a later time.""",Professor(P).,"Student(S), Grade(G).","teaches(P, S) :- Professor(P), Student(S).","can_skip_grade(P, S) :- Professor(P), Student(S), teaches(P, S).","Professor(?P) ∧ Student(?S) ∧ teaches(?P,?S) => can_skip_grade(?P,?S)"
"""Once the registration process is completed for a student, the registration system sends information to the billing system so the student can be billed for the semester.""","Student(S), RegistrationSystem(RS), BillingSystem(BS).",Semester(SEM).,"registered_for(S, SEM) :- Student(S), Semester(SEM).","can_bill(BS, S, SEM) :- BillingSystem(BS), Student(S), Semester(SEM), registered_for(S, SEM).","BillingSystem(?BS) ∧ Student(?S) ∧ Semester(?SEM) ∧ registered_for(?S,?SEM) => can_bill(?BS,?S,?SEM)"
The Professor selects a course offering.,Professor(P).,CourseOffering(CO).,"can_select(P, CO) :- Professor(P), CourseOffering(CO).","selects(P, CO) :- can_select(P, CO).","can_select(?P,?CO) => selects(?P,?CO)"
The system also retrieves and displays the list of courses the professor has previously selected to teach.,Professor(P).,Course(C).,"teaches(P, C) :- Professor(P), Course(C).","can_view_courses(P, C) :- Professor(P), Course(C), teaches(P, C).","Professor(?P) ∧ Course(?C) ∧ teaches(?P,?C) => can_view_courses(?P,?C)"
"""If, in the Submit Schedule sub-flow, the system determines that the Student has not satisfied the necessary prerequisites, or that the selected course offering is full, or that there are schedule conflicts, an error message is displayed.""",Student(S).,CourseOffering(CO).,"has_prerequisite(S, CO) :- Student(S), CourseOffering(CO).
full_course(CO) :- CourseOffering(CO).
schedule_conflict(S, CO) :- Student(S), CourseOffering(CO).","can_submit_schedule(S, CO) :- Student(S), CourseOffering(CO), has_prerequisite(S, CO), not full_course(CO), not schedule_conflict(S, CO).
display_error(S, CO) :- Student(S), CourseOffering(CO), not can_submit_schedule(S, CO).","Student(?S) ∧ CourseOffering(?CO) ∧ has_prerequisite(?S,?CO) ∧ not full_course(?CO) ∧ not schedule_conflict(?S,?CO). display_error(S,?CO) => can_submit_schedule(?S,?CO)"
The system retrieves and displays the student information.,User(U).,StudentInfo(SI).,"has_access(U, SI) :- User(U), StudentInfo(SI).","can_retrieve_display(U, SI) :- User(U), StudentInfo(SI), has_access(U, SI).","User(?U) ∧ StudentInfo(?SI) ∧ has_access(?U,?SI) => can_retrieve_display(?U,?SI)"
"""If, in the Delete A Student  sub-flow, the Registrar decides not to delete the student, the delete is cancelled and the Basic Flow is re-started at the beginning.""",Registrar(R).,"Student(S), Flow(F).","in_subflow(R, S, 'Delete A Student') :- Registrar(R), Student(S).","cancel_delete(R, S) :- Registrar(R), Student(S), in_subflow(R, S, 'Delete A Student'), not decides_to_delete(R, S). restart_basic_flow(R, F) :- Registrar(R), Flow(F), cancel_delete(R, S).","Registrar(?R) ∧ Student(?S) ∧ in_subflow(?R,?S,'Delete A Student') ∧ not decides_to_delete(?R,?S). restart_basic_flow(R,?F) => cancel_delete(?R,?S)"
The system displays each student and any grade that was previously assigned for the offering.,User(U).,"Student(S), Offering(O), Grade(G).","enrolled_in(S, O) :- Student(S), Offering(O). assigned_grade(S, O, G) :- Student(S), Offering(O), Grade(G).","can_view_grade(U, S, O, G) :- User(U), Student(S), Offering(O), Grade(G), enrolled_in(S, O), assigned_grade(S, O, G).","User(?U) ∧ Student(?S) ∧ Offering(?O) ∧ Grade(?G) ∧ enrolled_in(?S,?O) ∧ assigned_grade(?S,?O,?G) => can_view_grade(?U,?S,?O,?G)"
"""If the use case was successful, student grades for a course offering are updated.""","Student(S), Instructor(I).","CourseOffering(CO), Grade(G).","enrolled_in(S, CO) :- Student(S), CourseOffering(CO).","can_update_grade(I, S, CO, G) :- Instructor(I), Student(S), CourseOffering(CO), Grade(G), enrolled_in(S, CO), use_case_successful().","Instructor(?I) ∧ Student(?S) ∧ CourseOffering(?CO) ∧ Grade(?G) ∧ enrolled_in(?S,?CO) ∧ use_case_successful() => can_update_grade(?I,?S,?CO,?G)"
The system removes the professor from teaching the de-selected course offerings.,"System(S), Professor(P).",CourseOffering(CO).,"teaches(P, CO) :- Professor(P), CourseOffering(CO).","remove_teaching(S, P, CO) :- System(S), Professor(P), CourseOffering(CO), teaches(P, CO).","System(?S) ∧ Professor(?P) ∧ CourseOffering(?CO) ∧ teaches(?P,?CO) => remove_teaching(?S,?P,?CO)"
The system prompts the Registrar to confirm the deletion of the professor.,"Registrar(R), System(S).",Professor(P).,"is_prompted_to_confirm_deletion(R, P) :- Registrar(R), Professor(P).","can_delete(R, P) :- Registrar(R), Professor(P), is_prompted_to_confirm_deletion(R, P).","Registrar(?R) ∧ Professor(?P) ∧ is_prompted_to_confirm_deletion(?R,?P) => can_delete(?R,?P)"
"""If the use case was successful, the student schedule is created, updated, or deleted.""","Student(S), Administrator(A).",Schedule(SC).,"has_schedule(S, SC) :- Student(S), Schedule(SC).","can_modify_schedule(A, S, SC) :- Administrator(A), Student(S), Schedule(SC), use_case_successful().","Administrator(?A) ∧ Student(?S) ∧ Schedule(?SC) ∧ use_case_successful() => can_modify_schedule(?A,?S,?SC)"
The system provides the Registrar with the new professor id.,"Registrar(R), System(S).",ProfessorID(PID).,"provides(S, R, PID) :- System(S), Registrar(R), ProfessorID(PID).","can_provide(S, R, PID) :- System(S), Registrar(R), ProfessorID(PID), provides(S, R, PID).","System(?S) ∧ Registrar(?R) ∧ ProfessorID(?PID) ∧ provides(?S,?R,?PID) => can_provide(?S,?R,?PID)"
The system provides the Registrar with the new student id.,"Registrar(R), System(S).",StudentID(ID).,"provides(S, R, ID) :- System(S), Registrar(R), StudentID(ID).","can_access(R, ID) :- Registrar(R), StudentID(ID), provides(S, R, ID).","Registrar(?R) ∧ StudentID(?ID) ∧ provides(?S,?R,?ID) => can_access(?R,?ID)"
The Professor may also change the grade for a student by entering a new grade.,Professor(P).,"Student(S), Grade(G).","has_grade(S, G) :- Student(S), Grade(G).","can_change_grade(P, S, G) :- Professor(P), Student(S), Grade(G).","Professor(?P) ∧ Student(?S) ∧ Grade(?G) => can_change_grade(?P,?S,?G)"
The Student may update the course selections on the current selection by deleting and adding new course offerings.,Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_update(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).","Student(?S) ∧ CourseOffering(?CO) ∧ has_selection(?S,?CO) => can_update(?S,?CO)"
This use case allows a Student to register for course offerings in the current semester.,Student(S).,CourseOffering(CO).,is_current_semester(CO) :- CourseOffering(CO).,"can_register(S, CO) :- Student(S), CourseOffering(CO), is_current_semester(CO).","Student(?S) ∧ CourseOffering(?CO) ∧ is_current_semester(?CO) => can_register(?S,?CO)"
"""Once the Registrar updates the necessary information, the system updates the student information.""","Registrar(R), System(S).","Student(ST), Information(I).","has_updated(R, I) :- Registrar(R), Information(I).","can_update(S, ST, I) :- System(S), Student(ST), Information(I), has_updated(R, I).","System(?S) ∧ Student(?ST) ∧ Information(?I) ∧ has_updated(?R,?I) => can_update(?S,?ST,?I)"
Only the Registrar is allowed to change any student information.,Registrar(R).,"Student(S), StudentInfo(I).","has_info(S, I) :- Student(S), StudentInfo(I).","can_change(R, S, I) :- Registrar(R), Student(S), StudentInfo(I), has_info(S, I).","Registrar(?R) ∧ Student(?S) ∧ StudentInfo(?I) ∧ has_info(?S,?I) => can_change(?R,?S,?I)"
The Registrar verifies the deletion.,Registrar(R).,Deletion(D).,"verifies(R, D) :- Registrar(R), Deletion(D).","can_verify(R, D) :- Registrar(R), Deletion(D).","Registrar(?R) ∧ Deletion(?D) => can_verify(?R,?D)"
The system deletes the professor from the system.,System(S).,Professor(P).,is_deleted(P) :- Professor(P).,"delete_professor(S, P) :- System(S), Professor(P), is_deleted(P).","System(?S) ∧ Professor(?P) ∧ is_deleted(?P) => delete_professor(?S,?P)"
"""For each semester, there is a period of time that students can change their schedule.""","Student(S), Semester(SM).",Schedule(SC).,"enrolled_in(S, SM) :- Student(S), Semester(SM).","can_change_schedule(S, SM, SC) :- Student(S), Semester(SM), Schedule(SC), enrolled_in(S, SM).","Student(?S) ∧ Semester(?SM) ∧ Schedule(?SC) ∧ enrolled_in(?S,?SM) => can_change_schedule(?S,?SM,?SC)"
"""Once the student has made his or her selections, the system updates the schedule for the Student using the selected course offerings.""",Student(S).,CourseOffering(CO).,"has_selection(S, CO) :- Student(S), CourseOffering(CO).","can_update_schedule(S, CO) :- Student(S), CourseOffering(CO), has_selection(S, CO).","Student(?S) ∧ CourseOffering(?CO) ∧ has_selection(?S,?CO) => can_update_schedule(?S,?CO)"
This use case allows a Student to view his or her report card for the previously completed semester.,Student(S).,"ReportCard(R), Semester(Sem).","completed_semester(S, Sem) :- Student(S), Semester(Sem).","can_view(S, R) :- Student(S), ReportCard(R), completed_semester(S, Sem).","Student(?S) ∧ ReportCard(?R) ∧ completed_semester(?S,?Sem) => can_view(?S,?R)"
The student is added to the system.,SystemAdmin(A).,Student(S).,enrolled(S) :- Student(S).,"add_student(A, S) :- SystemAdmin(A), Student(S), not enrolled(S).","SystemAdmin(?A) ∧ Student(?S) ∧ not enrolled(?S) => add_student(?A,?S)"
This use case allows the Registrar to maintain professor information in the registration system.,Registrar(R).,"Professor(P), RegistrationSystem(S).","maintains(R, P, S) :- Registrar(R), Professor(P), RegistrationSystem(S).","can_maintain(R, P, S) :- Registrar(R), Professor(P), RegistrationSystem(S), maintains(R, P, S).","Registrar(?R) ∧ Professor(?P) ∧ RegistrationSystem(?S) ∧ maintains(?R,?P,?S) => can_maintain(?R,?P,?S)"
The system requests that the Registrar enter the student information.,Registrar(R).,StudentInfo(SI).,"has_access(R, SI) :- Registrar(R), StudentInfo(SI).","can_enter(R, SI) :- Registrar(R), StudentInfo(SI), has_access(R, SI).","Registrar(?R) ∧ StudentInfo(?SI) ∧ has_access(?R,?SI) => can_enter(?R,?SI)"
"""If so, the system commits the course offering for each schedule that contains it.""",System(S).,"CourseOffering(CO), Schedule(SCH).","contains(SCH, CO) :- Schedule(SCH), CourseOffering(CO).","commits(S, CO) :- System(S), CourseOffering(CO), Schedule(SCH), contains(SCH, CO).","System(?S) ∧ CourseOffering(?CO) ∧ Schedule(?SCH) ∧ contains(?SCH,?CO) => commits(?S,?CO)"
"""Once the Registrar updates the necessary information, the system updates the professor record.""","Registrar(R), System(S).",ProfessorRecord(PR).,"has_updated(R, PR) :- Registrar(R), ProfessorRecord(PR).","can_update(S, PR) :- System(S), ProfessorRecord(PR), has_updated(R, PR).","System(?S) ∧ ProfessorRecord(?PR) ∧ has_updated(?R,?PR) => can_update(?S,?PR)"
The Student can also update or delete course selections if changes are made within the add or drop period at the beginning of the semester.,Student(S).,Course(C).,"enrolled_in(S, C) :- Student(S), Course(C).","can_update(S, C) :- Student(S), Course(C), enrolled_in(S, C), within_add_drop_period(). can_delete(S, C) :- Student(S), Course(C), enrolled_in(S, C), within_add_drop_period().","Student(?S) ∧ Course(?C) ∧ enrolled_in(?S,?C) ∧ within_add_drop_period(?). can_delete(S,?C) => can_update(?S,?C)"
Professors cannot change the course offerings they teach after registration for the current semester has been closed.,Professor(P).,"Course(C), Semester(S).","teaches(P, C, S) :- Professor(P), Course(C), Semester(S). registration_closed(S) :- Semester(S).","cannot_change_course(P, C, S) :- Professor(P), Course(C), Semester(S), teaches(P, C, S), registration_closed(S).","Professor(?P) ∧ Course(?C) ∧ Semester(?S) ∧ teaches(?P,?C,?S) ∧ registration_closed(?S) => cannot_change_course(?P,?C,?S)"
"""At the beginning of each semester, students may request a course catalogue containing a list of course offerings for the semester.""",Student(S).,"CourseCatalogue(CC), Course(C).","contains(CC, C) :- CourseCatalogue(CC), Course(C).","can_request(S, CC) :- Student(S), CourseCatalogue(CC).","Student(?S) ∧ CourseCatalogue(?CC) => can_request(?S,?CC)"
"""If, in the Basic Flow, the system cannot find any grade information from the previous semester for the Student, a message is displayed.""",Student(S).,Message(M).,has_previous_grade(S) :- Student(S).,"display_message(S, M) :- Student(S), Message(M), not has_previous_grade(S).","Student(?S) ∧ Message(?M) ∧ not has_previous_grade(?S) => display_message(?S,?M)"
"""If the system is unable to communicate with the Course Catalog System, the system will display an error message to the Student.""","System(S), Student(ST).","CourseCatalog(CC), ErrorMessage(EM).","cannot_communicate(S, CC) :- System(S), CourseCatalog(CC).","display_error(S, ST, EM) :- System(S), Student(ST), ErrorMessage(EM), cannot_communicate(S, CC).","System(?S) ∧ Student(?ST) ∧ ErrorMessage(?EM) ∧ cannot_communicate(?S,?CC) => display_error(?S,?ST,?EM)"
The system requests that the Registrar enter the professor id.,Registrar(R).,Professor(P).,"has_id(P, ID) :- Professor(P).","can_enter(R, P) :- Registrar(R), Professor(P).","Registrar(?R) ∧ Professor(?P) => can_enter(?R,?P)"
"""In addition, the professors will be able to record the grades for the students in each class.""","Professor(P), Student(S).","Class(C), Grade(G).","enrolled_in(S, C) :- Student(S), Class(C). teaches(P, C) :- Professor(P), Class(C).","can_record_grade(P, S, C, G) :- Professor(P), Student(S), Class(C), Grade(G), teaches(P, C), enrolled_in(S, C).","Professor(?P) ∧ Student(?S) ∧ Class(?C) ∧ Grade(?G) ∧ teaches(?P,?C) ∧ enrolled_in(?S,?C) => can_record_grade(?P,?S,?C,?G)"
The system retrieves a list of all students who were registered for the course offering.,System(S).,"Student(ST), CourseOffering(CO).","registered_for(ST, CO) :- Student(ST), CourseOffering(CO).","can_retrieve(S, ST, CO) :- System(S), Student(ST), CourseOffering(CO), registered_for(ST, CO).","System(?S) ∧ Student(?ST) ∧ CourseOffering(?CO) ∧ registered_for(?ST,?CO) => can_retrieve(?S,?ST,?CO)"
"""This use case starts when the Registrar wishes to add, change, possibly and possibly delete student information in the system.""",Registrar(R).,StudentInfo(SI).,"has_permission(R, SI) :- Registrar(R), StudentInfo(SI).","can_modify(R, SI) :- Registrar(R), StudentInfo(SI), has_permission(R, SI).","Registrar(?R) ∧ StudentInfo(?SI) ∧ has_permission(?R,?SI) => can_modify(?R,?SI)"
The Registrar enters the professor id.,Registrar(R).,Professor(P).,"enters_id(R, P) :- Registrar(R), Professor(P).","can_enter_id(R, P) :- Registrar(R), Professor(P), enters_id(R, P).","Registrar(?R) ∧ Professor(?P) ∧ enters_id(?R,?P) => can_enter_id(?R,?P)"
This use case allows a Registrar to close the registration process.,Registrar(R).,RegistrationProcess(P).,"can_close(R, P) :- Registrar(R), RegistrationProcess(P).","close_registration(R, P) :- Registrar(R), RegistrationProcess(P), can_close(R, P).","Registrar(?R) ∧ RegistrationProcess(?P) ∧ can_close(?R,?P) => close_registration(?R,?P)"
"""If the use case was successful, the professor information is added, updated, or deleted from the system.""",User(U).,Professor(P).,"successful_use_case(U, P) :- User(U), Professor(P).","add_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P). update_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P). delete_professor_info(U, P) :- User(U), Professor(P), successful_use_case(U, P).","User(?U) ∧ Professor(?P) ∧ successful_use_case(?U,?P). update_professor_info(U,?P) => add_professor_info(?U,?P)"
The system retrieves and displays the list of course offerings the professor is eligible to teach for the current semester.,Professor(P).,"CourseOffering(CO), Semester(S).","eligible_to_teach(P, CO) :- Professor(P), CourseOffering(CO), Semester(S), current_semester(S).","can_retrieve_display(P, CO) :- Professor(P), CourseOffering(CO), eligible_to_teach(P, CO).","Professor(?P) ∧ CourseOffering(?CO) ∧ eligible_to_teach(?P,?CO) => can_retrieve_display(?P,?CO)"
The system requests that the Registrar enter the student id,Registrar(R).,Student(S).,"has_student_id(S, ID) :- Student(S).","can_enter_student_id(R, S, ID) :- Registrar(R), Student(S), has_student_id(S, ID).","Registrar(?R) ∧ Student(?S) ∧ has_student_id(?S,?ID) => can_enter_student_id(?R,?S,?ID)"
The system retrieves and displays the grade information for each of the course offerings the Student completed during the previous semester.,Student(S).,"CourseOffering(C), GradeInfo(G).","completed_course(S, C) :- Student(S), CourseOffering(C).","can_retrieve_grade(S, C, G) :- Student(S), CourseOffering(C), GradeInfo(G), completed_course(S, C).","Student(?S) ∧ CourseOffering(?C) ∧ GradeInfo(?G) ∧ completed_course(?S,?C) => can_retrieve_grade(?S,?C,?G)"
"""The system verifies that the selected offerings do not conflict (i.e., have the same dates and times) with each other or any course offerings that the professor has previously signed up to teach.""",Professor(P).,"CourseOffering(O), SelectedOffering(S).","signed_up(P, O) :- Professor(P), CourseOffering(O).
conflict(O1, O2) :- CourseOffering(O1), CourseOffering(O2), same_date_time(O1, O2).","can_select(P, S) :- Professor(P), SelectedOffering(S), CourseOffering(O), not conflict(S, O), not signed_up(P, O).","Professor(?P) ∧ SelectedOffering(?S) ∧ CourseOffering(?O) ∧ not conflict(?S,?O) ∧ not signed_up(?P,?O) => can_select(?P,?S)"
