natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
The HCP notes about an office visit.,HCP(H).,OfficeVisit(V).,"has_note(H, V) :- HCP(H), OfficeVisit(V).","can_access_note(H, V) :- HCP(H), OfficeVisit(V), has_note(H, V)."
System presents a listing of all immunizations for which he has been administered in the last 12 months.,User(U).,Immunization(I).,"administered_to(U, I, Date) :- User(U), Immunization(I), Date(Date), Date >= current_date - 365.","can_view_listing(U, I) :- User(U), Immunization(I), administered_to(U, I, Date)."
"""An LHCP, patient and representative can sort his message inbox and message outbox.""","LHCP(L), Patient(P), Representative(R).","MessageInbox(MI), MessageOutbox(MO).","has_inbox(L, MI) :- LHCP(L), MessageInbox(MI). has_inbox(P, MI) :- Patient(P), MessageInbox(MI). has_inbox(R, MI) :- Representative(R), MessageInbox(MI). has_outbox(L, MO) :- LHCP(L), MessageOutbox(MO). has_outbox(P, MO) :- Patient(P), MessageOutbox(MO). has_outbox(R, MO) :- Representative(R), MessageOutbox(MO).","can_sort(L, MI) :- LHCP(L), MessageInbox(MI), has_inbox(L, MI). can_sort(P, MI) :- Patient(P), MessageInbox(MI), has_inbox(P, MI). can_sort(R, MI) :- Representative(R), MessageInbox(MI), has_inbox(R, MI). can_sort(L, MO) :- LHCP(L), MessageOutbox(MO), has_outbox(L, MO). can_sort(P, MO) :- Patient(P), MessageOutbox(MO), has_outbox(P, MO). can_sort(R, MO) :- Representative(R), MessageOutbox(MO), has_outbox(R, MO)."
The HCP can disallow viewing access to the laboratory results.,HCP(H).,LabResult(L).,"has_access(H, L) :- HCP(H), LabResult(L).","can_disallow_view(H, L) :- HCP(H), LabResult(L), has_access(H, L)."
"""The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.""",Patient(P).,"Provider(PR), ZipCode(Z).","has_zip_code(P, Z) :- Patient(P), ZipCode(Z).
matches_zip_prefix(Z, PR) :- ZipCode(Z), Provider(PR).","can_access(P, PR) :- Patient(P), Provider(PR), has_zip_code(P, Z), matches_zip_prefix(Z, PR)."
A public health agent selects a specific time period for which he would like to see a detailed listing of all adverse events related to prescription drugs or immunizations.,PublicHealthAgent(A).,"TimePeriod(T), AdverseEvent(E), PrescriptionDrug(D), Immunization(I).","related_to(E, D) :- AdverseEvent(E), PrescriptionDrug(D). related_to(E, I) :- AdverseEvent(E), Immunization(I).","can_view_listing(A, T) :- PublicHealthAgent(A), TimePeriod(T), AdverseEvent(E), (related_to(E, D) ; related_to(E, I))."
The patient chooses My Diagnoses.,Patient(P).,Diagnosis(D).,"has_diagnosis(P, D) :- Patient(P), Diagnosis(D).","can_choose(P, D) :- Patient(P), Diagnosis(D), has_diagnosis(P, D)."
"""A patient, patient representative, or LHCP can sort messages in his message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.""","Patient(P), PatientRepresentative(PR), LHCP(L).","Message(M), Outbox(O).","has_outbox(P, O) :- Patient(P), Outbox(O). has_outbox(PR, O) :- PatientRepresentative(PR), Outbox(O). has_outbox(L, O) :- LHCP(L), Outbox(O). contains_message(O, M) :- Outbox(O), Message(M). recipient_last_name(M, LN) :- Message(M). message_timestamp(M, TS) :- Message(M).","can_sort_by_last_name_asc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_last_name_desc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_timestamp_asc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O). can_sort_by_timestamp_desc(S, O) :- (Patient(S); PatientRepresentative(S); LHCP(S)), Outbox(O), has_outbox(S, O)."
"""When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment.""",LHCP(L).,Appointment(A).,"has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view_appointments(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A). can_edit_or_remove_appointment(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
The patient views his access log.,Patient(P).,AccessLog(L).,"owns_log(P, L) :- Patient(P), AccessLog(L).","can_view(P, L) :- Patient(P), AccessLog(L), owns_log(P, L)."
"""The admin must specify a specialty for a new LHCP (General Physician, Heart Surgeon, OB, GYN, Pediatrician, or Surgeon).""",Admin(A).,"LHCP(L), Specialty(S).","has_specialty(L, S) :- LHCP(L), Specialty(S).","can_specify_specialty(A, L, S) :- Admin(A), LHCP(L), Specialty(S), S in {General_Physician, Heart_Surgeon, OB, GYN, Pediatrician, Surgeon}."
The patient can undesignate any LHCP as being a DLHCP for them.,"Patient(P), LHCP(L).",DLHCP(D).,"is_dlhcp_for(L, P) :- LHCP(L), Patient(P).","can_undesignate(P, L) :- Patient(P), LHCP(L), is_dlhcp_for(L, P)."
A public health agent sees trends in adverse events relate to prescription drugs or immunizations.,PublicHealthAgent(A).,"PrescriptionDrug(D), Immunization(I), AdverseEvent(E).","related_to(E, D) :- AdverseEvent(E), PrescriptionDrug(D). related_to(E, I) :- AdverseEvent(E), Immunization(I). sees_trend(A, E) :- PublicHealthAgent(A), AdverseEvent(E).","can_see_trend(A, E) :- PublicHealthAgent(A), AdverseEvent(E), (related_to(E, D) ; related_to(E, I))."
The data for personnel can be edited according to Data Format.,"Editor(E), Personnel(P).",DataFormat(F).,"has_format(P, F) :- Personnel(P), DataFormat(F).","can_edit(E, P, F) :- Editor(E), Personnel(P), DataFormat(F), has_format(P, F)."
"""An LHCP, patient or representative can modify his """"messagedisplayingfilter"""" by modifying the following filtering criteria.""","LHCP(L), Patient(P), Representative(R).",MessageDisplayingFilter(F).,"has_filter(L, F) :- LHCP(L), MessageDisplayingFilter(F). has_filter(P, F) :- Patient(P), MessageDisplayingFilter(F). has_filter(R, F) :- Representative(R), MessageDisplayingFilter(F).","can_modify(L, F) :- LHCP(L), MessageDisplayingFilter(F), has_filter(L, F). can_modify(P, F) :- Patient(P), MessageDisplayingFilter(F), has_filter(P, F). can_modify(R, F) :- Representative(R), MessageDisplayingFilter(F), has_filter(R, F)."
The administrator stores hospital Id number for the hospital and the name of the hospital.,Administrator(A).,Hospital(H).,"has_id(H, ID) :- Hospital(H). has_name(H, Name) :- Hospital(H).","can_store(A, H, ID, Name) :- Administrator(A), Hospital(H), has_id(H, ID), has_name(H, Name)."
The HCP's medical identification number should also be maintained.,HCP(H).,MedicalID(M).,"has_medical_id(H, M) :- HCP(H), MedicalID(M).","maintain_medical_id(H, M) :- HCP(H), MedicalID(M), has_medical_id(H, M)."
The HCP selects a medication prescribed from a pull down list.,HCP(H).,Medication(M).,"prescribed_medication(H, M) :- HCP(H), Medication(M).","can_select(H, M) :- HCP(H), Medication(M), prescribed_medication(H, M)."
A patient or personal representative may view medical records including family history.,"Patient(P), PersonalRepresentative(R).","MedicalRecord(M), FamilyHistory(F).","has_record(P, M) :- Patient(P), MedicalRecord(M). includes_family_history(M, F) :- MedicalRecord(M), FamilyHistory(F). is_representative(R, P) :- PersonalRepresentative(R), Patient(P).","can_view(P, M) :- Patient(P), MedicalRecord(M), has_record(P, M). can_view(R, M) :- PersonalRepresentative(R), MedicalRecord(M), Patient(P), is_representative(R, P), has_record(P, M). can_view(P, F) :- Patient(P), FamilyHistory(F), MedicalRecord(M), has_record(P, M), includes_family_history(M, F). can_view(R, F) :- PersonalRepresentative(R), FamilyHistory(F), MedicalRecord(M), Patient(P), is_representative(R, P), has_record(P, M), includes_family_history(M, F)."
The LHCP then sends the request or to cancel.,LHCP(L).,Request(R).,"can_send(L, R) :- LHCP(L), Request(R).","send_request(L, R) :- LHCP(L), Request(R), can_send(L, R). cancel_request(L, R) :- LHCP(L), Request(R), can_send(L, R)."
"""A fake email is sent to the LHCP who administered the immunization indicating the patient name and MID, drug, and symptoms.""","LHCP(L), Patient(P).","Immunization(I), Drug(DR), Symptom(S).","administered(L, I) :- LHCP(L), Immunization(I).","send_fake_email(L, P, I, DR, S) :- LHCP(L), Patient(P), Immunization(I), Drug(DR), Symptom(S), administered(L, I)."
System presents a list of the patients.,User(U).,Patient(P).,can_view_patients(U) :- User(U).,"present_patients(U, P) :- User(U), Patient(P), can_view_patients(U)."
"""A patient views basic information about his designated LHCPs, including the name, phone number, and contact email information.""",Patient(P).,LHCP(L).,"designated(P, L) :- Patient(P), LHCP(L).","can_view(P, L) :- Patient(P), LHCP(L), designated(P, L)."
"""Additionally, the HCP can document none, one, or more medications prescribed; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures performed; and none, one, or more immunizations given chosen from appropriate pull-down lists.""",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","can_document_medication(H, M) :- HCP(H), Medication(M).
can_document_lab_procedure(H, L) :- HCP(H), LabProcedure(L).
can_document_diagnosis(H, D) :- HCP(H), Diagnosis(D).
can_document_medical_procedure(H, MP) :- HCP(H), MedicalProcedure(MP).
can_document_immunization(H, I) :- HCP(H), Immunization(I).","can_document(H, M, L, D, MP, I) :- HCP(H), Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I), can_document_medication(H, M), can_document_lab_procedure(H, L), can_document_diagnosis(H, D), can_document_medical_procedure(H, MP), can_document_immunization(H, I)."
"""System presents a list of the patients whose height, weight, or pedometer data type is specified to be under monitoring and for which he or she is allowed to report measurements.""","User(U), Patient(P).",DataType(DT).,"under_monitoring(P, DT) :- Patient(P), DataType(DT).
can_report(U, P, DT) :- User(U), Patient(P), DataType(DT).","can_view_patient_list(U, P) :- User(U), Patient(P), under_monitoring(P, DT), can_report(U, P, DT), (DT = 'height'; DT = 'weight'; DT = 'pedometer')."
System displays his appointments in the current month.,"User(U), System(S).",Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A).","can_display(S, U, A) :- System(S), User(U), Appointment(A), has_appointment(U, A)."
"""System presents the patient’s name, patient’s address, and patient’s date of last office visit.""",User(U).,Patient(P).,"has_name(P, Name) :- Patient(P). has_address(P, Address) :- Patient(P). has_last_visit(P, Date) :- Patient(P).","can_view_patient_info(U, P) :- User(U), Patient(P)."
The HCP does not have the ability to enter the patient's security question and password.,HCP(H).,Patient(P).,,"cannot_enter(H, P) :- HCP(H), Patient(P)."
"""He can report the height, weight and pedometer reading for the patient.""","Reporter(R), Patient(P).","Height(H), Weight(W), PedometerReading(PR).","has_height(P, H) :- Patient(P), Height(H). has_weight(P, W) :- Patient(P), Weight(W). has_pedometer_reading(P, PR) :- Patient(P), PedometerReading(PR).","can_report(R, P, H) :- Reporter(R), Patient(P), Height(H), has_height(P, H). can_report(R, P, W) :- Reporter(R), Patient(P), Weight(W), has_weight(P, W). can_report(R, P, PR) :- Reporter(R), Patient(P), PedometerReading(PR), has_pedometer_reading(P, PR)."
"""The notification center also displays a list of the patient and patient representee upcoming appointments, the information of his designated HCP, and the number of unread messages from his message inbox.""","Patient(P), PatientRepresentee(R), NotificationCenter(NC).","Appointment(A), HCP(H), Message(M).","has_upcoming_appointment(P, A) :- Patient(P), Appointment(A). has_upcoming_appointment(R, A) :- PatientRepresentee(R), Appointment(A). designated_hcp(P, H) :- Patient(P), HCP(H). has_unread_message(P, M) :- Patient(P), Message(M).","can_display(NC, P, A) :- NotificationCenter(NC), Patient(P), Appointment(A), has_upcoming_appointment(P, A). can_display(NC, R, A) :- NotificationCenter(NC), PatientRepresentee(R), Appointment(A), has_upcoming_appointment(R, A). can_display(NC, P, H) :- NotificationCenter(NC), Patient(P), HCP(H), designated_hcp(P, H). can_display(NC, P, M) :- NotificationCenter(NC), Patient(P), Message(M), has_unread_message(P, M)."
"""A link of """"Older Activities"""" shall be displayed.""",User(U).,Link(L).,is_older_activities(L) :- Link(L).,"can_display(U, L) :- User(U), Link(L), is_older_activities(L)."
The administrator chooses a drug from each list to record an interaction between the two drugs.,Administrator(A).,"Drug(DR1), Drug(DR2).","has_list(DR1, List1) :- Drug(DR1). has_list(DR2, List2) :- Drug(DR2).","can_record_interaction(A, DR1, DR2) :- Administrator(A), Drug(DR1), Drug(DR2), has_list(DR1, List1), has_list(DR2, List2), DR1 != DR2."
A LHCP creates UAPs.,LHCP(L).,UAP(U).,"creates(L, U) :- LHCP(L), UAP(U).","can_create(L, U) :- LHCP(L), UAP(U), creates(L, U)."
The LHCP views all patients with which he or she has ever had an office visit with.,LHCP(L).,Patient(P).,"had_office_visit(L, P) :- LHCP(L), Patient(P).","can_view(L, P) :- LHCP(L), Patient(P), had_office_visit(L, P)."
The HCP must remain on the office visit page.,HCP(H).,OfficeVisitPage(OVP).,"is_on_page(H, OVP) :- HCP(H), OfficeVisitPage(OVP).","must_remain_on_page(H, OVP) :- HCP(H), OfficeVisitPage(OVP), is_on_page(H, OVP)."
The patient can select a diagnosis.,Patient(P).,Diagnosis(D).,"has_diagnosis(P, D) :- Patient(P), Diagnosis(D).","can_select(P, D) :- Patient(P), Diagnosis(D)."
System displays the details for the laboratory procedure in a new page.,"User(U), System(S).","LaboratoryProcedure(LP), Page(P).","has_access_to(U, LP) :- User(U), LaboratoryProcedure(LP).","can_display(S, U, LP, P) :- System(S), User(U), LaboratoryProcedure(LP), Page(P), has_access_to(U, LP)."
System presents a listing of all drug interactions with that drug.,"System(S), User(U).","Drug(DR), Interaction(I).","has_interaction(DR, I) :- Drug(DR), Interaction(I).","can_view_interactions(U, DR) :- User(U), Drug(DR), has_interaction(DR, I)."
An LHCP views the physiologic data monitoring details.,LHCP(L).,PhysiologicData(PD).,"has_access(L, PD) :- LHCP(L), PhysiologicData(PD).","can_view(L, PD) :- LHCP(L), PhysiologicData(PD), has_access(L, PD)."
The patient chooses prescription report.,Patient(P).,PrescriptionReport(PR).,"chooses(P, PR) :- Patient(P), PrescriptionReport(PR).","can_choose(P, PR) :- Patient(P), PrescriptionReport(PR), chooses(P, PR)."
A user enters their MID and their password to gain role-based entry into iTrust.,User(U).,"System(S), Role(R).","has_credential(U, MID, Password) :- User(U).","can_access(U, S, R) :- User(U), System(S), Role(R), has_credential(U, MID, Password)."
"""The HCP can view a list of laboratory procedures and results, sorted by the date of the last status update, most recent first.""",HCP(H).,"LabProcedure(L), Result(R), Date(D).","has_result(L, R) :- LabProcedure(L), Result(R).
last_updated(L, D) :- LabProcedure(L), Date(D).","can_view(H, L, R) :- HCP(H), LabProcedure(L), Result(R), has_result(L, R), last_updated(L, D).
// Sorting by date (most recent first) is an implementation detail not directly expressed in Datalog rules, but implied by ordering on last_updated(L, D)."
The LHCP enters the representative's MID.,"LHCP(L), Representative(R).",MID(M).,"has_mid(R, M) :- Representative(R), MID(M).","can_enter(L, R, M) :- LHCP(L), Representative(R), MID(M), has_mid(R, M)."
"""A patient inputs his weight, height or pedometer readings.""",Patient(P).,"Weight(W), Height(H), PedometerReading(PR).","inputs(P, W) :- Patient(P), Weight(W). inputs(P, H) :- Patient(P), Height(H). inputs(P, PR) :- Patient(P), PedometerReading(PR).","can_input(P, W) :- Patient(P), Weight(W). can_input(P, H) :- Patient(P), Height(H). can_input(P, PR) :- Patient(P), PedometerReading(PR)."
"""An LHCP can see the blood pressure and glucose levels, weight, height, and pedometer readings for the patients he or she is monitoring, with two separate lists for physiologic and height or weight or pedometer readings.""",LHCP(L).,"Patient(P), PhysiologicData(PD), HeightWeightPedometerData(HWPD).","monitors(L, P) :- LHCP(L), Patient(P). has_physiologic_data(P, PD) :- Patient(P), PhysiologicData(PD). has_height_weight_pedometer_data(P, HWPD) :- Patient(P), HeightWeightPedometerData(HWPD).","can_see_physiologic(L, P, PD) :- LHCP(L), Patient(P), PhysiologicData(PD), monitors(L, P), has_physiologic_data(P, PD). can_see_height_weight_pedometer(L, P, HWPD) :- LHCP(L), Patient(P), HeightWeightPedometerData(HWPD), monitors(L, P), has_height_weight_pedometer_data(P, HWPD)."
"""The user selects a prescription from the calendar to read its details by clicking the """"Read Details"""" link beside or below the medication displayed for the prescription.""",User(U).,"Prescription(PR), Calendar(C), Medication(M).","has_prescription(C, PR) :- Calendar(C), Prescription(PR). displays_medication(PR, M) :- Prescription(PR), Medication(M).","can_read_details(U, PR) :- User(U), Prescription(PR), has_prescription(C, PR), displays_medication(PR, M)."
System presents a listing of all his patients to view weight or pedometer data reported during the current date.,User(U).,"Patient(P), Data(D).","has_patient(U, P) :- User(U), Patient(P). has_data(P, D) :- Patient(P), Data(D). is_weight(D) :- Data(D). is_pedometer(D) :- Data(D). reported_on(D, current_date) :- Data(D).","can_view_listing(U) :- User(U), has_patient(U, P), has_data(P, D), (is_weight(D) ; is_pedometer(D)), reported_on(D, current_date)."
An HCP creates patients.,HCP(H).,Patient(P).,"creates(H, P) :- HCP(H), Patient(P).","can_create(H, P) :- HCP(H), Patient(P), not exists(Patient(P))."
"""The administrator stores the ICD-9CM code, a classification and the name of the diagnosis.""",Administrator(A).,"Diagnosis(D), ICD9CM_Code(C), Classification(CL).","has_code(D, C) :- Diagnosis(D), ICD9CM_Code(C).
has_classification(D, CL) :- Diagnosis(D), Classification(CL).
has_name(D, N) :- Diagnosis(D), Name(N).","can_store(A, D, C, CL, N) :- Administrator(A), Diagnosis(D), ICD9CM_Code(C), Classification(CL), Name(N), has_code(D, C), has_classification(D, CL), has_name(D, N)."
"""System presents a listing of all their own diagnoses, sorted by diagnosis date (more recent first).""",User(U).,Diagnosis(D).,"has_diagnosis(U, D) :- User(U), Diagnosis(D).","can_view_diagnoses(U, D) :- User(U), Diagnosis(D), has_diagnosis(U, D)."
The administrator maintains a listing of allowable drugs.,Administrator(A).,Drug(DR).,"maintains_listing(A, DR) :- Administrator(A), Drug(DR).","can_maintain(A, DR) :- Administrator(A), Drug(DR), maintains_listing(A, DR)."
The LHCP can select a patient to obtain additional information about a patient.,LHCP(L).,Patient(P).,"selected(L, P) :- LHCP(L), Patient(P).","can_select(L, P) :- LHCP(L), Patient(P)."
The administrator is allowed to set the length of this period of time.,Administrator(A).,Period(P).,"has_authority(A, P) :- Administrator(A), Period(P).","can_set_length(A, P) :- Administrator(A), Period(P), has_authority(A, P)."
The administrator maintains the overriding reasons that an HCP can select from.,"Administrator(A), HCP(H).",OverridingReason(R).,"maintains(A, R) :- Administrator(A), OverridingReason(R).","can_select(H, R) :- HCP(H), OverridingReason(R), Administrator(A), maintains(A, R)."
"""He can report the height, weight and pedometer readings for the patient.""","Reporter(R), Patient(P).","Height(H), Weight(W), PedometerReading(PR).","has_height(P, H) :- Patient(P), Height(H). has_weight(P, W) :- Patient(P), Weight(W). has_pedometer_reading(P, PR) :- Patient(P), PedometerReading(PR).","can_report(R, P, H) :- Reporter(R), Patient(P), Height(H), has_height(P, H). can_report(R, P, W) :- Reporter(R), Patient(P), Weight(W), has_weight(P, W). can_report(R, P, PR) :- Reporter(R), Patient(P), PedometerReading(PR), has_pedometer_reading(P, PR)."
An LHCP or UAP creates a list of patients (by MID) for which he or she will monitor remotely.,"LHCP(L), UAP(U).","Patient(P), MID(M).","has_mid(P, M) :- Patient(P), MID(M).","can_monitor(L, P) :- LHCP(L), Patient(P), has_mid(P, M). can_monitor(U, P) :- UAP(U), Patient(P), has_mid(P, M)."
"""The user selects a laboratory procedure from the calendar to read its details by clicking the """"Read Details"""" link beside or below the LOINC code displayed for the laboratory procedure.""",User(U).,"LaboratoryProcedure(LP), Calendar(C), LOINCCode(LC).","has_access_to(U, LP) :- User(U), LaboratoryProcedure(LP), Calendar(C), LOINCCode(LC), displayed_on(LP, C), associated_with(LP, LC).","can_read_details(U, LP) :- User(U), LaboratoryProcedure(LP), has_access_to(U, LP)."
"""After a message is sent, the LHCP is directed to his message outbox.""",LHCP(L).,Message(M).,"sent_by(L, M) :- LHCP(L), Message(M).","can_access_outbox(L, M) :- LHCP(L), Message(M), sent_by(L, M)."
The patient or the personal representative can view a list of their own prescriptions or the prescriptions for whom the user is a person representative by choosing one patient from a a list of these patients.,"User(U), Patient(P), PersonalRepresentative(R).",Prescription(PR).,"is_patient(U, P) :- User(U), Patient(P).
is_representative(R, P) :- PersonalRepresentative(R), Patient(P).","can_view_prescriptions(U, P, PR) :- (User(U), Patient(P), Prescription(PR), is_patient(U, P), has_prescription(P, PR)) OR (User(U), PersonalRepresentative(R), Patient(P), Prescription(PR), is_representative(R, P), has_prescription(P, PR))."
System presents a text box to HCP.,HCP(H).,TextBox(T).,,"can_present(T, H) :- TextBox(T), HCP(H)."
"""A UAP or patient representative can input the blood pressure, glucose levels, height, weight, or pedometer readings for a patient.""","UAP(U), PatientRepresentative(R).","Patient(P), HealthData(HD).","is_associated(U, P) :- UAP(U), Patient(P).
is_associated(R, P) :- PatientRepresentative(R), Patient(P).
is_health_data(HD, P) :- HealthData(HD), Patient(P).","can_input(U, P, HD) :- UAP(U), Patient(P), HealthData(HD), is_associated(U, P).
can_input(R, P, HD) :- PatientRepresentative(R), Patient(P), HealthData(HD), is_associated(R, P)."
The administrator is allowed to modify the reason name in an existing entry.,Administrator(A).,"Entry(E), ReasonName(R).","has_reason_name(E, R) :- Entry(E), ReasonName(R).","can_modify_reason_name(A, E, R) :- Administrator(A), Entry(E), ReasonName(R), has_reason_name(E, R)."
The patient can add the HCP to their list of providers.,"Patient(P), HCP(H).",ProviderList(L).,"has_provider_list(P, L) :- Patient(P), ProviderList(L).","can_add_provider(P, H, L) :- Patient(P), HCP(H), ProviderList(L), has_provider_list(P, L)."
The administrator maintains a listing of allowable immunizations.,Administrator(A).,Immunization(I).,"maintains_allowable_listing(A, I) :- Administrator(A), Immunization(I).","can_maintain(A, I) :- Administrator(A), Immunization(I), maintains_allowable_listing(A, I)."
"""A patient, personal representative or LHCP views prescription reports.""","Patient(P), PersonalRepresentative(PR), LHCP(L).",PrescriptionReport(R).,"has_access(P, R) :- Patient(P), PrescriptionReport(R). has_access(PR, R) :- PersonalRepresentative(PR), PrescriptionReport(R). has_access(L, R) :- LHCP(L), PrescriptionReport(R).","can_view(S, R) :- Subject(S), PrescriptionReport(R), has_access(S, R)."
"""The patient views the list sorted by dates, most recent access first.""",Patient(P).,"AccessList(L), AccessRecord(R).","has_access_record(L, R) :- AccessList(L), AccessRecord(R).","can_view_sorted(P, L) :- Patient(P), AccessList(L), has_access_record(L, R)."
