natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
Financial consultants can collect and use customer name for the purpose of confirming identity.,FinancialConsultant(FC).,Customer(C).,"has_name(C, Name) :- Customer(C).","can_collect_and_use(FC, C, Name) :- FinancialConsultant(FC), Customer(C), has_name(C, Name)."
Financial analysts can use customer accounts to make loan decisions.,FinancialAnalyst(FA).,"CustomerAccount(CA), LoanDecision(LD).","has_access_to(FA, CA) :- FinancialAnalyst(FA), CustomerAccount(CA).","can_make_loan_decision(FA, CA, LD) :- FinancialAnalyst(FA), CustomerAccount(CA), LoanDecision(LD), has_access_to(FA, CA)."
Management can report customer transactions if required by law.,Manager(M).,"Customer(C), Transaction(T).","has_transaction(C, T) :- Customer(C), Transaction(T).","can_report(M, C, T) :- Manager(M), Customer(C), Transaction(T), has_transaction(C, T), required_by_law(T)."
The director chooses options from the package to give to all employees.,Director(D).,"Package(P), Option(O).","has_option(P, O) :- Package(P), Option(O).","can_give(D, O, E) :- Director(D), Option(O), Employee(E), Package(P), has_option(P, O)."
He or she also can read the information about the distribution of options.,User(U).,DistributionInfo(DI).,"has_access_to(U, DI) :- User(U), DistributionInfo(DI).","can_read(U, DI) :- User(U), DistributionInfo(DI), has_access_to(U, DI)."
The director can promote an employee to be a  manager.,Director(D).,Employee(E).,"is_director_of(D, E) :- Director(D), Employee(E).","can_promote(D, E) :- Director(D), Employee(E), is_director_of(D, E)."
"An employee can appoint another employee to be his advocate, and have read access to his bonus information – for example, this might be useful if he needs help from a trade union.","Employee(E1), Employee(E2).",BonusInfo(B).,"has_advocate(E1, E2) :- Employee(E1), Employee(E2).","can_read(E2, B) :- Employee(E2), BonusInfo(B), has_advocate(E1, E2), owns_bonus_info(E1, B)."
"For example, write a check use case should be invoked by (authorized to) clerk role.",Clerk(C).,CheckUseCase(UC).,"has_role(C, clerk) :- Clerk(C).","can_invoke(C, UC) :- Clerk(C), CheckUseCase(UC), has_role(C, clerk)."
"If the invoice’s total amount exceeds one million, then two different supervisors must authorize the invoice.","Supervisor(S1), Supervisor(S2).",Invoice(I).,"exceeds_one_million(I) :- Invoice(I), total_amount(I, Amount), Amount > 1000000.","can_authorize(I) :- Invoice(I), exceeds_one_million(I), Supervisor(S1), Supervisor(S2), S1 != S2, authorized_by(I, S1), authorized_by(I, S2)."
A professor can review the same project at most one time.,Professor(P).,Project(PR).,"has_reviewed(P, PR) :- Professor(P), Project(PR).","can_review(P, PR) :- Professor(P), Project(PR), not has_reviewed(P, PR)."
Only the business office manager and the dean can approve a project.,"BusinessOfficeManager(BOM), Dean(D).",Project(P).,is_manager(BOM) :- BusinessOfficeManager(BOM). is_dean(D) :- Dean(D).,"can_approve(BOM, P) :- BusinessOfficeManager(BOM), Project(P), is_manager(BOM). can_approve(D, P) :- Dean(D), Project(P), is_dean(D)."
The PC chair appoints the PC members.,PC_Chair(C).,PC_Member(M).,"appoints(C, M) :- PC_Chair(C), PC_Member(M).","can_appoint(C, M) :- PC_Chair(C), PC_Member(M), appoints(C, M)."
A PC member can resign his membership.,PC_Member(P).,Membership(M).,"has_membership(P, M) :- PC_Member(P), Membership(M).","can_resign(P, M) :- PC_Member(P), Membership(M), has_membership(P, M)."
The reviewer of a paper can assign the paper to be sub-reviewed by an agent who is not an author of the paper and has not been assigned the same paper by another reviewer.,"Reviewer(R), Agent(A).",Paper(P).,"is_author(A, P) :- Agent(A), Paper(P).
assigned_by(R, A, P) :- Reviewer(R), Agent(A), Paper(P).","can_assign(R, A, P) :- Reviewer(R), Agent(A), Paper(P), not is_author(A, P), not assigned_by(_, A, P)."
All members of Faculty can Assign both InternalGrades and ExternalGrades.,Faculty(F).,"InternalGrade(IG), ExternalGrade(EG).",,"can_assign(F, IG) :- Faculty(F), InternalGrade(IG). can_assign(F, EG) :- Faculty(F), ExternalGrade(EG)."
The sole counter-example shows that a student with the freedom to assign external grades is also a ta but not a faculty member.,"Student(S), TA(T), Faculty(F).",Grade(G).,"is_ta(S) :- Student(S).
not_faculty(S) :- Student(S).
can_assign_external_grade(S, G) :- Student(S), Grade(G), is_ta(S), not_faculty(S).","assign_external_grade(S, G) :- Student(S), Grade(G), can_assign_external_grade(S, G)."
All members of role Faculty Family can receive External-Grades.,FacultyFamilyMember(F).,ExternalGrade(EG).,"has_role(F, 'Faculty Family') :- FacultyFamilyMember(F).","can_receive(F, EG) :- FacultyFamilyMember(F), ExternalGrade(EG), has_role(F, 'Faculty Family')."
"If the subject is a faculty member, then permit that subject to assign grades.",Subject(S).,Grade(G).,faculty_member(S) :- Subject(S).,"can_assign_grade(S, G) :- Subject(S), Grade(G), faculty_member(S)."
"If the subject is not a faculty member, then permit that subject to enroll in courses.",Subject(S).,Course(C).,faculty_member(S) :- Subject(S).,"can_enroll(S, C) :- Subject(S), Course(C), not faculty_member(S)."
"The manager has the broadest access to the information, including access to personal, financial, clinical and medical information about each resident.",Manager(M).,"Resident(R), Information(I).","has_access_to(M, I) :- Manager(M), Information(I), is_about(I, R).","can_access(M, R, I) :- Manager(M), Resident(R), Information(I), is_about(I, R), has_access_to(M, I)."
The care plan is updated in consultation with the resident or the responsible person.,"Staff(S), Resident(R), ResponsiblePerson(RP).",CarePlan(CP).,"has_responsible_person(R, RP) :- Resident(R), ResponsiblePerson(RP).","can_update_care_plan(S, CP, R, RP) :- Staff(S), CarePlan(CP), Resident(R), ResponsiblePerson(RP), (consulted_with(S, R); consulted_with(S, RP))."
Only the manager is allowed to delete the information about a resident but here also that right is restricted.,Manager(M).,"Resident(R), ResidentInfo(RI).","manages(M, R) :- Manager(M), Resident(R).","can_delete(M, RI) :- Manager(M), ResidentInfo(RI), manages(M, R), associated_with(RI, R)."
The health care workers are required to sign a confidentiality agreement before they have access to any resident data.,HealthCareWorker(H).,ResidentData(RD).,has_signed_confidentiality_agreement(H) :- HealthCareWorker(H).,"can_access(H, RD) :- HealthCareWorker(H), ResidentData(RD), has_signed_confidentiality_agreement(H)."
Access to emergency details is available for all staff.,Staff(S).,EmergencyDetails(ED).,,"can_access(S, ED) :- Staff(S), EmergencyDetails(ED)."
"For a special purpose, access to an older medical record can be sought and obtained from the manager.","User(U), Manager(M).",MedicalRecord(MR).,is_older(MR) :- MedicalRecord(MR).,"can_access(U, MR) :- User(U), MedicalRecord(MR), is_older(MR), Manager(M), has_permission(M, U, MR)."
"Occasionally, due to pressing circumstances, it may be necessary for a visiting doctor to examine a resident who is not normally his or her patient.","Doctor(D), Resident(R).",Resident(R).,"is_patient_of(R, D) :- Resident(R), Doctor(D).","can_examine(D, R) :- Doctor(D), Resident(R), pressing_circumstances(), not is_patient_of(R, D)."
This is permitted with the consent of the resident or the responsible person and the notification of the manager.,"Resident(R), ResponsiblePerson(RP), Manager(M).",Action(A).,"has_consent(R, A) :- Resident(R), Action(A). has_consent(RP, A) :- ResponsiblePerson(RP), Action(A). notified(M, A) :- Manager(M), Action(A).","permitted(A) :- Action(A), (has_consent(R, A) ; has_consent(RP, A)), notified(M, A)."
"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",Person(P).,Information(I).,"has_information(P, I) :- Person(P), Information(I).","can_access(P, I) :- Person(P), Information(I), has_information(P, I), not jeopardises_third_party(I)."
A user should already grant diagnosing right to create medicine orders.,User(U).,MedicineOrder(MO).,has_diagnosing_right(U) :- User(U).,"can_create(U, MO) :- User(U), MedicineOrder(MO), has_diagnosing_right(U)."
"Only one user, here is the Pharmacy System, can load medicines to the medicine dispenser.","User(U), PharmacySystem(PS).","Medicine(M), MedicineDispenser(MD).",is_pharmacy_system(PS) :- PharmacySystem(PS).,"can_load(PS, MD, M) :- PharmacySystem(PS), MedicineDispenser(MD), Medicine(M), not exists U (User(U), U != PS, can_load(U, MD, M))."
Pharmacy System may get reports and status information of the medicine dispenser.,PharmacySystem(PS).,MedicineDispenser(MD).,has_report(MD) :- MedicineDispenser(MD). has_status(MD) :- MedicineDispenser(MD).,"can_get_report(PS, MD) :- PharmacySystem(PS), MedicineDispenser(MD), has_report(MD). can_get_status(PS, MD) :- PharmacySystem(PS), MedicineDispenser(MD), has_status(MD)."
Pharmacy System can load medicines to the dispenser only at a time interval 12:00-13:00 in a day.,PharmacySystem(PS).,"Medicine(M), Dispenser(D).","current_time(T) :- Time(T), T >= 12:00, T <= 13:00.","can_load(PS, M, D) :- PharmacySystem(PS), Medicine(M), Dispenser(D), current_time(T)."
Only Doctors and Nurses can read patient records.,"Doctor(D), Nurse(N).",PatientRecord(PR).,"has_access(D, PR) :- Doctor(D), PatientRecord(PR). has_access(N, PR) :- Nurse(N), PatientRecord(PR).","can_read(S, PR) :- has_access(S, PR)."
Any subject with an e-mail name in the med.example.com domain can perform any action on any resource.,Subject(S).,Resource(R).,"has_email_domain(S, 'med.example.com') :- Subject(S).","can_perform(S, R, Action) :- Subject(S), Resource(R), has_email_domain(S, 'med.example.com')."
"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",Person(P).,Record(R).,"designated_patient(P, R) :- Person(P), Record(R).","can_read(P, R) :- Person(P), Record(R), designated_patient(P, R)."
"A person may read any record for which he or she is the designated parent or guardian, and for which the patient is under 16 years of age.",Person(P).,"Record(R), Patient(PT).","is_parent_or_guardian(P, PT) :- Person(P), Patient(PT).
age_under_16(PT) :- Patient(PT).","can_read(P, R) :- Person(P), Record(R), Patient(PT), is_parent_or_guardian(P, PT), age_under_16(PT)."
"A physician may write to any medical element for which he or she is the designated primary care physician, provided an email is sent to the patient.",Physician(P).,MedicalElement(ME).,"is_primary_care_physician(P, ME) :- Physician(P), MedicalElement(ME).","can_write(P, ME) :- Physician(P), MedicalElement(ME), is_primary_care_physician(P, ME), email_sent_to_patient(ME)."
Administrators can access only the administrative pages,Administrator(A).,Page(P).,is_administrative_page(P) :- Page(P).,"can_access(A, P) :- Administrator(A), Page(P), is_administrative_page(P)."
Guests can access all the public areas of the site,Guest(G).,PublicArea(PA).,is_public(PA) :- PublicArea(PA).,"can_access(G, PA) :- Guest(G), PublicArea(PA), is_public(PA)."
"Owners can access their account, move funds, and review transactions.",Owner(O).,"Account(A), Funds(F), Transaction(T).","owns(O, A) :- Owner(O), Account(A).","can_access(O, A) :- Owner(O), Account(A), owns(O, A). can_move_funds(O, F) :- Owner(O), Funds(F), owns(O, A). can_review_transactions(O, T) :- Owner(O), Transaction(T), owns(O, A)."
Planners can access the sites financial planning and tax preparation functions,Planner(P).,"Site(S), Function(F).","has_function(S, F) :- Site(S), Function(F).","can_access(P, S, F) :- Planner(P), Site(S), Function(F), has_function(S, F)."
Payers can use the site's bill paying function .,Payer(P).,BillPayingFunction(B).,"has_access(P, B) :- Payer(P), BillPayingFunction(B).","can_use(P, B) :- Payer(P), BillPayingFunction(B), has_access(P, B)."
Data Owners can transfer ownership of information to other users.,"DataOwner(DO), User(U).",Information(I).,"owns(DO, I) :- DataOwner(DO), Information(I).","can_transfer(DO, U, I) :- DataOwner(DO), User(U), Information(I), owns(DO, I)."
"Data Owners can determine the type of access given to other users (read, write, copy, etc.).","DataOwner(DO), User(U).","Data(D), AccessType(AT).","owns(DO, D) :- DataOwner(DO), Data(D).","can_determine_access(DO, U, D, AT) :- DataOwner(DO), User(U), Data(D), AccessType(AT), owns(DO, D)."
"Users who do not have access to information should not be able to determine its characteristics (file size, file name, directory path, etc.)",User(U).,Information(I).,"has_access(U, I) :- User(U), Information(I).","can_determine_characteristics(U, I) :- User(U), Information(I), has_access(U, I)."
All users can read from a lower classification than the one they are granted (A secret user can read an unclassified document).,User(U).,Document(D).,"has_classification(U, UC) :- User(U), Classification(UC).
has_classification(D, DC) :- Document(D), Classification(DC).
lower_classification(DC, UC) :- Classification(DC), Classification(UC), DC < UC.","can_read(U, D) :- User(U), Document(D), has_classification(U, UC), has_classification(D, DC), lower_classification(DC, UC)."
All users can write to a higher classification (A secret user can post information to a Top Secret resource).,User(U).,Resource(R).,"has_classification(U, C) :- User(U), Classification(C).
has_classification(R, C) :- Resource(R), Classification(C).
classification_level(C, L) :- Classification(C), Level(L).","can_write(U, R) :- User(U), Resource(R), has_classification(U, C1), has_classification(R, C2), classification_level(C1, L1), classification_level(C2, L2), L1 < L2."
All users are given read or write access to objects only of the same classification (a secret user can only read or write to a secret document).,User(U).,Object(O).,"has_classification(U, C) :- User(U), Classification(C).
has_classification(O, C) :- Object(O), Classification(C).","can_read(U, O) :- User(U), Object(O), has_classification(U, C), has_classification(O, C).
can_write(U, O) :- User(U), Object(O), has_classification(U, C), has_classification(O, C)."
Staff can print on HP Laserjet 1.,Staff(S).,Printer(HP_Laserjet_1).,,"can_print(S, HP_Laserjet_1) :- Staff(S), Printer(HP_Laserjet_1)."
David can assign the manager role to Alice.,"Person(David), Person(Alice).",Role(manager).,"can_assign(David, Alice, manager) :- Person(David), Person(Alice), Role(manager).","assign_role(David, Alice, manager) :- can_assign(David, Alice, manager)."
John can assign clerk to users from department A,"User(John), User(U).",Role(clerk).,"from_department(U, A) :- User(U), Department(A).","can_assign(John, U, clerk) :- User(John), User(U), Role(clerk), from_department(U, A)."
Clerk can read from database.,Clerk(C).,Database(DB).,,"can_read(C, DB) :- Clerk(C), Database(DB)."
Owners can read Name.,Owner(O).,Name(N).,"owns(O, N) :- Owner(O), Name(N).","can_read(O, N) :- Owner(O), Name(N), owns(O, N)."
"Clerks can add and change the Name, the date of birth, the Address and the Postcode.",Clerk(C).,"Name(N), DateOfBirth(DOB), Address(A), Postcode(P).",,"can_add(C, N) :- Clerk(C), Name(N).
can_change(C, N) :- Clerk(C), Name(N).
can_add(C, DOB) :- Clerk(C), DateOfBirth(DOB).
can_change(C, DOB) :- Clerk(C), DateOfBirth(DOB).
can_add(C, A) :- Clerk(C), Address(A).
can_change(C, A) :- Clerk(C), Address(A).
can_add(C, P) :- Clerk(C), Postcode(P).
can_change(C, P) :- Clerk(C), Postcode(P)."
All members of FACULTY can ASSIGN both INTERNALGRADES and EXTERNALGRADES.,Faculty(F).,"InternalGrade(IG), ExternalGrade(EG).",,"can_assign(F, IG) :- Faculty(F), InternalGrade(IG). can_assign(F, EG) :- Faculty(F), ExternalGrade(EG)."
All members of STUDENT can RECEIVE EXTERNALGRADES.,Student(S).,ExternalGrade(EG).,"member_of(S, STUDENT) :- Student(S).","can_receive(S, EG) :- Student(S), ExternalGrade(EG), member_of(S, STUDENT)."
"During the submission phase, an author may submit a paper.",Author(A).,Paper(P).,"is_author_of(A, P) :- Author(A), Paper(P).","can_submit(A, P) :- Author(A), Paper(P), is_author_of(A, P)."
"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",Reviewer(R).,Paper(P).,"assigned_to(R, P) :- Reviewer(R), Paper(P).","can_submit_review(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P)."
"During the meeting phase, reviewer can read the scores for paper if reviewer has submitted a review for paper.",Reviewer(R).,Paper(P).,"submitted_review(R, P) :- Reviewer(R), Paper(P).","can_read_scores(R, P) :- Reviewer(R), Paper(P), submitted_review(R, P)."
"In the current paper system, all the information stored about a resident is accessible to the resident by arrangement with the manager.","Resident(R), Manager(M).",Information(I).,"has_access(R, I) :- Resident(R), Information(I), Manager(M).","can_access(R, I) :- Resident(R), Information(I), has_access(R, I)."
Supervisor can not  execute the write a check use case.,Supervisor(S).,Check(C).,,"cannot_execute(S, C) :- Supervisor(S), Check(C)."
"For example, a user should not record and verify the same invoice.",User(U).,Invoice(I).,"recorded_by(U, I) :- User(U), Invoice(I). verified_by(U, I) :- User(U), Invoice(I).","cannot_perform_both(U, I) :- User(U), Invoice(I), recorded_by(U, I), verified_by(U, I)."
A subject cannot review a project he or she has submitted.,Subject(S).,Project(P).,"has_submitted(S, P) :- Subject(S), Project(P).","can_review(S, P) :- Subject(S), Project(P), not has_submitted(S, P)."
A subject cannot approve projects he or she has reviewed or submitted.,Subject(S).,Project(P).,"has_reviewed(S, P) :- Subject(S), Project(P).
has_submitted(S, P) :- Subject(S), Project(P).","can_approve(S, P) :- Subject(S), Project(P), not has_reviewed(S, P), not has_submitted(S, P)."
Authors of papers cannot be changed.,"Author(A), Paper(P).",Paper(P).,"has_author(P, A) :- Paper(P), Author(A).","can_change_author(A, P, A2) :- Author(A), Paper(P), Author(A2), has_author(P, A), false."
"The PC chair can assign a paper to a PC member for reviewing, except if he is one of its authors.","PC_Chair(C), PC_Member(M).",Paper(P).,"is_author(M, P) :- PC_Member(M), Paper(P).","can_assign(C, M, P) :- PC_Chair(C), PC_Member(M), Paper(P), not is_author(M, P)."
"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.","Reviewer(R), SubReviewer(S).",Paper(P).,"assigned_to(R, P) :- Reviewer(R), Paper(P). appointed_subreviewer(R, P, S) :- Reviewer(R), Paper(P), SubReviewer(S).","can_resign(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P), not appointed_subreviewer(R, P, _)."
"A sub-reviewer can resign, unless he has already submitted his review.",SubReviewer(S).,Review(R).,"has_submitted(S, R) :- SubReviewer(S), Review(R).","can_resign(S) :- SubReviewer(S), not has_submitted(S, R)."
There do not exist members of Student who can Assign ExternalGrades.,Student(S).,ExternalGrade(EG).,,"can_assign(S, EG) :- Student(S), ExternalGrade(EG), false."
No combination of roles exists such that a user with those roles can both Receive and Assign the resource ExternalGrades.,"User(U), Role(R).",ExternalGrades(EG).,"has_role(U, R) :- User(U), Role(R).","can_receive(U, EG) :- User(U), ExternalGrades(EG), has_role(U, R). can_assign(U, EG) :- User(U), ExternalGrades(EG), has_role(U, R). not (can_receive(U, EG), can_assign(U, EG))."
"If the subject is a student, then do not permit that subject to assign grades.",Subject(S).,Grade(G).,is_student(S) :- Subject(S).,"can_assign_grade(S, G) :- Subject(S), Grade(G), not is_student(S)."
"So, for example, the manager should be made aware of repeated attempts by a health care worker to access information beyond their rights.","Manager(M), HealthCareWorker(H).",Information(I).,"attempted_access(H, I) :- HealthCareWorker(H), Information(I).","alert_manager(M, H, I) :- Manager(M), HealthCareWorker(H), Information(I), attempted_access(H, I), not authorized_access(H, I)."
The doctor then has temporary access to the resident’s medical records (but not to the private notes of the resident’s usual doctor).,"Doctor(D), Resident(R).","MedicalRecord(MR), PrivateNote(PN).","has_medical_record(R, MR) :- Resident(R), MedicalRecord(MR).
has_private_note(R, PN) :- Resident(R), PrivateNote(PN).
usual_doctor(R, D) :- Resident(R), Doctor(D).","can_access(D, MR) :- Doctor(D), Resident(R), MedicalRecord(MR), has_medical_record(R, MR).
not can_access(D, PN) :- Doctor(D), Resident(R), PrivateNote(PN), has_private_note(R, PN), usual_doctor(R, D)."
In an electronic system we can allow residents to hook into the network at any time as long as they can view only their own data and cannot make arbitrary changes.,Resident(R).,Data(D).,"owns(R, D) :- Resident(R), Data(D).","can_view(R, D) :- Resident(R), Data(D), owns(R, D).
can_modify(R, D) :- false."
This critical task should not be performed by a single user.,User(U).,Task(T).,is_critical(T) :- Task(T).,"can_perform(U, T) :- User(U), Task(T), not is_critical(T)."
"However, it should not perform these operations when it is loading medicines to the medicine dispenser.","System(S), Operator(O).","Medicine(M), MedicineDispenser(D).","loading_medicines(S, D) :- System(S), MedicineDispenser(D).","can_perform_operations(S, O) :- System(S), Operator(O), not loading_medicines(S, D)."
An administrator shall not be permitted to read or write to medical elements of a patient record.,Administrator(A).,"PatientRecord(R), MedicalElement(E).","contains(R, E) :- PatientRecord(R), MedicalElement(E).","not can_read(A, E) :- Administrator(A), MedicalElement(E), contains(R, E). not can_write(A, E) :- Administrator(A), MedicalElement(E), contains(R, E)."
There do not exist members of STUDENT who can ASSIGN EXTERNALGRADES.,Student(S).,ExternalGrade(EG).,,"can_assign(S, EG) :- Student(S), ExternalGrade(EG), false."
There exists no combination of roles such that a user with those roles can both RECEIVE and ASSIGN the resource EXTERNALGRADES.,"User(U), Role(R).",Resource(EXTERNALGRADES).,"has_role(U, R) :- User(U), Role(R).","can_receive(U, EXTERNALGRADES) :- User(U), Resource(EXTERNALGRADES), has_role(U, R). can_assign(U, EXTERNALGRADES) :- User(U), Resource(EXTERNALGRADES), has_role(U, R). not (can_receive(U, EXTERNALGRADES), can_assign(U, EXTERNALGRADES)) :- User(U), Resource(EXTERNALGRADES)."
"If a subject is not a pc-chair or admin, then he or she may not set the meeting flag.",Subject(S).,MeetingFlag(MF).,"is_pc_chair(S) :- Subject(S).
is_admin(S) :- Subject(S).","can_set_meeting_flag(S, MF) :- Subject(S), MeetingFlag(MF), (is_pc_chair(S); is_admin(S))."
"If someone is not a pc-chair or admin, then he or she can never see paper-review-rc for which he or she is conflicted.",Person(P).,PaperReviewRC(PR).,"is_pc_chair(P) :- Person(P).
is_admin(P) :- Person(P).
is_conflicted(P, PR) :- Person(P), PaperReviewRC(PR).","can_see(P, PR) :- Person(P), PaperReviewRC(PR), (is_pc_chair(P) ; is_admin(P)), not is_conflicted(P, PR).
can_see(P, PR) :- Person(P), PaperReviewRC(PR), not is_pc_chair(P), not is_admin(P), not is_conflicted(P, PR)."
Authors may never read scores.,Author(A).,Score(S).,,"cannot_read(A, S) :- Author(A), Score(S)."
Doctors need not sign a confidentiality agreement since they are bound by a code of professional conduct.,Doctor(D).,ConfidentialityAgreement(CA).,bound_by_code(D) :- Doctor(D).,"need_not_sign(D, CA) :- Doctor(D), ConfidentialityAgreement(CA), bound_by_code(D)."
Requests for students to Receive ExternalGrades,Student(S).,ExternalGrade(EG).,"can_receive_external_grade(S, EG) :- Student(S), ExternalGrade(EG), requested(S, EG).","receive_external_grade(S, EG) :- Student(S), ExternalGrade(EG), can_receive_external_grade(S, EG)."
"faculty to Assign and View both InternalGrades and ExternalGrades, will succeed.",Faculty(F).,"InternalGrade(IG), ExternalGrade(EG).",,"can_assign(F, IG) :- Faculty(F), InternalGrade(IG). can_assign(F, EG) :- Faculty(F), ExternalGrade(EG). can_view(F, IG) :- Faculty(F), InternalGrade(IG). can_view(F, EG) :- Faculty(F), ExternalGrade(EG)."
Only the manager is allowed to add a new resident to the system and,Manager(M).,Resident(R).,,"can_add(M, R) :- Manager(M), Resident(R)."
Only the manager is allowed to start or update the care plan of a resident.,Manager(M).,"Resident(R), CarePlan(CP).","manages(M, R) :- Manager(M), Resident(R).","can_start_or_update(M, R, CP) :- Manager(M), Resident(R), CarePlan(CP), manages(M, R)."
Their main form of access is to view the care plan for each resident,Staff(S).,"Resident(R), CarePlan(CP).","has_care_plan(R, CP) :- Resident(R), CarePlan(CP).","can_view(S, R, CP) :- Staff(S), Resident(R), CarePlan(CP), has_care_plan(R, CP)."
