natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions
The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2) .,"Personnel(P), Editor(E).","DataFormat(DF), Field(F).","has_format(P, DF) :- Personnel(P), DataFormat(DF).
mandatory_field(DF, F) :- DataFormat(DF), Field(F).
optional_field(DF, F) :- DataFormat(DF), Field(F).","can_edit(E, P) :- Editor(E), Personnel(P), has_format(P, '6.2'), mandatory_field('6.2', F), not optional_field('6.2', 'associated MID'), not optional_field('6.2', 'Street Address 2')."
The sending HCP does not confirm the selection and is prompted to try again.,HCP(H).,Selection(S).,"has_selection(H, S) :- HCP(H), Selection(S).","can_confirm(H, S) :- HCP(H), Selection(S), not has_confirmed(H, S)."
The medication is checked against the patient's current and future prescriptions.,"Patient(P), Prescriber(D).",Medication(M).,"has_current_prescription(P, M) :- Patient(P), Medication(M). has_future_prescription(P, M) :- Patient(P), Medication(M).","can_prescribe(D, P, M) :- Prescriber(D), Patient(P), Medication(M), not has_current_prescription(P, M), not has_future_prescription(P, M)."
The HCP can choose to graph the height or weight of the patient.,HCP(H).,"Patient(P), GraphType(G).","is_patient_of(P, H) :- Patient(P), HCP(H).","can_graph(H, P, G) :- HCP(H), Patient(P), GraphType(G), is_patient_of(P, H), (G = 'height' ; G = 'weight')."
"The patient may choose to view the list sorted by the role of the accessor relative to the patient (personal health representative, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type, most recent access first.","Patient(P), Accessor(A).",AccessLog(L).,"has_role(A, Role) :- Accessor(A), Role in {personal_health_representative, LHCP, UAP, Emergency_Responder}. has_access_log(L, A, P, Date) :- AccessLog(L), Accessor(A), Patient(P).","can_view_sorted(P, L) :- Patient(P), AccessLog(L), has_access_log(L, A, P, Date), has_role(A, Role), sorted_by_role_and_date(L, Role, Date). sorted_by_role_and_date(L, Role, Date) :- AccessLog(L), has_role(A, Role), has_access_log(L, A, P, Date), order_by(Role, Date desc)."
The system shall store (1) reason id number for the reason ; and (2) up to 80 alphanumeric characters giving the name of the reason.,System(S).,Reason(R).,"has_reason_id(R, ID) :- Reason(R), ID is integer. has_reason_name(R, Name) :- Reason(R), Name is string, length(Name) <= 80.","store_reason(S, R) :- System(S), Reason(R), has_reason_id(R, ID), has_reason_name(R, Name)."
Both patients and LHCPs can view a list of their upcoming appointments .,"Patient(P), LHCP(L).",Appointment(A).,"has_appointment(P, A) :- Patient(P), Appointment(A).
has_appointment(L, A) :- LHCP(L), Appointment(A).","can_view(P, A) :- Patient(P), Appointment(A), has_appointment(P, A).
can_view(L, A) :- LHCP(L), Appointment(A), has_appointment(L, A)."
A patient may view his or her own lab procedure.,Patient(P).,LabProcedure(LP).,"has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP).","can_view(P, LP) :- Patient(P), LabProcedure(LP), has_lab_procedure(P, LP)."
The administrator has authenticated himself or herself in the iTrust Medical Records system (UC3).,Administrator(A).,System(S).,"authenticated_in(A, S) :- Administrator(A), System(S).","can_access(A, S) :- Administrator(A), System(S), authenticated_in(A, S)."
"The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.",Patient(P).,Provider(PR).,"has_zip_code(P, Z) :- Patient(P), ZipCode(Z).
has_provider_name(PR, N) :- Provider(PR), Name(N).
has_provider_specialty(PR, S) :- Provider(PR), Specialty(S).
zip_code_prefix_match(Z1, Z2) :- ZipCode(Z1), ZipCode(Z2), substring(Z1, 0, 3) = substring(Z2, 0, 3).","can_access(P, PR) :- Patient(P), Provider(PR), (optional has_zip_code(P, Z1), has_zip_code(PR, Z2), zip_code_prefix_match(Z1, Z2)) or (optional has_provider_name(PR, N)) or (optional has_provider_specialty(PR, S))."
The iTrust user (patient) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S)."
"In the list of in transit lab procedures , the Lab Technician can update the status to received when the sample has been received in his or her lab.",LabTechnician(LT).,"LabProcedure(LP), Sample(S).","in_transit(LP) :- LabProcedure(LP). has_sample(LP, S) :- LabProcedure(LP), Sample(S). received_in_lab(LT, S) :- LabTechnician(LT), Sample(S).","can_update_status(LT, LP, received) :- LabTechnician(LT), LabProcedure(LP), in_transit(LP), has_sample(LP, S), received_in_lab(LT, S)."
The LHCP is presented with a list of other appointments that conflict with the new one.,"LHCP(L), Appointment(A).",Appointment(A).,"conflicts_with(A1, A2) :- Appointment(A1), Appointment(A2).","can_view_conflicts(L, A) :- LHCP(L), Appointment(A), conflicts_with(A, OtherA)."
"The HCP may sort the list of referrals by patient name, receiving HCP name, time generated, possibly and possibly priority.",HCP(H).,"Referral(R), Patient(P), HCP(ReceivingHCP).","has_patient(R, P) :- Referral(R), Patient(P). has_receiving_hcp(R, ReceivingHCP) :- Referral(R), HCP(ReceivingHCP). has_time_generated(R, T) :- Referral(R). has_priority(R, Priority) :- Referral(R).","can_sort(H, R) :- HCP(H), Referral(R), has_patient(R, P), has_receiving_hcp(R, ReceivingHCP), has_time_generated(R, T). can_sort_by_priority(H, R) :- HCP(H), Referral(R), has_priority(R, Priority)."
The patient can also add a LHCP to their provider list by searching for the name possibly and possibly specialty of a LHCP  and then selecting to add the HCP to their list of providers.,Patient(P).,"LHCP(L), ProviderList(PL).","has_provider_list(P, PL) :- Patient(P), ProviderList(PL).","can_add_lhcp(P, L) :- Patient(P), LHCP(L), not has_provider(P, L)."
"The patient or personal health representative can see an abbreviated health history of their siblings, parents, and both sets of grandparents for which MIDs are available in iTrust.","Patient(P), PersonalHealthRepresentative(R).","AbbreviatedHealthHistory(H), Person(F).","is_sibling(P, F) :- Patient(P), Person(F).
is_parent(P, F) :- Patient(P), Person(F).
is_grandparent(P, F) :- Patient(P), Person(F).
has_mid(F) :- Person(F).","can_see_health_history(P, H, F) :- Patient(P), AbbreviatedHealthHistory(H), Person(F), (is_sibling(P, F); is_parent(P, F); is_grandparent(P, F)), has_mid(F).
can_see_health_history(R, H, F) :- PersonalHealthRepresentative(R), AbbreviatedHealthHistory(H), Person(F), (is_sibling(P, F); is_parent(P, F); is_grandparent(P, F)), has_mid(F), Patient(P), represents(R, P)."
"The user selects a prescription from the calendar to read its details by clicking the Read Details link beside or below the medication displayed for the prescription, and then the details for the prescription shall be displayed in a new page, including the medications prescribed (i.e., NDC, see Data Format 6.6), date prescribed, start date, end date for each prescription, and the name of the doctor who prescribed the medication.","User(U), Doctor(D).","Prescription(PR), Medication(M).","has_prescription(U, PR) :- User(U), Prescription(PR).
prescribed_by(PR, D) :- Prescription(PR), Doctor(D).
contains_medication(PR, M) :- Prescription(PR), Medication(M).","can_read_details(U, PR) :- User(U), Prescription(PR), has_prescription(U, PR)."
The HCP is notified that required fields contain no input.,HCP(H).,Field(F).,has_empty_field(F) :- Field(F).,"notify(H, F) :- HCP(H), Field(F), has_empty_field(F)."
The HCP's medical identification number should also be maintained.,HCP(H).,MedicalID(M).,"has_medical_id(H, M) :- HCP(H), MedicalID(M).","maintain_medical_id(H, M) :- HCP(H), MedicalID(M), has_medical_id(H, M)."
The LHCP is provided a bar chart of diagnosis counts during the specified time period as well as a yes or no answer on whether an epidemic is occurring during any consecutive two weeks during the time period.,LHCP(L).,"TimePeriod(T), Diagnosis(D), BarChart(B), Answer(A).","has_diagnosis_count(T, D, C) :- TimePeriod(T), Diagnosis(D).
has_bar_chart(L, B) :- LHCP(L), BarChart(B).
has_answer(L, A) :- LHCP(L), Answer(A).
epidemic_occurring(T, ConsecutiveWeeks) :- TimePeriod(T), ConsecutiveWeeks(ConsecutiveWeeks).","can_view_bar_chart(L, T, D) :- LHCP(L), TimePeriod(T), Diagnosis(D), has_diagnosis_count(T, D, C), has_bar_chart(L, B).
can_receive_answer(L, T) :- LHCP(L), TimePeriod(T), epidemic_occurring(T, ConsecutiveWeeks), has_answer(L, A)."
An LHCP can delete a patient from his or her monitoring list by the LHCP typing the the patient's MID .,LHCP(L).,Patient(P).,"monitors(L, P) :- LHCP(L), Patient(P).","can_delete(L, P) :- LHCP(L), Patient(P), monitors(L, P)."
"The LHCP chooses to examine a patient for which the preconditions do not apply (e.g., an adult shouldn't be tested for child diabetes) and the LHCP is prompted that no analysis can occur.","LHCP(L), Patient(P).",Condition(C).,"has_condition(P, C) :- Patient(P), Condition(C).","can_examine(L, P, C) :- LHCP(L), Patient(P), Condition(C), not has_condition(P, C)."
"The HCP can view patient name, lab procedure code, current lab procedure status, timestamp, and Lab Technician name.",HCP(H).,"Patient(P), LabProcedure(LP), LabTechnician(T).","has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP). assigned_to(LP, T) :- LabProcedure(LP), LabTechnician(T).","can_view(H, P, LP, T) :- HCP(H), Patient(P), LabProcedure(LP), LabTechnician(T), has_lab_procedure(P, LP), assigned_to(LP, T)."
"The LHCP requests a comprehensive report for all patients with a specified gender, age, and diagnosis .",LHCP(L).,"Patient(P), Report(R).","has_gender(P, G) :- Patient(P), Gender(G).
has_age(P, A) :- Patient(P), Age(A).
has_diagnosis(P, D) :- Patient(P), Diagnosis(D).","can_request_report(L, P, R) :- LHCP(L), Patient(P), Report(R), has_gender(P, G), has_age(P, A), has_diagnosis(P, D)."
The HCP selects a patient by typing in the MID of the patient .,HCP(H).,Patient(P).,"has_mid(P, MID) :- Patient(P).","can_select(H, P) :- HCP(H), Patient(P), has_mid(P, MID)."
An HCP may enter or edit their own demographic information according to data format 6.2.,HCP(H).,DemographicInfo(DI).,"owns(H, DI) :- HCP(H), DemographicInfo(DI).","can_enter_edit(H, DI) :- HCP(H), DemographicInfo(DI), owns(H, DI)."
"A fake email is sent to the LHCP who administered the immunization indicating the patient name and MID, drug, and symptoms.","LHCP(L), Patient(P).","Email(E), Immunization(I), Drug(DR), Symptom(S).","administered(L, I) :- LHCP(L), Immunization(I).","send_fake_email(L, P, I, DR, S) :- LHCP(L), Patient(P), Immunization(I), Drug(DR), Symptom(S), administered(L, I)."
"A patient can select to report height, weight, possibly and possibly pedometer readings for those for whom he or she is a patient representative.","Patient(P), PatientRepresentative(R).",HealthData(HD).,"is_representative_for(R, P) :- PatientRepresentative(R), Patient(P).","can_report(R, P, HD) :- PatientRepresentative(R), Patient(P), HealthData(HD), is_representative_for(R, P)."
A user chooses to view physician satisfaction survey results.,User(U).,Survey(S).,"has_access_to(U, S) :- User(U), Survey(S), is_physician_satisfaction_survey(S).","can_view(U, S) :- User(U), Survey(S), has_access_to(U, S)."
An LHCP can view a list of their upcoming appointment requests .,LHCP(L).,AppointmentRequest(AR).,"has_upcoming_request(L, AR) :- LHCP(L), AppointmentRequest(AR).","can_view(L, AR) :- LHCP(L), AppointmentRequest(AR), has_upcoming_request(L, AR)."
A patient may view his or her own lab procedure results .,Patient(P).,LabProcedure(LP).,"has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP).","can_view(P, LP) :- Patient(P), LabProcedure(LP), has_lab_procedure(P, LP)."
"The sending HCP must select a receiving HCP by either entering the HCP's MID and confirming the selection, or by searching for the HCP by name.","HCP(SendingHCP), HCP(ReceivingHCP).",HCP(ReceivingHCP).,"can_select(SendingHCP, ReceivingHCP) :- HCP(SendingHCP), HCP(ReceivingHCP), (has_mid(ReceivingHCP, MID) ; has_name(ReceivingHCP, Name)).","select_hcp(SendingHCP, ReceivingHCP) :- HCP(SendingHCP), HCP(ReceivingHCP), can_select(SendingHCP, ReceivingHCP)."
He or she can report his or her blood pressure (systolic and diastolic)  possibly and possibly glucose levels .,Patient(P).,"BloodPressure(BP), GlucoseLevel(GL).","has_blood_pressure(P, BP) :- Patient(P), BloodPressure(BP). has_glucose_level(P, GL) :- Patient(P), GlucoseLevel(GL).","can_report(P, BP) :- Patient(P), BloodPressure(BP), has_blood_pressure(P, BP). can_report(P, GL) :- Patient(P), GlucoseLevel(GL), has_glucose_level(P, GL)."
"If the requested appointment time does conflict with an existing appointments, the patient is presented with a list of the three next non-overlapping available appointment times within 7 days of the requested date.",Patient(P).,"AppointmentTime(AT), RequestedDate(RD).","conflicts(AT, RD) :- AppointmentTime(AT), RequestedDate(RD).","present_available_times(P, AT, RD) :- Patient(P), AppointmentTime(AT), RequestedDate(RD), conflicts(AT, RD), not overlapping(AT, RD), within_7_days(AT, RD), limit_3(AT)."
The LHCP clicks this number to view the physiologic data monitoring details of his or her patients for the current date.,LHCP(L).,"Patient(P), PhysiologicData(PD).","has_patient(L, P) :- LHCP(L), Patient(P). has_data(P, PD, Date) :- Patient(P), PhysiologicData(PD), Date(Date).","can_view(L, P, PD) :- LHCP(L), Patient(P), PhysiologicData(PD), has_patient(L, P), has_data(P, PD, current_date)."
"If answer to security question is correct, allow user to change their password.",User(U).,"SecurityQuestion(SQ), Password(PW).","has_security_question(U, SQ) :- User(U), SecurityQuestion(SQ).","can_change_password(U, PW) :- User(U), Password(PW), has_security_question(U, SQ), correct_answer(U, SQ)."
The iTrust user (HCP or patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated(U, S)."
"The data in the database is analyzed according to the malaria epidemic heuristic to determine if an epidemic is occurring in the region defined by the zip code that match the first three numbers in the provided zip code (e.g. if zip code 27695 is provided, all data with zip code 276xx is analyzed, where each x is any digit from 0-9).","User(U), Region(R).","Data(D), ZipCode(Z).","has_zip_code(D, Z) :- Data(D), ZipCode(Z).
matches_region(Z, R) :- ZipCode(Z), Region(R), substring(Z, 1, 3) = substring(R, 1, 3).","can_analyze(U, R) :- User(U), Region(R), epidemic_heuristic(R) = true.
epidemic_heuristic(R) :- Region(R), count(D) where has_zip_code(D, Z) and matches_region(Z, R) > threshold."
An LHCP or patient or representative may view a message .,"LHCP(L), Patient(P), Representative(R).",Message(M).,,"can_view(L, M) :- LHCP(L), Message(M). can_view(P, M) :- Patient(P), Message(M). can_view(R, M) :- Representative(R), Message(M)."
A user (an LHCP or patient) chooses to display his or her appointments in the current month on a calendar for the current month.,User(U).,"Appointment(A), Calendar(C).","has_appointment(U, A) :- User(U), Appointment(A).","can_display(U, A, C) :- User(U), Appointment(A), Calendar(C), has_appointment(U, A)."
"The status of a laboratory procedure has been updated (UC26, S3).",User(U).,LabProcedure(LP).,"has_status(LP, Status) :- LabProcedure(LP).","can_update_status(U, LP) :- User(U), LabProcedure(LP)."
The administrator chooses a drug from each list to record an interaction between the two drugs.,Administrator(A).,"Drug(D1), Drug(D2), Interaction(I).","chosen_from_list(A, D1, List1) :- Administrator(A), Drug(D1). chosen_from_list(A, D2, List2) :- Administrator(A), Drug(D2).","can_record_interaction(A, D1, D2, I) :- Administrator(A), Drug(D1), Drug(D2), Interaction(I), chosen_from_list(A, D1, List1), chosen_from_list(A, D2, List2), D1 != D2."
"The hcp documents the office visit date; hospital location of the office visit, if any, (the default should be the HCP's home location); and notes about an office visit.",HCP(H).,"OfficeVisit(OV), Date(D), HospitalLocation(HL), Note(N).","has_home_location(H, HL) :- HCP(H), HospitalLocation(HL).
has_office_visit(H, OV) :- HCP(H), OfficeVisit(OV).
has_date(OV, D) :- OfficeVisit(OV), Date(D).
has_location(OV, HL) :- OfficeVisit(OV), HospitalLocation(HL).
has_note(OV, N) :- OfficeVisit(OV), Note(N).","can_document(H, OV, D, HL, N) :- HCP(H), OfficeVisit(OV), Date(D), HospitalLocation(HL), Note(N), has_office_visit(H, OV), has_date(OV, D), (has_location(OV, HL) ; (not has_location(OV, _), has_home_location(H, HL))), has_note(OV, N)."
The iTrust user (patient or HCP) has been authenticated in the iTrust Medical Records system (UC3).,User(U).,System(S).,"authenticated_in(U, S) :- User(U), System(S).","can_access(U, S) :- User(U), System(S), authenticated_in(U, S)."
The administrator types an invalid hospital ID and is prompted to try again.,Administrator(A).,HospitalID(HID).,is_valid(HID) :- HospitalID(HID).,"prompt_retry(A, HID) :- Administrator(A), HospitalID(HID), not is_valid(HID)."
"Upon sending a referral, the patient, sending HCP, and receiving HCP receive a message summarizing the newly created referral information (sending HCP name & specialty, receiving HCP name & specialty, patient name, referral notes, and referral creation timestamp); additionally, the sending and receiving HCP messages include the referral priority.","Patient(P), HCP(SendingHCP), HCP(ReceivingHCP).",Referral(R).,"sends_referral(SendingHCP, R) :- HCP(SendingHCP), Referral(R). receives_referral(ReceivingHCP, R) :- HCP(ReceivingHCP), Referral(R). patient_referral(P, R) :- Patient(P), Referral(R).","can_receive_message(P, R) :- Patient(P), Referral(R), patient_referral(P, R). can_receive_message(SendingHCP, R) :- HCP(SendingHCP), Referral(R), sends_referral(SendingHCP, R). can_receive_message(ReceivingHCP, R) :- HCP(ReceivingHCP), Referral(R), receives_referral(ReceivingHCP, R)."
A session that has been inactive for more than ten minutes is terminated .,Session(S).,Time(T).,"inactive_for(S, T) :- Session(S), Time(T), T > 10.","terminate(S) :- Session(S), inactive_for(S, T)."
A patient can select to report physiologic measurements for those whose at least one physiologic data type is specified to be under monitoring and for whom he or she is a patient representative.,"Patient(P), PatientRepresentative(PR).","PhysiologicDataType(PDT), PhysiologicMeasurement(PM).","under_monitoring(PR, PDT) :- PatientRepresentative(PR), PhysiologicDataType(PDT). is_patient_representative(P, PR) :- Patient(P), PatientRepresentative(PR).","can_report(P, PR, PM) :- Patient(P), PatientRepresentative(PR), PhysiologicMeasurement(PM), under_monitoring(PR, PDT), is_patient_representative(P, PR)."
"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",HCP(H).,"Medication(M), LabProcedure(L), Diagnosis(D), MedicalProcedure(MP), Immunization(I).","prescribed(H, M) :- HCP(H), Medication(M).
ordered(H, L) :- HCP(H), LabProcedure(L).
diagnosed(H, D) :- HCP(H), Diagnosis(D).
performed(H, MP) :- HCP(H), MedicalProcedure(MP).
given(H, I) :- HCP(H), Immunization(I).","can_document(H, M) :- HCP(H), Medication(M), prescribed(H, M).
can_document(H, L) :- HCP(H), LabProcedure(L), ordered(H, L).
can_document(H, D) :- HCP(H), Diagnosis(D), diagnosed(H, D).
can_document(H, MP) :- HCP(H), MedicalProcedure(MP), performed(H, MP).
can_document(H, I) :- HCP(H), Immunization(I), given(H, I)."
"Through the Personal Health Records page, an LHCP chooses a chronic disease and a patient.","LHCP(L), Patient(P).",ChronicDisease(CD).,"has_chronic_disease(P, CD) :- Patient(P), ChronicDisease(CD).","can_choose(L, P, CD) :- LHCP(L), Patient(P), ChronicDisease(CD), has_chronic_disease(P, CD)."
"A user (a patient) chooses to display his or her appointments in the current month together with his or her office visit dates, prescription dates, and lab procedure dates of the current month on a calendar for the current month.",Patient(P).,"Appointment(A), OfficeVisit(OV), Prescription(PR), LabProcedure(LP), Calendar(C).","has_appointment(P, A) :- Patient(P), Appointment(A). has_office_visit(P, OV) :- Patient(P), OfficeVisit(OV). has_prescription(P, PR) :- Patient(P), Prescription(PR). has_lab_procedure(P, LP) :- Patient(P), LabProcedure(LP). in_current_month(A) :- Appointment(A). in_current_month(OV) :- OfficeVisit(OV). in_current_month(PR) :- Prescription(PR). in_current_month(LP) :- LabProcedure(LP).","can_display_calendar(P, C) :- Patient(P), Calendar(C), has_appointment(P, A), has_office_visit(P, OV), has_prescription(P, PR), has_lab_procedure(P, LP), in_current_month(A), in_current_month(OV), in_current_month(PR), in_current_month(LP)."
An administrator chooses to maintain the hospital listing .,Administrator(A).,Hospital(H).,"has_maintain_access(A, H) :- Administrator(A), Hospital(H).","can_maintain(A, H) :- Administrator(A), Hospital(H), has_maintain_access(A, H)."
An LHCP views the number of submitted physiologic data monitoring reports of his or her patients for the current date.,"LHCP(L), Patient(P).",Report(R).,"has_patient(L, P) :- LHCP(L), Patient(P).
submitted_report(P, R, current_date) :- Patient(P), Report(R).","can_view_report_count(L, current_date) :- LHCP(L), has_patient(L, P), submitted_report(P, R, current_date)."
"He or she can report the height, weight, possibly and possibly pedometer reading  for the patient.","Reporter(R), Patient(P).","Height(H), Weight(W), PedometerReading(PR).","is_patient_of(P, R) :- Patient(P), Reporter(R).","can_report(R, P, H) :- Reporter(R), Patient(P), Height(H), is_patient_of(P, R). can_report(R, P, W) :- Reporter(R), Patient(P), Weight(W), is_patient_of(P, R). can_report(R, P, PR) :- Reporter(R), Patient(P), PedometerReading(PR), is_patient_of(P, R)."
"A patient may have up to 10 physiologic data points in any one day, reported by him or herself, a UAP, or a personal representative .","Patient(P), UAP(U), PersonalRepresentative(PR).","PhysiologicDataPoint(DP), Day(D).","reported_by(DP, P) :- Patient(P), PhysiologicDataPoint(DP).
reported_by(DP, U) :- UAP(U), PhysiologicDataPoint(DP).
reported_by(DP, PR) :- PersonalRepresentative(PR), PhysiologicDataPoint(DP).
has_data_point(P, DP, D) :- Patient(P), PhysiologicDataPoint(DP), Day(D), reported_by(DP, _).","can_report(P, DP, D) :- Patient(P), PhysiologicDataPoint(DP), Day(D), count(has_data_point(P, _, D)) < 10.
can_report(U, DP, D) :- UAP(U), PhysiologicDataPoint(DP), Day(D), Patient(P), has_data_point(P, DP, D), count(has_data_point(P, _, D)) < 10.
can_report(PR, DP, D) :- PersonalRepresentative(PR), PhysiologicDataPoint(DP), Day(D), Patient(P), has_data_point(P, DP, D), count(has_data_point(P, _, D)) < 10."
"The HCP chooses a specific referral from the list to view complete details about the referral: patient name, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",HCP(H).,"Referral(R), Patient(P), HCP(ReceivingHCP).","has_referral(H, R) :- HCP(H), Referral(R). refers_to(R, P) :- Referral(R), Patient(P). referred_to(R, ReceivingHCP) :- Referral(R), HCP(ReceivingHCP).","can_view_referral_details(H, R) :- HCP(H), Referral(R), has_referral(H, R)."
"A user (an LHCP or patient) wishes to view a list of his or her upcoming appointments (i.e., a list including appointments whose appointment date and start time is equal or later than the current date or time).",User(U).,Appointment(A).,"has_appointment(U, A) :- User(U), Appointment(A). upcoming_appointment(A) :- Appointment(A), appointment_date(A, Date), appointment_time(A, Time), current_date(CurrDate), current_time(CurrTime), (Date > CurrDate) or (Date = CurrDate and Time >= CurrTime).","can_view_appointments(U, A) :- User(U), Appointment(A), has_appointment(U, A), upcoming_appointment(A)."
